,name,group
0,0-4年地债标的基金,基金\主要标的指数\中证系列指数\中证债券指数
1,1000材料,股票\指数成份\国证系列指数\国证行业指数
2,1000成长,股票\指数成份\深证系列指数\深证风格指数
3,1000成长创新标的基金,基金\主要标的指数\中证系列指数\中证策略指数
4,1000地产,股票\指数成份\国证系列指数\国证行业指数
5,1000工业,股票\指数成份\国证系列指数\国证行业指数
6,1000公用,股票\指数成份\国证系列指数\国证行业指数
7,1000价值,股票\指数成份\深证系列指数\深证风格指数
8,1000价值稳健标的基金,基金\主要标的指数\中证系列指数\中证策略指数
9,1000金融,股票\指数成份\国证系列指数\国证行业指数
10,1000可选,股票\指数成份\国证系列指数\国证行业指数
11,1000能源,股票\指数成份\国证系列指数\国证行业指数
12,1000消费,股票\指数成份\国证系列指数\国证行业指数
13,1000信息,股票\指数成份\国证系列指数\国证行业指数
14,1000医药,股票\指数成份\国证系列指数\国证行业指数
15,100低波,股票\指数成份\深证系列指数\深证策略指数
16,100绩效,股票\指数成份\深证系列指数\深证策略指数
17,10年国债标的基金,基金\主要标的指数\上证系列指数\上证债券指数
18,10年期国债,期货\期货品种
19,14天回购,回购\回购期限
20,180ESG标的基金,基金\主要标的指数\中证系列指数\中证主题指数
21,180R成长,股票\指数成份\上证系列指数\上证风格指数
22,180R价值,股票\指数成份\上证系列指数\上证风格指数
23,180波动,股票\指数成份\上证系列指数\上证策略指数
24,180成长,股票\指数成份\上证系列指数\上证风格指数
25,180成长标的基金,基金\主要标的指数\上证系列指数\上证风格指数
26,180等权,股票\指数成份\上证系列指数\上证策略指数
27,180低贝,股票\指数成份\上证系列指数\上证策略指数
28,180动态,股票\指数成份\上证系列指数\上证策略指数
29,180分层,股票\指数成份\上证系列指数\上证策略指数
30,180高贝,股票\指数成份\上证系列指数\上证策略指数
31,180红利,股票\指数成份\上证系列指数\上证策略指数
32,180基本,股票\指数成份\上证系列指数\上证策略指数
33,180基建,股票\指数成份\上证系列指数\上证主题指数
34,180价值,股票\指数成份\上证系列指数\上证风格指数
35,180价值标的基金,基金\主要标的指数\上证系列指数\上证风格指数
36,180金融,股票\指数成份\上证系列指数\上证主题指数
37,180金融标的基金,基金\主要标的指数\上证系列指数\上证主题指数
38,180稳定,股票\指数成份\上证系列指数\上证策略指数
39,180运输,股票\指数成份\上证系列指数\上证主题指数
40,180治理,股票\指数成份\上证系列指数\上证主题指数
41,180治理标的基金,基金\主要标的指数\上证系列指数\上证主题指数
42,180资源,股票\指数成份\上证系列指数\上证主题指数
43,1天回购,回购\回购期限
44,2025规划,股票\概念板块
45,2035退休标的基金,基金\主要标的指数\中证系列指数\中证其他指数
46,2045退休标的基金,基金\主要标的指数\中证系列指数\中证其他指数
47,20号胶,期货\期货品种
48,28天回购,回购\回购期限
49,2年期国债,期货\期货品种
50,300ESG标的基金,基金\主要标的指数\中证系列指数\中证主题指数
51,300成长标的基金,基金\主要标的指数\中证系列指数\中证风格指数
52,300成长创新标的基金,基金\主要标的指数\中证系列指数\中证策略指数
53,300等权标的基金,基金\主要标的指数\中证系列指数\中证策略指数
54,300非银,股票\指数成份\中证系列指数\中证主题指数
