,time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,prev_close,open,high,low,volume,amount,open_interest
0,2023-09-14 09:29:00,IF2309,IF2309,3740.0,157.0,176154000.0,-107.0,3,3740.0,3740.4,1,3739.6,3740.0,3740.0,3740.0,157.0,176154000.0,85020
1,2023-09-14 09:30:00,IF2309,IF2309,3741.4,14.0,15713880.0,-2.0,1,3741.4,3742.4,1,3739.6,3740.0,3742.2,3740.0,171.0,191867880.0,85018
2,2023-09-14 09:30:00,IF2309,IF2309,3741.4,41.0,46021500.0,-24.0,1,3741.4,3742.2,1,3739.6,3740.0,3742.4,3740.0,212.0,237889380.0,84994
3,2023-09-14 09:30:01,IF2309,IF2309,3741.6,19.0,21326520.0,-18.0,2,3740.8,3742.0,5,3739.6,3740.0,3742.4,3740.0,231.0,259215900.0,84976
4,2023-09-14 09:30:01,IF2309,IF2309,3741.8,18.0,20202540.0,-14.0,13,3740.6,3741.8,4,3739.6,3740.0,3742.4,3740.0,249.0,279418440.0,84962
5,2023-09-14 09:30:02,IF2309,IF2309,3740.8,16.0,17957340.0,-15.0,13,3740.6,3740.8,1,3739.6,3740.0,3742.4,3740.0,265.0,297375780.0,84947
6,2023-09-14 09:30:02,IF2309,IF2309,3740.6,39.0,43764540.0,-25.0,5,3740.4,3740.6,2,3739.6,3740.0,3742.4,3740.0,304.0,341140320.0,84922
7,2023-09-14 09:30:03,IF2309,IF2309,3740.4,26.0,29173980.0,-23.0,6,3739.0,3740.4,8,3739.6,3740.0,3742.4,3739.4,330.0,370314300.0,84899
8,2023-09-14 09:30:03,IF2309,IF2309,3739.2,8.0,8975400.0,-7.0,10,3739.2,3740.2,19,3739.6,3740.0,3742.4,3739.2,338.0,379289700.0,84892
9,2023-09-14 09:30:04,IF2309,IF2309,3739.2,11.0,12340020.0,-10.0,7,3739.0,3739.2,1,3739.6,3740.0,3742.4,3739.2,349.0,391629720.0,84882
10,2023-09-14 09:30:04,IF2309,IF2309,3739.2,12.0,13462200.0,-8.0,6,3739.0,3740.2,4,3739.6,3740.0,3742.4,3739.0,361.0,405091920.0,84874
11,2023-09-14 09:30:05,IF2309,IF2309,3739.0,9.0,10096260.0,-7.0,3,3739.0,3739.2,1,3739.6,3740.0,3742.4,3739.0,370.0,415188180.0,84867
12,2023-09-14 09:30:05,IF2309,IF2309,3739.2,10.0,11217060.0,-8.0,1,3739.0,3739.2,1,3739.6,3740.0,3742.4,3738.8,380.0,426405240.0,84859
13,2023-09-14 09:30:06,IF2309,IF2309,3739.2,13.0,14582700.0,-10.0,10,3738.4,3738.8,3,3739.6,3740.0,3742.4,3738.4,393.0,440987940.0,84849
