,time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest,open,high,low,close,yesterday_settlementprice
0,2023-07-06 21:30:00,p2310,p2310,7542.0,5178.0,390509600.0,-4107.0,14,7540.0,7544.0,18,7556.0,7540.0,7562.0,7536.0,5178.0,390509600.0,84166,7540.0,7562.0,7536.0,7556.0,7546.0
1,2023-07-06 22:00:00,p2310,p2310,7484.0,2643.0,198344940.0,-84.0,33,7482.0,7486.0,15,7556.0,7540.0,7562.0,7476.0,7821.0,588854540.0,84082,7542.0,7542.0,7476.0,7542.0,7546.0
2,2023-07-06 22:30:00,p2310,p2310,7488.0,1977.0,147930200.0,-400.0,54,7486.0,7492.0,41,7556.0,7540.0,7562.0,7458.0,9798.0,736784740.0,83682,7482.0,7504.0,7458.0,7484.0,7546.0
3,2023-07-06 23:00:00,p2310,p2310,7490.0,1122.0,83984840.0,-124.0,2,7482.0,7510.0,20,7556.0,7540.0,7562.0,7458.0,10920.0,820769580.0,83558,7486.0,7506.0,7466.0,7488.0,7546.0
4,2023-07-07 09:30:00,p2310,p2310,7442.0,2604.0,194217060.0,164.0,16,7438.0,7444.0,73,7556.0,7540.0,7562.0,7430.0,13524.0,1014986640.0,83722,7462.0,7492.0,7430.0,7490.0,7546.0
5,2023-07-07 10:00:00,p2310,p2310,7472.0,1929.0,143860820.0,55.0,2,7472.0,7476.0,26,7556.0,7540.0,7562.0,7430.0,15453.0,1158847460.0,83777,7442.0,7476.0,7436.0,7442.0,7546.0
6,2023-07-07 10:45:00,p2310,p2310,7486.0,1781.0,133258540.0,-21.0,1,7484.0,7488.0,61,7556.0,7540.0,7562.0,7430.0,17234.0,1292106000.0,83756,7472.0,7498.0,7464.0,7472.0,7546.0
7,2023-07-07 11:15:00,p2310,p2310,7486.0,584.0,43715480.0,-21.0,38,7482.0,7488.0,87,7556.0,7540.0,7562.0,7430.0,17818.0,1335821480.0,83735,7484.0,7494.0,7478.0,7486.0,7546.0
8,2023-07-07 13:45:00,p2310,p2310,7476.0,452.0,33799320.0,-22.0,35,7472.0,7476.0,3,7556.0,7540.0,7562.0,7430.0,18270.0,1369620800.0,83713,7486.0,7490.0,7464.0,7486.0,7546.0
9,2023-07-07 14:15:00,p2310,p2310,7474.0,1213.0,90511540.0,-90.0,7,7472.0,7476.0,20,7556.0,7540.0,7562.0,7430.0,19483.0,1460132340.0,83623,7476.0,7476.0,7446.0,7476.0,7546.0
10,2023-07-07 14:45:00,p2310,p2310,7466.0,369.0,27554880.0,8.0,51,7464.0,7470.0,67,7556.0,7540.0,7562.0,7430.0,19852.0,1487687220.0,83631,7474.0,7474.0,7456.0,7474.0,7546.0
11,2023-07-07 15:00:00,p2310,p2310,7456.0,112.0,8352960.0,-27.0,2,7446.0,7478.0,1,7556.0,7540.0,7562.0,7430.0,19964.0,1496040180.0,83604,7466.0,7472.0,7450.0,7466.0,7546.0
