StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
a2403-C-5500,a2403-C-5500,20231010,a2403-C-5500,黄大豆1号2403购5500,a2403,a2403,期货,美式,认购,10,5500.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,338.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
a2401-C-4750,a2401-C-4750,20231010,a2401-C-4750,黄大豆1号2401购4750,a2401,a2401,期货,美式,认购,10,4750.0,20230118,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,623.5,19.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
a2403-C-5600,a2403-C-5600,20231010,a2403-C-5600,黄大豆1号2403购5600,a2403,a2403,期货,美式,认购,10,5600.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,326.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
a2401-C-4850,a2401-C-4850,20231010,a2401-C-4850,黄大豆1号2401购4850,a2401,a2401,期货,美式,认购,10,4850.0,20230118,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,546.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
a2403-C-5700,a2403-C-5700,20231010,a2403-C-5700,黄大豆1号2403购5700,a2403,a2403,期货,美式,认购,10,5700.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,317.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
a2401-C-4950,a2401-C-4950,20231010,a2401-C-4950,黄大豆1号2401购4950,a2401,a2401,期货,美式,认购,10,4950.0,20230118,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,479.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
a2403-C-5800,a2403-C-5800,20231010,a2403-C-5800,黄大豆1号2403购5800,a2403,a2403,期货,美式,认购,10,5800.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,311.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
a2403-C-5900,a2403-C-5900,20231010,a2403-C-5900,黄大豆1号2403购5900,a2403,a2403,期货,美式,认购,10,5900.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,307.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
a2403-C-4300,a2403-C-4300,20231010,a2403-C-4300,黄大豆1号2403购4300,a2403,a2403,期货,美式,认购,10,4300.0,20230421,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,1024.0,422.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
a2311-C-4450,a2311-C-4450,20231010,a2311-C-4450,黄大豆1号2311购4450,a2311,a2311,期货,美式,认购,10,4450.0,20230410,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,915.0,309.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
