StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
ag2406C6700,ag2406C6700,20231010,ag2406C6700,白银2406购6700,ag2406,ag2406,期货,美式,认购,15,6700.0,20230918,20240527,0,0,20240527,0.0,0.0,0.0,0.0,有,498.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2401C5100,ag2401C5100,20231010,ag2401C5100,白银2401购5100,ag2401,ag2401,期货,美式,认购,15,5100.0,20230615,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,1022.5,227.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2401C5400,ag2401C5400,20231010,ag2401C5400,白银2401购5400,ag2401,ag2401,期货,美式,认购,15,5400.0,20230615,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,798.0,2.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2401C5200,ag2401C5200,20231010,ag2401C5200,白银2401购5200,ag2401,ag2401,期货,美式,认购,15,5200.0,20230615,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,942.5,147.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2401C5500,ag2401C5500,20231010,ag2401C5500,白银2401购5500,ag2401,ag2401,期货,美式,认购,15,5500.0,20230615,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,735.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2401C5300,ag2401C5300,20231010,ag2401C5300,白银2401购5300,ag2401,ag2401,期货,美式,认购,15,5300.0,20230615,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,867.5,72.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2401C6000,ag2401C6000,20231010,ag2401C6000,白银2401购6000,ag2401,ag2401,期货,美式,认购,15,6000.0,20230615,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,517.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2402C5100,ag2402C5100,20231010,ag2402C5100,白银2402购5100,ag2402,ag2402,期货,美式,认购,15,5100.0,20230714,20240125,0,0,20240125,0.0,0.0,0.0,0.0,有,1042.5,248.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2401C6100,ag2401C6100,20231010,ag2401C6100,白银2401购6100,ag2401,ag2401,期货,美式,认购,15,6100.0,20230615,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,491.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2312C6000,ag2312C6000,20231010,ag2312C6000,白银2312购6000,ag2312,ag2312,期货,美式,认购,15,6000.0,20230317,20231124,0,0,20231124,0.0,0.0,0.0,0.0,有,483.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2401C5600,ag2401C5600,20231010,ag2401C5600,白银2401购5600,ag2401,ag2401,期货,美式,认购,15,5600.0,20230615,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,678.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2401C6200,ag2401C6200,20231010,ag2401C6200,白银2401购6200,ag2401,ag2401,期货,美式,认购,15,6200.0,20230615,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,470.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2312C6100,ag2312C6100,20231010,ag2312C6100,白银2312购6100,ag2312,ag2312,期货,美式,认购,15,6100.0,20230324,20231124,0,0,20231124,0.0,0.0,0.0,0.0,有,460.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2401C5700,ag2401C5700,20231010,ag2401C5700,白银2401购5700,ag2401,ag2401,期货,美式,认购,15,5700.0,20230615,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,629.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2401C6300,ag2401C6300,20231010,ag2401C6300,白银2401购6300,ag2401,ag2401,期货,美式,认购,15,6300.0,20230615,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,453.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2312C6200,ag2312C6200,20231010,ag2312C6200,白银2312购6200,ag2312,ag2312,期货,美式,认购,15,6200.0,20230403,20231124,0,0,20231124,0.0,0.0,0.0,0.0,有,442.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2401C5800,ag2401C5800,20231010,ag2401C5800,白银2401购5800,ag2401,ag2401,期货,美式,认购,15,5800.0,20230615,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,586.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2401C6400,ag2401C6400,20231010,ag2401C6400,白银2401购6400,ag2401,ag2401,期货,美式,认购,15,6400.0,20230615,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,439.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2312C6300,ag2312C6300,20231010,ag2312C6300,白银2312购6300,ag2312,ag2312,期货,美式,认购,15,6300.0,20230407,20231124,0,0,20231124,0.0,0.0,0.0,0.0,有,429.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2404P6000,ag2404P6000,20231010,ag2404P6000,白银2404沽6000,ag2404,ag2404,期货,美式,认沽,15,6000.0,20230928,20240325,0,0,20240325,0.0,0.0,0.0,0.0,有,905.0,108.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2401C5900,ag2401C5900,20231010,ag2401C5900,白银2401购5900,ag2401,ag2401,期货,美式,认购,15,5900.0,20230615,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,549.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2401C6500,ag2401C6500,20231010,ag2401C6500,白银2401购6500,ag2401,ag2401,期货,美式,认购,15,6500.0,20230615,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,429.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2312C6400,ag2312C6400,20231010,ag2312C6400,白银2312购6400,ag2312,ag2312,期货,美式,认购,15,6400.0,20230407,20231124,0,0,20231124,0.0,0.0,0.0,0.0,有,419.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2401C6600,ag2401C6600,20231010,ag2401C6600,白银2401购6600,ag2401,ag2401,期货,美式,认购,15,6600.0,20230717,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,420.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
ag2401C6700,ag2401C6700,20231010,ag2401C6700,白银2401购6700,ag2401,ag2401,期货,美式,认购,15,6700.0,20230721,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,414.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
