time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,open,high,low,close,yesterday_settlementprice,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-09 21:30:00,au2312P416,au2312P416,4.84,0.0,0.0,0.0,4.84,4.84,4.84,4.84,5.78,4.84,4.84,4.84,4.84,0.0,0.0,48
2023-05-09 22:00:00,au2312P416,au2312P416,4.84,0.0,0.0,0.0,4.84,4.84,4.84,4.84,5.78,4.84,4.84,4.84,4.84,0.0,0.0,48
2023-05-09 22:30:00,au2312P416,au2312P416,4.84,0.0,0.0,0.0,4.84,4.84,4.84,4.84,5.78,4.84,4.84,4.84,4.84,0.0,0.0,48
2023-05-09 23:00:00,au2312P416,au2312P416,4.94,1.0,4940.0,0.0,4.94,4.94,4.94,4.84,5.78,4.84,4.94,4.94,4.94,1.0,4940.0,48
2023-05-09 23:30:00,au2312P416,au2312P416,4.94,0.0,0.0,0.0,4.94,4.94,4.94,4.94,5.78,4.84,4.94,4.94,4.94,1.0,4940.0,48
2023-05-10,au2312P416,au2312P416,4.94,0.0,0.0,0.0,4.94,4.94,4.94,4.94,5.78,4.84,4.94,4.94,4.94,1.0,4940.0,48
2023-05-10 00:30:00,au2312P416,au2312P416,4.94,0.0,0.0,0.0,4.94,4.94,4.94,4.94,5.78,4.84,4.94,4.94,4.94,1.0,4940.0,48
2023-05-10 01:00:00,au2312P416,au2312P416,5.48,3.0,15760.0,0.0,4.94,5.48,4.8,4.94,5.78,4.84,4.94,5.48,4.8,4.0,20700.0,48
2023-05-10 01:30:00,au2312P416,au2312P416,5.48,0.0,0.0,0.0,5.48,5.48,5.48,5.48,5.78,4.84,4.94,5.48,4.8,4.0,20700.0,48
2023-05-10 02:00:00,au2312P416,au2312P416,5.48,0.0,0.0,0.0,5.48,5.48,5.48,5.48,5.78,4.84,4.94,5.48,4.8,4.0,20700.0,48
2023-05-10 02:30:00,au2312P416,au2312P416,5.48,0.0,0.0,0.0,5.48,5.48,5.48,5.48,5.78,4.84,4.94,5.48,4.8,4.0,20700.0,48
2023-05-10 09:30:00,au2312P416,au2312P416,5.48,0.0,0.0,0.0,5.48,5.48,5.48,5.48,5.78,4.84,4.94,5.48,4.8,4.0,20700.0,48
2023-05-10 10:00:00,au2312P416,au2312P416,5.48,0.0,0.0,0.0,5.48,5.48,5.48,5.48,5.78,4.84,4.94,5.48,4.8,4.0,20700.0,48
2023-05-10 10:45:00,au2312P416,au2312P416,5.48,0.0,0.0,0.0,5.48,5.48,5.48,5.48,5.78,4.84,4.94,5.48,4.8,4.0,20700.0,48
2023-05-10 11:15:00,au2312P416,au2312P416,5.48,0.0,0.0,0.0,5.48,5.48,5.48,5.48,5.78,4.84,4.94,5.48,4.8,4.0,20700.0,48
2023-05-10 13:45:00,au2312P416,au2312P416,5.48,0.0,0.0,0.0,5.48,5.48,5.48,5.48,5.78,4.84,4.94,5.48,4.8,4.0,20700.0,48
2023-05-10 14:15:00,au2312P416,au2312P416,5.48,0.0,0.0,0.0,5.48,5.48,5.48,5.48,5.78,4.84,4.94,5.48,4.8,4.0,20700.0,48
2023-05-10 14:45:00,au2312P416,au2312P416,5.48,0.0,0.0,0.0,5.48,5.48,5.48,5.48,5.78,4.84,4.94,5.48,4.8,4.0,20700.0,48
2023-05-10 15:00:00,au2312P416,au2312P416,5.48,1.0,5760.0,-1.0,5.48,5.48,5.48,5.48,5.78,4.84,4.94,5.48,4.8,5.0,26460.0,47
