StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
b2408-C-4600,b2408-C-4600,20231009,b2408-C-4600,黄大豆2号2408购4600,b2408,b2408,期货,美式,认购,10,4600.0,20230901,20240705,0,0,20240705,0.0,0.0,0.0,0.0,有,453.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
b2312-C-4350,b2312-C-4350,20231009,b2312-C-4350,黄大豆2号2312购4350,b2312,b2312,期货,美式,认购,10,4350.0,20221219,20231107,0,0,20231107,0.0,0.0,0.0,0.0,有,709.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
b2409-C-3600,b2409-C-3600,20231009,b2409-C-3600,黄大豆2号2409购3600,b2409,b2409,期货,美式,认购,10,3600.0,20230928,20240807,0,0,20240807,0.0,0.0,0.0,0.0,有,915.5,187.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
b2404-C-3700,b2404-C-3700,20231009,b2404-C-3700,黄大豆2号2404购3700,b2404,b2404,期货,美式,认购,10,3700.0,20230509,20240307,0,0,20240307,0.0,0.0,0.0,0.0,有,877.0,129.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
b2311-C-4850,b2311-C-4850,20231009,b2311-C-4850,黄大豆2号2311购4850,b2311,b2311,期货,美式,认购,10,4850.0,20221122,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,469.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
b2409-C-3700,b2409-C-3700,20231009,b2409-C-3700,黄大豆2号2409购3700,b2409,b2409,期货,美式,认购,10,3700.0,20230920,20240807,0,0,20240807,0.0,0.0,0.0,0.0,有,847.0,119.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
b2409-C-3800,b2409-C-3800,20231009,b2409-C-3800,黄大豆2号2409购3800,b2409,b2409,期货,美式,认购,10,3800.0,20230919,20240807,0,0,20240807,0.0,0.0,0.0,0.0,有,784.5,56.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
b2311-C-3450,b2311-C-3450,20231009,b2311-C-3450,黄大豆2号2311购3450,b2311,b2311,期货,美式,认购,10,3450.0,20230425,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,1746.0,888.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
b2409-C-3900,b2409-C-3900,20231009,b2409-C-3900,黄大豆2号2409购3900,b2409,b2409,期货,美式,认购,10,3900.0,20230919,20240807,0,0,20240807,0.0,0.0,0.0,0.0,有,727.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
b2311-C-3550,b2311-C-3550,20231009,b2311-C-3550,黄大豆2号2311购3550,b2311,b2311,期货,美式,认购,10,3550.0,20230327,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,1646.0,788.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
b2311-C-3650,b2311-C-3650,20231009,b2311-C-3650,黄大豆2号2311购3650,b2311,b2311,期货,美式,认购,10,3650.0,20230324,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,1546.0,688.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
b2311-C-3750,b2311-C-3750,20231009,b2311-C-3750,黄大豆2号2311购3750,b2311,b2311,期货,美式,认购,10,3750.0,20221121,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,1446.0,588.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
b2311-C-3850,b2311-C-3850,20231009,b2311-C-3850,黄大豆2号2311购3850,b2311,b2311,期货,美式,认购,10,3850.0,20221121,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,1346.0,488.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
b2311-C-3950,b2311-C-3950,20231009,b2311-C-3950,黄大豆2号2311购3950,b2311,b2311,期货,美式,认购,10,3950.0,20221121,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,1246.0,388.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
