StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
br2401C9200,br2401C9200,20231009,br2401C9200,丁二烯橡胶2401购9200,br2401,br2401,期货,美式,认购,5,9200.0,20230731,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,5236.0,2143.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C10800,br2401C10800,20231009,br2401C10800,丁二烯橡胶2401购10800,br2401,br2401,期货,美式,认购,5,10800.0,20230731,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,3688.0,595.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C16600,br2401C16600,20231009,br2401C16600,丁二烯橡胶2401购16600,br2401,br2401,期货,美式,认购,5,16600.0,20230906,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,1562.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C14400,br2401C14400,20231009,br2401C14400,丁二烯橡胶2401购14400,br2401,br2401,期货,美式,认购,5,14400.0,20230904,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,1730.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C12200,br2401C12200,20231009,br2401C12200,丁二烯橡胶2401购12200,br2401,br2401,期货,美式,认购,5,12200.0,20230731,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,2584.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C10000,br2401C10000,20231009,br2401C10000,丁二烯橡胶2401购10000,br2401,br2401,期货,美式,认购,5,10000.0,20230731,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,4444.0,1351.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C14600,br2401C14600,20231009,br2401C14600,丁二烯橡胶2401购14600,br2401,br2401,期货,美式,认购,5,14600.0,20230904,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,1698.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C12400,br2401C12400,20231009,br2401C12400,丁二烯橡胶2401购12400,br2401,br2401,期货,美式,认购,5,12400.0,20230731,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,2461.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C10200,br2401C10200,20231009,br2401C10200,丁二烯橡胶2401购10200,br2401,br2401,期货,美式,认购,5,10200.0,20230731,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,4250.0,1157.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C14800,br2401C14800,20231009,br2401C14800,丁二烯橡胶2401购14800,br2401,br2401,期货,美式,认购,5,14800.0,20230904,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,1671.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C12600,br2401C12600,20231009,br2401C12600,丁二烯橡胶2401购12600,br2401,br2401,期货,美式,认购,5,12600.0,20230801,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,2348.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C10400,br2401C10400,20231009,br2401C10400,丁二烯橡胶2401购10400,br2401,br2401,期货,美式,认购,5,10400.0,20230731,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,4059.0,966.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C12800,br2401C12800,20231009,br2401C12800,丁二烯橡胶2401购12800,br2401,br2401,期货,美式,认购,5,12800.0,20230801,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,2244.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C10600,br2401C10600,20231009,br2401C10600,丁二烯橡胶2401购10600,br2401,br2401,期货,美式,认购,5,10600.0,20230731,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,3871.0,778.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C15400,br2401C15400,20231009,br2401C15400,丁二烯橡胶2401购15400,br2401,br2401,期货,美式,认购,5,15400.0,20230904,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,1612.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C13200,br2401C13200,20231009,br2401C13200,丁二烯橡胶2401购13200,br2401,br2401,期货,美式,认购,5,13200.0,20230804,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,2065.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C11000,br2401C11000,20231009,br2401C11000,丁二烯橡胶2401购11000,br2401,br2401,期货,美式,认购,5,11000.0,20230731,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,3509.0,416.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C15600,br2401C15600,20231009,br2401C15600,丁二烯橡胶2401购15600,br2401,br2401,期货,美式,认购,5,15600.0,20230905,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,1599.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C13400,br2401C13400,20231009,br2401C13400,丁二烯橡胶2401购13400,br2401,br2401,期货,美式,认购,5,13400.0,20230824,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,1989.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C11200,br2401C11200,20231009,br2401C11200,丁二烯橡胶2401购11200,br2401,br2401,期货,美式,认购,5,11200.0,20230731,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,3336.0,243.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C15800,br2401C15800,20231009,br2401C15800,丁二烯橡胶2401购15800,br2401,br2401,期货,美式,认购,5,15800.0,20230905,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,1588.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C13600,br2401C13600,20231009,br2401C13600,丁二烯橡胶2401购13600,br2401,br2401,期货,美式,认购,5,13600.0,20230828,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,1922.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C11400,br2401C11400,20231009,br2401C11400,丁二烯橡胶2401购11400,br2401,br2401,期货,美式,认购,5,11400.0,20230731,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,3170.0,77.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C13800,br2401C13800,20231009,br2401C13800,丁二烯橡胶2401购13800,br2401,br2401,期货,美式,认购,5,13800.0,20230829,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,1864.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C11600,br2401C11600,20231009,br2401C11600,丁二烯橡胶2401购11600,br2401,br2401,期货,美式,认购,5,11600.0,20230731,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,3011.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C11800,br2401C11800,20231009,br2401C11800,丁二烯橡胶2401购11800,br2401,br2401,期货,美式,认购,5,11800.0,20230731,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,2860.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C16400,br2401C16400,20231009,br2401C16400,丁二烯橡胶2401购16400,br2401,br2401,期货,美式,认购,5,16400.0,20230905,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,1567.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C14200,br2401C14200,20231009,br2401C14200,丁二烯橡胶2401购14200,br2401,br2401,期货,美式,认购,5,14200.0,20230904,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,1769.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C12000,br2401C12000,20231009,br2401C12000,丁二烯橡胶2401购12000,br2401,br2401,期货,美式,认购,5,12000.0,20230731,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,2717.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
br2401C15200,br2401C15200,20231009,br2401C15200,丁二烯橡胶2401购15200,br2401,br2401,期货,美式,认购,5,15200.0,20230904,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,1628.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
