StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
c2407-C-2500,c2407-C-2500,20231009,c2407-C-2500,玉米2407购2500,c2407,c2407,期货,美式,认购,10,2500.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,294.5,0.5,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2409-C-2560,c2409-C-2560,20231009,c2409-C-2560,玉米2409购2560,c2409,c2409,期货,美式,认购,10,2560.0,20230918,20240807,0,0,20240807,0.0,0.0,0.0,0.0,有,277.5,0.5,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2407-C-2580,c2407-C-2580,20231009,c2407-C-2580,玉米2407购2580,c2407,c2407,期货,美式,认购,10,2580.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,248.0,0.5,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2407-C-2360,c2407-C-2360,20231009,c2407-C-2360,玉米2407购2360,c2407,c2407,期货,美式,认购,10,2360.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,400.5,90.5,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2311-P-2420,c2311-P-2420,20231009,c2311-P-2420,玉米2311沽2420,c2311,c2311,期货,美式,认沽,10,2420.0,20221222,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,156.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2409-C-2500,c2409-C-2500,20231009,c2409-C-2500,玉米2409购2500,c2409,c2409,期货,美式,认购,10,2500.0,20230918,20240807,0,0,20240807,0.0,0.0,0.0,0.0,有,313.0,1.0,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2407-C-2520,c2407-C-2520,20231009,c2407-C-2520,玉米2407购2520,c2407,c2407,期货,美式,认购,10,2520.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,281.5,0.5,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2409-C-2580,c2409-C-2580,20231009,c2409-C-2580,玉米2409购2580,c2409,c2409,期货,美式,认购,10,2580.0,20230918,20240807,0,0,20240807,0.0,0.0,0.0,0.0,有,267.0,0.5,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2407-C-2380,c2407-C-2380,20231009,c2407-C-2380,玉米2407购2380,c2407,c2407,期货,美式,认购,10,2380.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,384.0,74.0,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2311-P-2440,c2311-P-2440,20231009,c2311-P-2440,玉米2311沽2440,c2311,c2311,期货,美式,认沽,10,2440.0,20221221,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,156.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2409-C-2680,c2409-C-2680,20231009,c2409-C-2680,玉米2409购2680,c2409,c2409,期货,美式,认购,10,2680.0,20230918,20240807,0,0,20240807,0.0,0.0,0.0,0.0,有,223.5,0.5,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2409-C-2460,c2409-C-2460,20231009,c2409-C-2460,玉米2409购2460,c2409,c2409,期货,美式,认购,10,2460.0,20230918,20240807,0,0,20240807,0.0,0.0,0.0,0.0,有,340.0,28.0,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2407-C-2480,c2407-C-2480,20231009,c2407-C-2480,玉米2407购2480,c2407,c2407,期货,美式,认购,10,2480.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,307.5,0.5,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2409-C-2600,c2409-C-2600,20231009,c2409-C-2600,玉米2409购2600,c2409,c2409,期货,美式,认购,10,2600.0,20230918,20240807,0,0,20240807,0.0,0.0,0.0,0.0,有,257.0,0.5,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2407-C-2620,c2407-C-2620,20231009,c2407-C-2620,玉米2407购2620,c2407,c2407,期货,美式,认购,10,2620.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,229.5,0.5,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2407-C-2400,c2407-C-2400,20231009,c2407-C-2400,玉米2407购2400,c2407,c2407,期货,美式,认购,10,2400.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,367.5,57.5,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2409-C-2620,c2409-C-2620,20231009,c2409-C-2620,玉米2409购2620,c2409,c2409,期货,美式,认购,10,2620.0,20230918,20240807,0,0,20240807,0.0,0.0,0.0,0.0,有,248.0,0.5,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2409-C-2400,c2409-C-2400,20231009,c2409-C-2400,玉米2409购2400,c2409,c2409,期货,美式,认购,10,2400.0,20230918,20240807,0,0,20240807,0.0,0.0,0.0,0.0,有,384.5,72.5,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2407-C-2640,c2407-C-2640,20231009,c2407-C-2640,玉米2407购2640,c2407,c2407,期货,美式,认购,10,2640.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,221.0,0.5,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2405-C-2880,c2405-C-2880,20231009,c2405-C-2880,玉米2405购2880,c2405,c2405,期货,美式,认购,10,2880.0,20230808,20240408,0,0,20240408,0.0,0.0,0.0,0.0,有,162.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2407-C-2420,c2407-C-2420,20231009,c2407-C-2420,玉米2407购2420,c2407,c2407,期货,美式,认购,10,2420.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,351.5,41.5,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2409-C-2640,c2409-C-2640,20231009,c2409-C-2640,玉米2409购2640,c2409,c2409,期货,美式,认购,10,2640.0,20230918,20240807,0,0,20240807,0.0,0.0,0.0,0.0,有,239.0,0.5,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2409-C-2420,c2409-C-2420,20231009,c2409-C-2420,玉米2409购2420,c2409,c2409,期货,美式,认购,10,2420.0,20230918,20240807,0,0,20240807,0.0,0.0,0.0,0.0,有,369.0,57.0,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2407-C-2660,c2407-C-2660,20231009,c2407-C-2660,玉米2407购2660,c2407,c2407,期货,美式,认购,10,2660.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,213.5,0.5,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2407-C-2440,c2407-C-2440,20231009,c2407-C-2440,玉米2407购2440,c2407,c2407,期货,美式,认购,10,2440.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,336.5,26.5,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2409-C-2660,c2409-C-2660,20231009,c2409-C-2660,玉米2409购2660,c2409,c2409,期货,美式,认购,10,2660.0,20230918,20240807,0,0,20240807,0.0,0.0,0.0,0.0,有,231.0,0.5,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
c2409-C-2440,c2409-C-2440,20231009,c2409-C-2440,玉米2409购2440,c2409,c2409,期货,美式,认购,10,2440.0,20230918,20240807,0,0,20240807,0.0,0.0,0.0,0.0,有,354.5,42.5,0.0,0.0,0.0,1.0,1.0,2000.0,1.0,2000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
