time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,open,high,low,close,yesterday_settlementprice,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-09 21:30:00,c2311-P-2360,c2311-P-2360,27.0,0.0,0.0,0.0,27.0,27.0,27.0,27.0,21.5,27.0,27.0,27.0,27.0,0.0,0.0,164
2023-05-09 22:00:00,c2311-P-2360,c2311-P-2360,27.0,0.0,0.0,0.0,27.0,27.0,27.0,27.0,21.5,27.0,27.0,27.0,27.0,0.0,0.0,164
2023-05-09 22:30:00,c2311-P-2360,c2311-P-2360,27.0,0.0,0.0,0.0,27.0,27.0,27.0,27.0,21.5,27.0,27.0,27.0,27.0,0.0,0.0,164
2023-05-09 23:00:00,c2311-P-2360,c2311-P-2360,27.0,0.0,0.0,0.0,27.0,27.0,27.0,27.0,21.5,27.0,27.0,27.0,27.0,0.0,0.0,164
2023-05-10 09:30:00,c2311-P-2360,c2311-P-2360,35.0,1.0,350.0,0.0,35.0,35.0,35.0,27.0,21.5,27.0,35.0,35.0,35.0,1.0,350.0,164
2023-05-10 10:00:00,c2311-P-2360,c2311-P-2360,35.0,0.0,0.0,0.0,35.0,35.0,35.0,35.0,21.5,27.0,35.0,35.0,35.0,1.0,350.0,164
2023-05-10 10:45:00,c2311-P-2360,c2311-P-2360,31.5,31.0,9765.0,10.0,35.0,35.0,31.5,35.0,21.5,27.0,35.0,35.0,31.5,32.0,10115.0,174
2023-05-10 11:15:00,c2311-P-2360,c2311-P-2360,30.0,1.0,300.0,-1.0,31.5,31.5,30.0,31.5,21.5,27.0,35.0,35.0,30.0,33.0,10415.0,173
2023-05-10 13:45:00,c2311-P-2360,c2311-P-2360,30.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,21.5,27.0,35.0,35.0,30.0,33.0,10415.0,173
2023-05-10 14:15:00,c2311-P-2360,c2311-P-2360,30.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,21.5,27.0,35.0,35.0,30.0,33.0,10415.0,173
2023-05-10 14:45:00,c2311-P-2360,c2311-P-2360,30.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,21.5,27.0,35.0,35.0,30.0,33.0,10415.0,173
2023-05-10 15:00:00,c2311-P-2360,c2311-P-2360,30.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,21.5,27.0,35.0,35.0,30.0,33.0,10415.0,173
