time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-09 20:55:58,c2311-P-2380,玉米2311沽2380,31.0,0.0,0.0,0.0,10,5.0,0.0,0,31.0,35.0,0.0,0.0,0.0,0.0,767
2023-05-09 21:00:00,c2311-P-2380,玉米2311沽2380,31.0,0.0,0.0,0.0,10,8.0,35.0,1,31.0,35.0,0.0,0.0,0.0,0.0,767
2023-05-09 21:00:02,c2311-P-2380,玉米2311沽2380,31.0,0.0,0.0,0.0,10,8.0,33.5,25,31.0,35.0,0.0,0.0,0.0,0.0,767
2023-05-09 21:00:11,c2311-P-2380,玉米2311沽2380,31.0,0.0,0.0,0.0,10,23.0,33.5,25,31.0,35.0,0.0,0.0,0.0,0.0,767
2023-05-09 21:00:11,c2311-P-2380,玉米2311沽2380,31.0,0.0,0.0,0.0,10,23.5,33.5,25,31.0,35.0,0.0,0.0,0.0,0.0,767
2023-05-09 21:00:12,c2311-P-2380,玉米2311沽2380,31.0,0.0,0.0,0.0,25,30.5,33.5,25,31.0,35.0,0.0,0.0,0.0,0.0,767
2023-05-09 21:00:20,c2311-P-2380,玉米2311沽2380,31.0,0.0,0.0,0.0,10,21.0,33.5,25,31.0,35.0,0.0,0.0,0.0,0.0,767
2023-05-09 21:00:20,c2311-P-2380,玉米2311沽2380,31.0,0.0,0.0,0.0,25,31.0,33.5,25,31.0,35.0,0.0,0.0,0.0,0.0,767
2023-05-09 21:00:34,c2311-P-2380,玉米2311沽2380,31.0,0.0,0.0,0.0,25,31.0,34.5,25,31.0,35.0,0.0,0.0,0.0,0.0,767
2023-05-09 21:00:46,c2311-P-2380,玉米2311沽2380,31.0,0.0,0.0,0.0,10,21.0,35.0,1,31.0,35.0,0.0,0.0,0.0,0.0,767
2023-05-09 21:00:47,c2311-P-2380,玉米2311沽2380,31.0,0.0,0.0,0.0,10,24.0,35.0,1,31.0,35.0,0.0,0.0,0.0,0.0,767
2023-05-09 21:00:47,c2311-P-2380,玉米2311沽2380,31.0,0.0,0.0,0.0,16,31.5,34.5,16,31.0,35.0,0.0,0.0,0.0,0.0,767
2023-05-09 21:01:07,c2311-P-2380,玉米2311沽2380,31.0,0.0,0.0,0.0,16,31.5,35.0,1,31.0,35.0,0.0,0.0,0.0,0.0,767
