StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
cu2311P56000,cu2311P56000,20231009,cu2311P56000,铜2311沽56000,cu2311,cu2311,期货,美式,认沽,5,56000.0,20230317,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,5378.0,2.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,2.0,,,,,,,上海期货交易所
cu2311P57000,cu2311P57000,20231009,cu2311P57000,铜2311沽57000,cu2311,cu2311,期货,美式,认沽,5,57000.0,20230315,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,5378.0,2.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,2.0,,,,,,,上海期货交易所
cu2311P58000,cu2311P58000,20231009,cu2311P58000,铜2311沽58000,cu2311,cu2311,期货,美式,认沽,5,58000.0,20230308,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,5378.0,2.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,2.0,,,,,,,上海期货交易所
cu2311C74000,cu2311C74000,20231009,cu2311C74000,铜2311购74000,cu2311,cu2311,期货,美式,认购,5,74000.0,20230308,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,5402.0,2.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,2.0,,,,,,,上海期货交易所
cu2311C75000,cu2311C75000,20231009,cu2311C75000,铜2311购75000,cu2311,cu2311,期货,美式,认购,5,75000.0,20230308,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,5388.0,2.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,2.0,,,,,,,上海期货交易所
cu2311C76000,cu2311C76000,20231009,cu2311C76000,铜2311购76000,cu2311,cu2311,期货,美式,认购,5,76000.0,20230308,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,5380.0,2.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,2.0,,,,,,,上海期货交易所
cu2311C77000,cu2311C77000,20231009,cu2311C77000,铜2311购77000,cu2311,cu2311,期货,美式,认购,5,77000.0,20230308,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,5378.0,2.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,2.0,,,,,,,上海期货交易所
cu2311C78000,cu2311C78000,20231009,cu2311C78000,铜2311购78000,cu2311,cu2311,期货,美式,认购,5,78000.0,20230308,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,5378.0,2.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,2.0,,,,,,,上海期货交易所
cu2311C79000,cu2311C79000,20231009,cu2311C79000,铜2311购79000,cu2311,cu2311,期货,美式,认购,5,79000.0,20230308,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,5378.0,2.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,2.0,,,,,,,上海期货交易所
cu2312C74000,cu2312C74000,20231009,cu2312C74000,铜2312购74000,cu2312,cu2312,期货,美式,认购,5,74000.0,20230504,20231124,0,0,20231124,0.0,0.0,0.0,0.0,有,5548.0,2.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,2.0,,,,,,,上海期货交易所
cu2312C75000,cu2312C75000,20231009,cu2312C75000,铜2312购75000,cu2312,cu2312,期货,美式,认购,5,75000.0,20230504,20231124,0,0,20231124,0.0,0.0,0.0,0.0,有,5484.0,2.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,2.0,,,,,,,上海期货交易所
cu2312C76000,cu2312C76000,20231009,cu2312C76000,铜2312购76000,cu2312,cu2312,期货,美式,认购,5,76000.0,20230504,20231124,0,0,20231124,0.0,0.0,0.0,0.0,有,5442.0,2.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,2.0,,,,,,,上海期货交易所
cu2312C77000,cu2312C77000,20231009,cu2312C77000,铜2312购77000,cu2312,cu2312,期货,美式,认购,5,77000.0,20230802,20231124,0,0,20231124,0.0,0.0,0.0,0.0,有,5414.0,2.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,2.0,,,,,,,上海期货交易所
cu2311C60000,cu2311C60000,20231009,cu2311C60000,铜2311购60000,cu2311,cu2311,期货,美式,认购,5,60000.0,20230308,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,12590.0,1836.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,2.0,,,,,,,上海期货交易所
cu2311C61000,cu2311C61000,20231009,cu2311C61000,铜2311购61000,cu2311,cu2311,期货,美式,认购,5,61000.0,20230308,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,11604.0,850.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,2.0,,,,,,,上海期货交易所
cu2403P74000,cu2403P74000,20231009,cu2403P74000,铜2403沽74000,cu2403,cu2403,期货,美式,认沽,5,74000.0,20230913,20240223,0,0,20240223,0.0,0.0,0.0,0.0,有,12912.0,2198.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,2.0,,,,,,,上海期货交易所
cu2311P60000,cu2311P60000,20231009,cu2311P60000,铜2311沽60000,cu2311,cu2311,期货,美式,认沽,5,60000.0,20230308,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,5384.0,2.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,2.0,,,,,,,上海期货交易所
cu2311P61000,cu2311P61000,20231009,cu2311P61000,铜2311沽61000,cu2311,cu2311,期货,美式,认沽,5,61000.0,20230308,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,5398.0,2.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,2.0,,,,,,,上海期货交易所
