StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
eb2406-C-6600,eb2406-C-6600,20231009,eb2406-C-6600,苯乙烯2406购6600,eb2406,eb2406,期货,美式,认购,5,6600.0,20230630,20240510,0,0,20240510,0.0,0.0,0.0,0.0,有,2595.5,1091.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eb2312-C-7100,eb2312-C-7100,20231009,eb2312-C-7100,苯乙烯2312购7100,eb2312,eb2312,期货,美式,认购,5,7100.0,20230515,20231107,0,0,20231107,0.0,0.0,0.0,0.0,有,2482.0,900.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eb2401-P-7800,eb2401-P-7800,20231009,eb2401-P-7800,苯乙烯2401沽7800,eb2401,eb2401,期货,美式,认沽,5,7800.0,20230515,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,867.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eb2406-C-9300,eb2406-C-9300,20231009,eb2406-C-9300,苯乙烯2406购9300,eb2406,eb2406,期货,美式,认购,5,9300.0,20230907,20240510,0,0,20240510,0.0,0.0,0.0,0.0,有,1093.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eb2311-P-8800,苯乙烯2311沽8800,20231009,eb2311-P-8800,苯乙烯2311沽8800,eb2311,eb2311,期货,美式,认沽,5,8800.0,20230727,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,958.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eb2401-P-7900,eb2401-P-7900,20231009,eb2401-P-7900,苯乙烯2401沽7900,eb2401,eb2401,期货,美式,认沽,5,7900.0,20230515,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,887.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eb2406-C-9400,eb2406-C-9400,20231009,eb2406-C-9400,苯乙烯2406购9400,eb2406,eb2406,期货,美式,认购,5,9400.0,20230908,20240510,0,0,20240510,0.0,0.0,0.0,0.0,有,1067.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eb2311-P-8900,苯乙烯2311沽8900,20231009,eb2311-P-8900,苯乙烯2311沽8900,eb2311,eb2311,期货,美式,认沽,5,8900.0,20230801,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,1004.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eb2406-C-9500,eb2406-C-9500,20231009,eb2406-C-9500,苯乙烯2406购9500,eb2406,eb2406,期货,美式,认购,5,9500.0,20230908,20240510,0,0,20240510,0.0,0.0,0.0,0.0,有,1043.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eb2406-C-9600,eb2406-C-9600,20231009,eb2406-C-9600,苯乙烯2406购9600,eb2406,eb2406,期货,美式,认购,5,9600.0,20230914,20240510,0,0,20240510,0.0,0.0,0.0,0.0,有,1021.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eb2406-C-9700,eb2406-C-9700,20231009,eb2406-C-9700,苯乙烯2406购9700,eb2406,eb2406,期货,美式,认购,5,9700.0,20230920,20240510,0,0,20240510,0.0,0.0,0.0,0.0,有,1000.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eb2312-C-6000,eb2312-C-6000,20231009,eb2312-C-6000,苯乙烯2312购6000,eb2312,eb2312,期货,美式,认购,5,6000.0,20230614,20231107,0,0,20231107,0.0,0.0,0.0,0.0,有,3580.0,1998.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eb2312-C-6100,eb2312-C-6100,20231009,eb2312-C-6100,苯乙烯2312购6100,eb2312,eb2312,期货,美式,认购,5,6100.0,20230614,20231107,0,0,20231107,0.0,0.0,0.0,0.0,有,3480.0,1898.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eb2312-C-6200,eb2312-C-6200,20231009,eb2312-C-6200,苯乙烯2312购6200,eb2312,eb2312,期货,美式,认购,5,6200.0,20230612,20231107,0,0,20231107,0.0,0.0,0.0,0.0,有,3380.0,1798.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eb2312-P-10400,eb2312-P-10400,20231009,eb2312-P-10400,苯乙烯2312沽10400,eb2312,eb2312,期货,美式,认沽,5,10400.0,20230915,20231107,0,0,20231107,0.0,0.0,0.0,0.0,有,2417.0,835.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
