StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
eg2401-P-4900,eg2401-P-4900,20231009,eg2401-P-4900,乙二醇2401沽4900,eg2401,eg2401,期货,美式,认沽,10,4900.0,20230516,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,1119.5,371.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eg2401-C-4450,eg2401-C-4450,20231009,eg2401-C-4450,乙二醇2401购4450,eg2401,eg2401,期货,美式,认购,10,4450.0,20230515,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,420.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eg2401-C-4550,eg2401-C-4550,20231009,eg2401-C-4550,乙二醇2401购4550,eg2401,eg2401,期货,美式,认购,10,4550.0,20230515,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,403.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eg2401-P-4800,eg2401-P-4800,20231009,eg2401-P-4800,乙二醇2401沽4800,eg2401,eg2401,期货,美式,认沽,10,4800.0,20230515,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,1023.0,275.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eg2408-C-4250,eg2408-C-4250,20231009,eg2408-C-4250,乙二醇2408购4250,eg2408,eg2408,期货,美式,认购,10,4250.0,20230901,20240705,0,0,20240705,0.0,0.0,0.0,0.0,有,672.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eg2401-P-4850,eg2401-P-4850,20231009,eg2401-P-4850,乙二醇2401沽4850,eg2401,eg2401,期货,美式,认沽,10,4850.0,20230515,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,1071.0,323.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eg2401-P-3600,eg2401-P-3600,20231009,eg2401-P-3600,乙二醇2401沽3600,eg2401,eg2401,期货,美式,认沽,10,3600.0,20230601,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,380.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eg2401-P-3700,eg2401-P-3700,20231009,eg2401-P-3700,乙二醇2401沽3700,eg2401,eg2401,期货,美式,认沽,10,3700.0,20230525,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,388.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eg2401-C-4650,eg2401-C-4650,20231009,eg2401-C-4650,乙二醇2401购4650,eg2401,eg2401,期货,美式,认购,10,4650.0,20230515,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,392.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
eg2401-P-3800,eg2401-P-3800,20231009,eg2401-P-3800,乙二醇2401沽3800,eg2401,eg2401,期货,美式,认沽,10,3800.0,20230523,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,401.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
