StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
i2403-C-540,i2403-C-540,20231009,i2403-C-540,铁矿石2403购540,i2403,i2403,期货,美式,认购,100,540.0,20230505,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,382.0,200.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.1,,,,,,,大连商品交易所
i2408-P-600,i2408-P-600,20231009,i2408-P-600,铁矿石2408沽600,i2408,i2408,期货,美式,认沽,100,600.0,20230816,20240705,0,0,20240705,0.0,0.0,0.0,0.0,有,100.3,0.1,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.1,,,,,,,大连商品交易所
i2403-C-670,i2403-C-670,20231009,i2403-C-670,铁矿石2403购670,i2403,i2403,期货,美式,认购,100,670.0,20230317,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,260.6,78.6,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.1,,,,,,,大连商品交易所
i2403-C-680,i2403-C-680,20231009,i2403-C-680,铁矿石2403购680,i2403,i2403,期货,美式,认购,100,680.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,252.3,70.3,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.1,,,,,,,大连商品交易所
i2403-C-690,i2403-C-690,20231009,i2403-C-690,铁矿石2403购690,i2403,i2403,期货,美式,认购,100,690.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,244.1,62.1,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.1,,,,,,,大连商品交易所
i2403-P-670,i2403-P-670,20231009,i2403-P-670,铁矿石2403沽670,i2403,i2403,期货,美式,认沽,100,670.0,20230317,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,100.3,0.1,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.1,,,,,,,大连商品交易所
i2403-P-680,i2403-P-680,20231009,i2403-P-680,铁矿石2403沽680,i2403,i2403,期货,美式,认沽,100,680.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,101.9,0.1,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.1,,,,,,,大连商品交易所
i2403-P-690,i2403-P-690,20231009,i2403-P-690,铁矿石2403沽690,i2403,i2403,期货,美式,认沽,100,690.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,103.7,0.1,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.1,,,,,,,大连商品交易所
i2405-C-600,i2405-C-600,20231009,i2405-C-600,铁矿石2405购600,i2405,i2405,期货,美式,认购,100,600.0,20230519,20240408,0,0,20240408,0.0,0.0,0.0,0.0,有,299.5,122.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.1,,,,,,,大连商品交易所
i2405-C-610,i2405-C-610,20231009,i2405-C-610,铁矿石2405购610,i2405,i2405,期货,美式,认购,100,610.0,20230519,20240408,0,0,20240408,0.0,0.0,0.0,0.0,有,290.8,113.8,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.1,,,,,,,大连商品交易所
i2405-C-700,i2405-C-700,20231009,i2405-C-700,铁矿石2405购700,i2405,i2405,期货,美式,认购,100,700.0,20230519,20240408,0,0,20240408,0.0,0.0,0.0,0.0,有,219.9,42.9,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.1,,,,,,,大连商品交易所
i2405-C-710,i2405-C-710,20231009,i2405-C-710,铁矿石2405购710,i2405,i2405,期货,美式,认购,100,710.0,20230519,20240408,0,0,20240408,0.0,0.0,0.0,0.0,有,213.1,36.1,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.1,,,,,,,大连商品交易所
i2401-C-850,i2401-C-850,20231009,i2401-C-850,铁矿石2401购850,i2401,i2401,期货,美式,认购,100,850.0,20230118,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,143.6,0.1,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.1,,,,,,,大连商品交易所
i2401-C-860,i2401-C-860,20231009,i2401-C-860,铁矿石2401购860,i2401,i2401,期货,美式,认购,100,860.0,20230118,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,139.0,0.1,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.1,,,,,,,大连商品交易所
