StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
l2403-C-8800,l2403-C-8800,20231009,l2403-C-8800,聚乙烯2403购8800,l2403,l2403,期货,美式,认购,5,8800.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,660.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-C-8000,l2403-C-8000,20231009,l2403-C-8000,聚乙烯2403购8000,l2403,l2403,期货,美式,认购,5,8000.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,970.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-C-8100,l2403-C-8100,20231009,l2403-C-8100,聚乙烯2403购8100,l2403,l2403,期货,美式,认购,5,8100.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,912.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-C-8200,l2403-C-8200,20231009,l2403-C-8200,聚乙烯2403购8200,l2403,l2403,期货,美式,认购,5,8200.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,860.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-C-8300,l2403-C-8300,20231009,l2403-C-8300,聚乙烯2403购8300,l2403,l2403,期货,美式,认购,5,8300.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,814.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-C-8400,l2403-C-8400,20231009,l2403-C-8400,聚乙烯2403购8400,l2403,l2403,期货,美式,认购,5,8400.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,774.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-C-8500,l2403-C-8500,20231009,l2403-C-8500,聚乙烯2403购8500,l2403,l2403,期货,美式,认购,5,8500.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,738.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-C-8600,l2403-C-8600,20231009,l2403-C-8600,聚乙烯2403购8600,l2403,l2403,期货,美式,认购,5,8600.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,708.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-C-8700,l2403-C-8700,20231009,l2403-C-8700,聚乙烯2403购8700,l2403,l2403,期货,美式,认购,5,8700.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,682.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-C-8900,l2403-C-8900,20231009,l2403-C-8900,聚乙烯2403购8900,l2403,l2403,期货,美式,认购,5,8900.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,642.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-C-9000,l2403-C-9000,20231009,l2403-C-9000,聚乙烯2403购9000,l2403,l2403,期货,美式,认购,5,9000.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,628.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-C-9100,l2403-C-9100,20231009,l2403-C-9100,聚乙烯2403购9100,l2403,l2403,期货,美式,认购,5,9100.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,616.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-C-9200,l2403-C-9200,20231009,l2403-C-9200,聚乙烯2403购9200,l2403,l2403,期货,美式,认购,5,9200.0,20230824,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,606.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-C-9300,l2403-C-9300,20231009,l2403-C-9300,聚乙烯2403购9300,l2403,l2403,期货,美式,认购,5,9300.0,20230920,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,599.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-P-8000,l2403-P-8000,20231009,l2403-P-8000,聚乙烯2403沽8000,l2403,l2403,期货,美式,认沽,5,8000.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,755.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-P-8100,l2403-P-8100,20231009,l2403-P-8100,聚乙烯2403沽8100,l2403,l2403,期货,美式,认沽,5,8100.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,797.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-P-8200,l2403-P-8200,20231009,l2403-P-8200,聚乙烯2403沽8200,l2403,l2403,期货,美式,认沽,5,8200.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,845.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-P-8300,l2403-P-8300,20231009,l2403-P-8300,聚乙烯2403沽8300,l2403,l2403,期货,美式,认沽,5,8300.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,898.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-P-8400,l2403-P-8400,20231009,l2403-P-8400,聚乙烯2403沽8400,l2403,l2403,期货,美式,认沽,5,8400.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,957.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-P-8500,l2403-P-8500,20231009,l2403-P-8500,聚乙烯2403沽8500,l2403,l2403,期货,美式,认沽,5,8500.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,1021.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-P-8600,l2403-P-8600,20231009,l2403-P-8600,聚乙烯2403沽8600,l2403,l2403,期货,美式,认沽,5,8600.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,1090.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-P-8700,l2403-P-8700,20231009,l2403-P-8700,聚乙烯2403沽8700,l2403,l2403,期货,美式,认沽,5,8700.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,1164.5,14.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-P-8800,l2403-P-8800,20231009,l2403-P-8800,聚乙烯2403沽8800,l2403,l2403,期货,美式,认沽,5,8800.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,1242.5,92.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-P-8900,l2403-P-8900,20231009,l2403-P-8900,聚乙烯2403沽8900,l2403,l2403,期货,美式,认沽,5,8900.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,1324.0,174.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-P-9000,l2403-P-9000,20231009,l2403-P-9000,聚乙烯2403沽9000,l2403,l2403,期货,美式,认沽,5,9000.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,1409.0,259.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-P-9100,l2403-P-9100,20231009,l2403-P-9100,聚乙烯2403沽9100,l2403,l2403,期货,美式,认沽,5,9100.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,1497.0,347.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-P-9200,l2403-P-9200,20231009,l2403-P-9200,聚乙烯2403沽9200,l2403,l2403,期货,美式,认沽,5,9200.0,20230824,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,1587.0,437.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2403-P-9300,l2403-P-9300,20231009,l2403-P-9300,聚乙烯2403沽9300,l2403,l2403,期货,美式,认沽,5,9300.0,20230920,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,1679.5,529.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2408-P-8000,l2408-P-8000,20231009,l2408-P-8000,聚乙烯2408沽8000,l2408,l2408,期货,美式,认沽,5,8000.0,20230817,20240705,0,0,20240705,0.0,0.0,0.0,0.0,有,908.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2404-C-8500,l2404-C-8500,20231009,l2404-C-8500,聚乙烯2404购8500,l2404,l2404,期货,美式,认购,5,8500.0,20230428,20240307,0,0,20240307,0.0,0.0,0.0,0.0,有,767.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2404-C-8600,l2404-C-8600,20231009,l2404-C-8600,聚乙烯2404购8600,l2404,l2404,期货,美式,认购,5,8600.0,20230428,20240307,0,0,20240307,0.0,0.0,0.0,0.0,有,735.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2404-C-9000,l2404-C-9000,20231009,l2404-C-9000,聚乙烯2404购9000,l2404,l2404,期货,美式,认购,5,9000.0,20230803,20240307,0,0,20240307,0.0,0.0,0.0,0.0,有,646.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2404-C-9100,l2404-C-9100,20231009,l2404-C-9100,聚乙烯2404购9100,l2404,l2404,期货,美式,认购,5,9100.0,20230822,20240307,0,0,20240307,0.0,0.0,0.0,0.0,有,632.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2404-C-9200,l2404-C-9200,20231009,l2404-C-9200,聚乙烯2404购9200,l2404,l2404,期货,美式,认购,5,9200.0,20230824,20240307,0,0,20240307,0.0,0.0,0.0,0.0,有,620.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2404-C-9300,l2404-C-9300,20231009,l2404-C-9300,聚乙烯2404购9300,l2404,l2404,期货,美式,认购,5,9300.0,20230920,20240307,0,0,20240307,0.0,0.0,0.0,0.0,有,610.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2401-C-8000,l2401-C-8000,20231009,l2401-C-8000,聚乙烯2401购8000,l2401,l2401,期货,美式,认购,5,8000.0,20230119,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,935.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2401-C-8100,l2401-C-8100,20231009,l2401-C-8100,聚乙烯2401购8100,l2401,l2401,期货,美式,认购,5,8100.0,20230119,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,870.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2404-C-7800,l2404-C-7800,20231009,l2404-C-7800,聚乙烯2404购7800,l2404,l2404,期货,美式,认购,5,7800.0,20230428,20240307,0,0,20240307,0.0,0.0,0.0,0.0,有,1131.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
l2311-C-8100,l2311-C-8100,20231009,l2311-C-8100,聚乙烯2311购8100,l2311,l2311,期货,美式,认购,5,8100.0,20221121,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,975.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
