StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
lc2403-C-140000,lc2403-C-140000,20231009,lc2403-C-140000,碳酸锂2403购140000,lc2403,lc2403,期货,美式,认购,1,140000.0,20230920,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,27730.0,2630.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,10.0,,,,,,,广州期货交易所
lc2401-C-186000,lc2401-C-186000,20231009,lc2401-C-186000,碳酸锂2401购186000,lc2401,lc2401,期货,美式,认购,1,186000.0,20230814,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,16920.0,10.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,10.0,,,,,,,广州期货交易所
lc2401-C-164000,lc2401-C-164000,20231009,lc2401-C-164000,碳酸锂2401购164000,lc2401,lc2401,期货,美式,认购,1,164000.0,20230830,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,21660.0,10.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,10.0,,,,,,,广州期货交易所
lc2407-C-180000,lc2407-C-180000,20231009,lc2407-C-180000,碳酸锂2407购180000,lc2407,lc2407,期货,美式,认购,1,180000.0,20230724,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,14730.0,10.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,10.0,,,,,,,广州期货交易所
lc2401-C-142000,lc2401-C-142000,20231009,lc2401-C-142000,碳酸锂2401购142000,lc2401,lc2401,期货,美式,认购,1,142000.0,20230921,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,30880.0,3980.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,10.0,,,,,,,广州期货交易所
lc2404-C-268000,lc2404-C-268000,20231009,lc2404-C-268000,碳酸锂2404购268000,lc2404,lc2404,期货,美式,认购,1,268000.0,20230724,20240307,0,0,20240307,0.0,0.0,0.0,0.0,有,12670.0,10.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,10.0,,,,,,,广州期货交易所
lc2406-C-222000,lc2406-C-222000,20231009,lc2406-C-222000,碳酸锂2406购222000,lc2406,lc2406,期货,美式,认购,1,222000.0,20230724,20240510,0,0,20240510,0.0,0.0,0.0,0.0,有,13040.0,10.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,10.0,,,,,,,广州期货交易所
lc2407-C-166000,lc2407-C-166000,20231009,lc2407-C-166000,碳酸锂2407购166000,lc2407,lc2407,期货,美式,认购,1,166000.0,20230724,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,16600.0,10.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,10.0,,,,,,,广州期货交易所
lc2401-C-128000,lc2401-C-128000,20231009,lc2401-C-128000,碳酸锂2401购128000,lc2401,lc2401,期货,美式,认购,1,128000.0,20230928,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,39700.0,12800.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,10.0,,,,,,,广州期货交易所
lc2406-C-232000,lc2406-C-232000,20231009,lc2406-C-232000,碳酸锂2406购232000,lc2406,lc2406,期货,美式,认购,1,232000.0,20230724,20240510,0,0,20240510,0.0,0.0,0.0,0.0,有,12740.0,10.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,10.0,,,,,,,广州期货交易所
lc2407-C-176000,lc2407-C-176000,20231009,lc2407-C-176000,碳酸锂2407购176000,lc2407,lc2407,期货,美式,认购,1,176000.0,20230724,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,15180.0,10.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,10.0,,,,,,,广州期货交易所
lc2401-C-138000,lc2401-C-138000,20231009,lc2401-C-138000,碳酸锂2401购138000,lc2401,lc2401,期货,美式,认购,1,138000.0,20230921,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,33150.0,6250.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,10.0,,,,,,,广州期货交易所
lc2403-C-150000,lc2403-C-150000,20231009,lc2403-C-150000,碳酸锂2403购150000,lc2403,lc2403,期货,美式,认购,1,150000.0,20230915,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,23800.0,10.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,10.0,,,,,,,广州期货交易所
lc2401-C-196000,lc2401-C-196000,20231009,lc2401-C-196000,碳酸锂2401购196000,lc2401,lc2401,期货,美式,认购,1,196000.0,20230724,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,15720.0,10.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,10.0,,,,,,,广州期货交易所
lc2401-C-174000,lc2401-C-174000,20231009,lc2401-C-174000,碳酸锂2401购174000,lc2401,lc2401,期货,美式,认购,1,174000.0,20230816,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,19070.0,10.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,10.0,,,,,,,广州期货交易所
lc2407-C-190000,lc2407-C-190000,20231009,lc2407-C-190000,碳酸锂2407购190000,lc2407,lc2407,期货,美式,认购,1,190000.0,20230724,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,13840.0,10.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,10.0,,,,,,,广州期货交易所
lc2401-C-152000,lc2401-C-152000,20231009,lc2401-C-152000,碳酸锂2401购152000,lc2401,lc2401,期货,美式,认购,1,152000.0,20230918,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,26020.0,10.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,10.0,,,,,,,广州期货交易所
lc2404-C-270000,lc2404-C-270000,20231009,lc2404-C-270000,碳酸锂2404购270000,lc2404,lc2404,期货,美式,认购,1,270000.0,20230724,20240307,0,0,20240307,0.0,0.0,0.0,0.0,有,12650.0,10.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,10.0,,,,,,,广州期货交易所
lc2401-C-130000,lc2401-C-130000,20231009,lc2401-C-130000,碳酸锂2401购130000,lc2401,lc2401,期货,美式,认购,1,130000.0,20230928,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,38300.0,11400.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,10.0,,,,,,,广州期货交易所
lc2403-C-152000,lc2403-C-152000,20231009,lc2403-C-152000,碳酸锂2403购152000,lc2403,lc2403,期货,美式,认购,1,152000.0,20230912,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,23130.0,10.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,10.0,,,,,,,广州期货交易所
