StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
m2405-P-3700,m2405-P-3700,20231009,m2405-P-3700,豆粕2405沽3700,m2405,m2405,期货,美式,认沽,10,3700.0,20230721,20240408,0,0,20240408,0.0,0.0,0.0,0.0,有,663.0,51.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.5,,,,,,,大连商品交易所
m2405-P-3800,m2405-P-3800,20231009,m2405-P-3800,豆粕2405沽3800,m2405,m2405,期货,美式,认沽,10,3800.0,20230818,20240408,0,0,20240408,0.0,0.0,0.0,0.0,有,743.0,131.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.5,,,,,,,大连商品交易所
m2311-P-3850,m2311-P-3850,20231009,m2311-P-3850,豆粕2311沽3850,m2311,m2311,期货,美式,认沽,10,3850.0,20221116,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,393.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.5,,,,,,,大连商品交易所
m2311-P-3950,m2311-P-3950,20231009,m2311-P-3950,豆粕2311沽3950,m2311,m2311,期货,美式,认沽,10,3950.0,20221116,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,393.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.5,,,,,,,大连商品交易所
m2405-P-3750,m2405-P-3750,20231009,m2405-P-3750,豆粕2405沽3750,m2405,m2405,期货,美式,认沽,10,3750.0,20230816,20240408,0,0,20240408,0.0,0.0,0.0,0.0,有,702.0,90.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.5,,,,,,,大连商品交易所
m2405-P-3850,m2405-P-3850,20231009,m2405-P-3850,豆粕2405沽3850,m2405,m2405,期货,美式,认沽,10,3850.0,20230822,20240408,0,0,20240408,0.0,0.0,0.0,0.0,有,785.0,173.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.5,,,,,,,大连商品交易所
m2405-P-3100,m2405-P-3100,20231009,m2405-P-3100,豆粕2405沽3100,m2405,m2405,期货,美式,认沽,10,3100.0,20230519,20240408,0,0,20240408,0.0,0.0,0.0,0.0,有,355.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.5,,,,,,,大连商品交易所
m2312-P-4250,m2312-P-4250,20231009,m2312-P-4250,豆粕2312沽4250,m2312,m2312,期货,美式,认沽,10,4250.0,20221227,20231107,0,0,20231107,0.0,0.0,0.0,0.0,有,536.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.5,,,,,,,大连商品交易所
m2312-P-4300,m2312-P-4300,20231009,m2312-P-4300,豆粕2312沽4300,m2312,m2312,期货,美式,认沽,10,4300.0,20230103,20231107,0,0,20231107,0.0,0.0,0.0,0.0,有,571.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.5,,,,,,,大连商品交易所
m2311-P-3100,m2311-P-3100,20231009,m2311-P-3100,豆粕2311沽3100,m2311,m2311,期货,美式,认沽,10,3100.0,20221118,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,393.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.5,,,,,,,大连商品交易所
m2311-P-3200,m2311-P-3200,20231009,m2311-P-3200,豆粕2311沽3200,m2311,m2311,期货,美式,认沽,10,3200.0,20221116,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,393.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.5,,,,,,,大连商品交易所
m2311-P-3500,m2311-P-3500,20231009,m2311-P-3500,豆粕2311沽3500,m2311,m2311,期货,美式,认沽,10,3500.0,20221116,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,393.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.5,,,,,,,大连商品交易所
m2401-C-3800,m2401-C-3800,20231009,m2401-C-3800,豆粕2401购3800,m2401,m2401,期货,美式,认购,10,3800.0,20230118,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,612.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.5,,,,,,,大连商品交易所
