time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-10 20:55:57,m2403-C-3950,m2403-C-3950,28.0,0.0,0.0,0.0,1,0.5,0.0,0,28.0,29.5,0.0,0.0,0.0,0.0,40
2023-05-10 21:05:14,m2403-C-3950,m2403-C-3950,28.0,0.0,0.0,0.0,1,1.5,0.0,0,28.0,29.5,0.0,0.0,0.0,0.0,40
2023-05-10 21:10:43,m2403-C-3950,m2403-C-3950,28.0,0.0,0.0,0.0,1,2.5,0.0,0,28.0,29.5,0.0,0.0,0.0,0.0,40
2023-05-10 21:17:10,m2403-C-3950,m2403-C-3950,28.0,0.0,0.0,0.0,2,2.5,0.0,0,28.0,29.5,0.0,0.0,0.0,0.0,40
2023-05-10 22:49:55,m2403-C-3950,m2403-C-3950,28.0,0.0,0.0,0.0,1,2.5,0.0,0,28.0,29.5,0.0,0.0,0.0,0.0,40
2023-05-11 09:33:10,m2403-C-3950,m2403-C-3950,28.0,0.0,0.0,0.0,2,2.5,0.0,0,28.0,29.5,0.0,0.0,0.0,0.0,40
2023-05-11 09:36:51,m2403-C-3950,m2403-C-3950,28.0,0.0,0.0,0.0,1,3.5,0.0,0,28.0,29.5,0.0,0.0,0.0,0.0,40
2023-05-11 14:39:46,m2403-C-3950,m2403-C-3950,28.0,0.0,0.0,0.0,5,28.0,34.0,5,28.0,29.5,0.0,0.0,0.0,0.0,40
2023-05-11 14:39:50,m2403-C-3950,m2403-C-3950,28.0,0.0,0.0,0.0,5,28.0,29.5,5,28.0,29.5,0.0,0.0,0.0,0.0,40
2023-05-11 14:39:52,m2403-C-3950,m2403-C-3950,29.5,5.0,1475.0,5.0,5,28.0,34.0,5,28.0,29.5,29.5,29.5,5.0,1475.0,45
2023-05-11 14:39:54,m2403-C-3950,m2403-C-3950,29.5,0.0,0.0,0.0,10,28.0,34.0,10,28.0,29.5,29.5,29.5,5.0,1475.0,45
2023-05-11 14:39:55,m2403-C-3950,m2403-C-3950,29.5,0.0,0.0,0.0,15,28.0,34.0,15,28.0,29.5,29.5,29.5,5.0,1475.0,45
2023-05-11 14:39:58,m2403-C-3950,m2403-C-3950,29.5,0.0,0.0,0.0,5,29.0,34.0,15,28.0,29.5,29.5,29.5,5.0,1475.0,45
2023-05-11 14:40:04,m2403-C-3950,m2403-C-3950,29.5,0.0,0.0,0.0,10,29.0,34.0,20,28.0,29.5,29.5,29.5,5.0,1475.0,45
2023-05-11 14:40:06,m2403-C-3950,m2403-C-3950,29.5,0.0,0.0,0.0,10,29.0,34.0,10,28.0,29.5,29.5,29.5,5.0,1475.0,45
2023-05-11 14:40:09,m2403-C-3950,m2403-C-3950,29.5,0.0,0.0,0.0,5,29.0,34.0,5,28.0,29.5,29.5,29.5,5.0,1475.0,45
2023-05-11 14:40:14,m2403-C-3950,m2403-C-3950,29.5,0.0,0.0,0.0,1,3.5,0.0,0,28.0,29.5,29.5,29.5,5.0,1475.0,45
2023-05-11 14:40:15,m2403-C-3950,m2403-C-3950,29.5,0.0,0.0,0.0,1,10.0,0.0,0,28.0,29.5,29.5,29.5,5.0,1475.0,45
2023-05-11 14:40:16,m2403-C-3950,m2403-C-3950,29.5,0.0,0.0,0.0,1,3.5,0.0,0,28.0,29.5,29.5,29.5,5.0,1475.0,45
2023-05-11 15:01:09,m2403-C-3950,m2403-C-3950,29.5,0.0,0.0,0.0,1,3.5,0.0,0,28.0,29.5,29.5,29.5,5.0,1475.0,45
