StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
MA312C2800,MA312C2800,20231009,MA312C2800,甲醇2312购2800,MA2312,MA2312,期货,美式,认购,10,2800.0,20230104,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,232.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA401C1875,MA401C1875,20231009,MA401C1875,甲醇2401购1875,MA2401,MA2401,期货,美式,认购,10,1875.0,20230526,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,837.0,389.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA312C2325,MA312C2325,20231009,MA312C2325,甲醇2312购2325,MA2312,MA2312,期货,美式,认购,10,2325.0,20230407,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,402.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA312C2600,MA312C2600,20231009,MA312C2600,甲醇2312购2600,MA2312,MA2312,期货,美式,认购,10,2600.0,20230104,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,255.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA312P2375,MA312P2375,20231009,MA312P2375,甲醇2312沽2375,MA2312,MA2312,期货,美式,认沽,10,2375.0,20230215,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,250.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA312P2650,MA312P2650,20231009,MA312P2650,甲醇2312沽2650,MA2312,MA2312,期货,美式,认沽,10,2650.0,20230104,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,408.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA401P2475,MA401P2475,20231009,MA401P2475,甲醇2401沽2475,MA2401,MA2401,期货,美式,认沽,10,2475.0,20230323,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,329.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA407C2800,MA407C2800,20231009,MA407C2800,甲醇2407购2800,MA2407,MA2407,期货,美式,认购,10,2800.0,20230919,20240612,0,0,20240612,0.0,0.0,0.0,0.0,有,285.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA311C2550,MA311C2550,20231009,MA311C2550,甲醇2311购2550,MA2311,MA2311,期货,美式,认购,10,2550.0,20230110,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,236.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA311C2850,MA311C2850,20231009,MA311C2850,甲醇2311购2850,MA2311,MA2311,期货,美式,认购,10,2850.0,20230110,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,223.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA312C2400,MA312C2400,20231009,MA312C2400,甲醇2312购2400,MA2312,MA2312,期货,美式,认购,10,2400.0,20230213,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,345.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA401C1950,MA401C1950,20231009,MA401C1950,甲醇2401购1950,MA2401,MA2401,期货,美式,认购,10,1950.0,20230523,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,763.5,315.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA408C2700,MA408C2700,20231009,MA408C2700,甲醇2408购2700,MA2408,MA2408,期货,美式,认购,10,2700.0,20230913,20240711,0,0,20240711,0.0,0.0,0.0,0.0,有,305.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA312C2450,MA312C2450,20231009,MA312C2450,甲醇2312购2450,MA2312,MA2312,期货,美式,认购,10,2450.0,20230104,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,313.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA311C2650,MA311C2650,20231009,MA311C2650,甲醇2311购2650,MA2311,MA2311,期货,美式,认购,10,2650.0,20230110,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,226.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA312C2500,MA312C2500,20231009,MA312C2500,甲醇2312购2500,MA2312,MA2312,期货,美式,认购,10,2500.0,20230104,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,288.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA408C2800,MA408C2800,20231009,MA408C2800,甲醇2408购2800,MA2408,MA2408,期货,美式,认购,10,2800.0,20230920,20240711,0,0,20240711,0.0,0.0,0.0,0.0,有,284.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA312C2550,MA312C2550,20231009,MA312C2550,甲醇2312购2550,MA2312,MA2312,期货,美式,认购,10,2550.0,20230104,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,269.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA311C2750,MA311C2750,20231009,MA311C2750,甲醇2311购2750,MA2311,MA2311,期货,美式,认购,10,2750.0,20230110,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,224.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA312C2375,MA312C2375,20231009,MA312C2375,甲醇2312购2375,MA2312,MA2312,期货,美式,认购,10,2375.0,20230215,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,363.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA312C2650,MA312C2650,20231009,MA312C2650,甲醇2312购2650,MA2312,MA2312,期货,美式,认购,10,2650.0,20230104,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,246.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA401C1975,MA401C1975,20231009,MA401C1975,甲醇2401购1975,MA2401,MA2401,期货,美式,认购,10,1975.0,20230523,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,739.5,291.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA312C2425,MA312C2425,20231009,MA312C2425,甲醇2312购2425,MA2312,MA2312,期货,美式,认购,10,2425.0,20230105,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,328.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA312C2700,MA312C2700,20231009,MA312C2700,甲醇2312购2700,MA2312,MA2312,期货,美式,认购,10,2700.0,20230104,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,239.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA312C2475,MA312C2475,20231009,MA312C2475,甲醇2312购2475,MA2312,MA2312,期货,美式,认购,10,2475.0,20230104,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,299.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA312C2750,MA312C2750,20231009,MA312C2750,甲醇2312购2750,MA2312,MA2312,期货,美式,认购,10,2750.0,20230104,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,235.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA312C2850,MA312C2850,20231009,MA312C2850,甲醇2312购2850,MA2312,MA2312,期货,美式,认购,10,2850.0,20230104,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,229.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA312P2800,MA312P2800,20231009,MA312P2800,甲醇2312沽2800,MA2312,MA2312,期货,美式,认沽,10,2800.0,20230104,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,543.0,95.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
MA312P2600,MA312P2600,20231009,MA312P2600,甲醇2312沽2600,MA2312,MA2312,期货,美式,认沽,10,2600.0,20230104,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,367.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
