time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,open,high,low,close,yesterday_settlementprice,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-09 21:30:00,MA311P2200,MA311P2200,66.0,0.0,0.0,-3.0,66.0,66.0,66.0,66.0,62.5,66.0,66.0,66.0,66.0,0.0,0.0,69
2023-05-09 22:00:00,MA311P2200,MA311P2200,66.0,0.0,0.0,0.0,66.0,66.0,66.0,66.0,62.5,66.0,66.0,66.0,66.0,0.0,0.0,69
2023-05-09 22:30:00,MA311P2200,MA311P2200,72.0,67.0,4723.5,6.0,68.5,73.0,66.0,66.0,62.5,66.0,68.5,73.0,68.5,67.0,4723.5,75
2023-05-09 23:00:00,MA311P2200,MA311P2200,72.0,0.0,0.0,0.0,72.0,72.0,72.0,72.0,62.5,66.0,68.5,73.0,68.5,67.0,4723.5,75
2023-05-10 09:30:00,MA311P2200,MA311P2200,70.5,2.0,141.0,-2.0,72.0,72.0,70.5,72.0,62.5,66.0,68.5,73.0,68.5,69.0,4864.5,73
2023-05-10 10:00:00,MA311P2200,MA311P2200,73.0,3.0,211.5,3.0,70.5,73.0,70.5,70.5,62.5,66.0,68.5,73.0,68.5,72.0,5076.0,76
2023-05-10 10:45:00,MA311P2200,MA311P2200,75.5,21.0,1620.0,6.0,73.0,76.5,73.0,73.0,62.5,66.0,68.5,76.5,68.5,93.0,6696.0,82
2023-05-10 11:15:00,MA311P2200,MA311P2200,76.0,6.0,432.0,6.0,75.5,76.0,75.0,75.5,62.5,66.0,68.5,76.5,68.5,99.0,7128.0,88
2023-05-10 13:45:00,MA311P2200,MA311P2200,77.5,25.0,1924.0,2.0,76.0,78.0,76.0,76.0,62.5,66.0,68.5,78.0,68.5,124.0,9052.0,90
2023-05-10 14:15:00,MA311P2200,MA311P2200,76.0,6.0,503.0,6.0,77.5,77.5,75.5,77.5,62.5,66.0,68.5,78.0,68.5,130.0,9555.0,96
2023-05-10 14:45:00,MA311P2200,MA311P2200,76.0,0.0,0.0,0.0,76.0,76.0,76.0,76.0,62.5,66.0,68.5,78.0,68.5,130.0,9555.0,96
2023-05-10 15:00:00,MA311P2200,MA311P2200,76.0,0.0,0.0,0.0,76.0,76.0,76.0,76.0,0.0,66.0,68.5,78.0,68.5,130.0,9555.0,96
