StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
OI311C9500,OI311C9500,20231009,OI311C9500,菜籽油2311购9500,OI2311,OI2311,期货,美式,认购,10,9500.0,20230206,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,808.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
OI401C11000,OI401C11000,20231009,OI401C11000,菜籽油2401购11000,OI2401,OI2401,期货,美式,认购,10,11000.0,20230724,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,817.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
OI311C9700,OI311C9700,20231009,OI311C9700,菜籽油2311购9700,OI2311,OI2311,期货,美式,认购,10,9700.0,20230206,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,804.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
OI311C9900,OI311C9900,20231009,OI311C9900,菜籽油2311购9900,OI2311,OI2311,期货,美式,认购,10,9900.0,20230206,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,803.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
OI405C7800,OI405C7800,20231009,OI405C7800,菜籽油2405购7800,OI2405,OI2405,期货,美式,认购,10,7800.0,20230804,20240411,0,0,20240411,0.0,0.0,0.0,0.0,有,1820.0,258.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
OI405P9100,OI405P9100,20231009,OI405P9100,菜籽油2405沽9100,OI2405,OI2405,期货,美式,认沽,10,9100.0,20230728,20240411,0,0,20240411,0.0,0.0,0.0,0.0,有,1558.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
OI405P9300,OI405P9300,20231009,OI405P9300,菜籽油2405沽9300,OI2405,OI2405,期货,美式,认沽,10,9300.0,20230728,20240411,0,0,20240411,0.0,0.0,0.0,0.0,有,1695.5,133.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
OI405C8800,OI405C8800,20231009,OI405C8800,菜籽油2405购8800,OI2405,OI2405,期货,美式,认购,10,8800.0,20230728,20240411,0,0,20240411,0.0,0.0,0.0,0.0,有,1243.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
OI405C7600,OI405C7600,20231009,OI405C7600,菜籽油2405购7600,OI2405,OI2405,期货,美式,认购,10,7600.0,20230814,20240411,0,0,20240411,0.0,0.0,0.0,0.0,有,1972.0,410.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
OI405C8600,OI405C8600,20231009,OI405C8600,菜籽油2405购8600,OI2405,OI2405,期货,美式,认购,10,8600.0,20230728,20240411,0,0,20240411,0.0,0.0,0.0,0.0,有,1332.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
OI405C9600,OI405C9600,20231009,OI405C9600,菜籽油2405购9600,OI2405,OI2405,期货,美式,认购,10,9600.0,20230728,20240411,0,0,20240411,0.0,0.0,0.0,0.0,有,1001.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
OI403P9000,OI403P9000,20231009,OI403P9000,菜籽油2403沽9000,OI2403,OI2403,期货,美式,认沽,10,9000.0,20230615,20240213,0,0,20240213,0.0,0.0,0.0,0.0,有,1386.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
OI311C11400,OI311C11400,20231009,OI311C11400,菜籽油2311购11400,OI2311,OI2311,期货,美式,认购,10,11400.0,20230206,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,802.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
