StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
p2401-C-8700,p2401-C-8700,20231009,p2401-C-8700,棕榈油2401购8700,p2401,p2401,期货,美式,认购,10,8700.0,20230118,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,694.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
p2311-C-8000,p2311-C-8000,20231009,p2311-C-8000,棕榈油2311购8000,p2311,p2311,期货,美式,认购,10,8000.0,20221116,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,672.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
p2311-C-8100,p2311-C-8100,20231009,p2311-C-8100,棕榈油2311购8100,p2311,p2311,期货,美式,认购,10,8100.0,20221116,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,668.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
p2311-C-8200,p2311-C-8200,20231009,p2311-C-8200,棕榈油2311购8200,p2311,p2311,期货,美式,认购,10,8200.0,20221116,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,666.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
p2311-C-6000,p2311-C-6000,20231009,p2311-C-6000,棕榈油2311购6000,p2311,p2311,期货,美式,认购,10,6000.0,20230324,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,2056.0,728.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
p2408-C-6900,p2408-C-6900,20231009,p2408-C-6900,棕榈油2408购6900,p2408,p2408,期货,美式,认购,10,6900.0,20230816,20240705,0,0,20240705,0.0,0.0,0.0,0.0,有,1507.0,191.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
p2311-C-6100,p2311-C-6100,20231009,p2311-C-6100,棕榈油2311购6100,p2311,p2311,期货,美式,认购,10,6100.0,20230323,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,1956.0,628.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
p2311-C-6200,p2311-C-6200,20231009,p2311-C-6200,棕榈油2311购6200,p2311,p2311,期货,美式,认购,10,6200.0,20230322,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,1856.0,528.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
p2405-C-8300,p2405-C-8300,20231009,p2405-C-8300,棕榈油2405购8300,p2405,p2405,期货,美式,认购,10,8300.0,20230704,20240408,0,0,20240408,0.0,0.0,0.0,0.0,有,906.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
p2311-C-7000,p2311-C-7000,20231009,p2311-C-7000,棕榈油2311购7000,p2311,p2311,期货,美式,认购,10,7000.0,20221116,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,1079.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
