time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-09 21:00:44,p2312-P-7600,p2312-P-7600,793.5,0.0,0.0,0.0,1,400.0,0.0,0,793.5,811.0,0.0,0.0,0.0,0.0,2
2023-05-09 22:59:13,p2312-P-7600,p2312-P-7600,793.5,0.0,0.0,0.0,0,0.0,0.0,0,793.5,811.0,0.0,0.0,0.0,0.0,2
2023-05-10 09:00:50,p2312-P-7600,p2312-P-7600,793.5,0.0,0.0,0.0,1,400.0,0.0,0,793.5,811.0,0.0,0.0,0.0,0.0,2
2023-05-10 11:26:39,p2312-P-7600,p2312-P-7600,793.5,0.0,0.0,0.0,1,766.0,811.0,1,793.5,811.0,0.0,0.0,0.0,0.0,2
2023-05-10 11:26:40,p2312-P-7600,p2312-P-7600,811.0,1.0,8110.0,0.0,1,788.5,833.5,1,793.5,811.0,811.0,811.0,1.0,8110.0,2
2023-05-10 11:26:40,p2312-P-7600,p2312-P-7600,811.0,0.0,0.0,0.0,2,788.5,833.5,2,793.5,811.0,811.0,811.0,1.0,8110.0,2
2023-05-10 11:26:48,p2312-P-7600,p2312-P-7600,811.0,0.0,0.0,0.0,2,788.5,824.5,1,793.5,811.0,811.0,811.0,1.0,8110.0,2
2023-05-10 11:26:51,p2312-P-7600,p2312-P-7600,811.0,0.0,0.0,0.0,2,788.5,820.0,1,793.5,811.0,811.0,811.0,1.0,8110.0,2
2023-05-10 11:26:52,p2312-P-7600,p2312-P-7600,811.0,0.0,0.0,0.0,1,788.5,820.0,1,793.5,811.0,811.0,811.0,1.0,8110.0,2
2023-05-10 11:26:52,p2312-P-7600,p2312-P-7600,811.0,0.0,0.0,0.0,1,789.0,820.0,1,793.5,811.0,811.0,811.0,1.0,8110.0,2
2023-05-10 11:27:02,p2312-P-7600,p2312-P-7600,811.0,0.0,0.0,0.0,1,789.0,834.0,1,793.5,811.0,811.0,811.0,1.0,8110.0,2
2023-05-10 11:27:04,p2312-P-7600,p2312-P-7600,811.0,0.0,0.0,0.0,1,400.0,0.0,0,793.5,811.0,811.0,811.0,1.0,8110.0,2
2023-05-10 11:28:10,p2312-P-7600,p2312-P-7600,811.0,0.0,0.0,0.0,1,781.0,826.0,1,793.5,811.0,811.0,811.0,1.0,8110.0,2
2023-05-10 11:28:11,p2312-P-7600,p2312-P-7600,811.0,0.0,0.0,0.0,2,781.0,826.0,2,793.5,811.0,811.0,811.0,1.0,8110.0,2
2023-05-10 11:28:17,p2312-P-7600,p2312-P-7600,811.0,0.0,0.0,0.0,3,781.0,826.0,3,793.5,811.0,811.0,811.0,1.0,8110.0,2
2023-05-10 11:28:18,p2312-P-7600,p2312-P-7600,811.0,0.0,0.0,0.0,4,781.0,826.0,4,793.5,811.0,811.0,811.0,1.0,8110.0,2
2023-05-10 11:28:19,p2312-P-7600,p2312-P-7600,811.0,0.0,0.0,0.0,4,781.0,818.5,1,793.5,811.0,811.0,811.0,1.0,8110.0,2
2023-05-10 11:28:22,p2312-P-7600,p2312-P-7600,811.0,0.0,0.0,0.0,3,781.0,818.5,1,793.5,811.0,811.0,811.0,1.0,8110.0,2
2023-05-10 11:28:24,p2312-P-7600,p2312-P-7600,811.0,0.0,0.0,0.0,1,782.0,818.5,1,793.5,811.0,811.0,811.0,1.0,8110.0,2
2023-05-10 11:28:26,p2312-P-7600,p2312-P-7600,811.0,0.0,0.0,0.0,1,782.0,802.5,1,793.5,811.0,811.0,811.0,1.0,8110.0,2
2023-05-10 11:28:36,p2312-P-7600,p2312-P-7600,811.0,0.0,0.0,0.0,1,781.0,802.5,1,793.5,811.0,811.0,811.0,1.0,8110.0,2
2023-05-10 11:28:37,p2312-P-7600,p2312-P-7600,811.0,0.0,0.0,0.0,1,400.0,0.0,0,793.5,811.0,811.0,811.0,1.0,8110.0,2
2023-05-10 13:30:22,p2312-P-7600,p2312-P-7600,811.0,0.0,0.0,0.0,1,400.5,0.0,0,793.5,811.0,811.0,811.0,1.0,8110.0,2
2023-05-10 15:01:15,p2312-P-7600,p2312-P-7600,811.0,0.0,0.0,0.0,1,400.5,0.0,0,793.5,811.0,811.0,811.0,1.0,8110.0,2
