StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
PK401C11600,PK401C11600,20231009,PK401C11600,花生2401购11600,PK2401,PK2401,期货,美式,认购,5,11600.0,20230828,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,868.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PK401C11000,PK401C11000,20231009,PK401C11000,花生2401购11000,PK2401,PK2401,期货,美式,认购,5,11000.0,20230315,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,878.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PK401C11200,PK401C11200,20231009,PK401C11200,花生2401购11200,PK2401,PK2401,期货,美式,认购,5,11200.0,20230315,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,873.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PK401C11400,PK401C11400,20231009,PK401C11400,花生2401购11400,PK2401,PK2401,期货,美式,认购,5,11400.0,20230509,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,869.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PK401C10400,PK401C10400,20231009,PK401C10400,花生2401购10400,PK2401,PK2401,期货,美式,认购,5,10400.0,20230315,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,925.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PK404P9100,PK404P9100,20231009,PK404P9100,花生2404沽9100,PK2404,PK2404,期货,美式,认沽,5,9100.0,20230919,20240313,0,0,20240313,0.0,0.0,0.0,0.0,有,1098.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PK404P9300,PK404P9300,20231009,PK404P9300,花生2404沽9300,PK2404,PK2404,期货,美式,认沽,5,9300.0,20230919,20240313,0,0,20240313,0.0,0.0,0.0,0.0,有,1173.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PK401C9400,PK401C9400,20231009,PK401C9400,花生2401购9400,PK2401,PK2401,期货,美式,认购,5,9400.0,20230315,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,1266.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PK401C9600,PK401C9600,20231009,PK401C9600,花生2401购9600,PK2401,PK2401,期货,美式,认购,5,9600.0,20230315,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,1157.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PK311C12200,PK311C12200,20231009,PK311C12200,花生2311购12200,PK2311,PK2311,期货,美式,认购,5,12200.0,20230306,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,878.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PK401C9800,PK401C9800,20231009,PK401C9800,花生2401购9800,PK2401,PK2401,期货,美式,认购,5,9800.0,20230315,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,1073.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PK311C12400,PK311C12400,20231009,PK311C12400,花生2311购12400,PK2311,PK2311,期货,美式,认购,5,12400.0,20230306,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,878.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PK401P11000,PK401P11000,20231009,PK401P11000,花生2401沽11000,PK2401,PK2401,期货,美式,认沽,5,11000.0,20230315,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,2268.0,536.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PK401P11200,PK401P11200,20231009,PK401P11200,花生2401沽11200,PK2401,PK2401,期货,美式,认沽,5,11200.0,20230315,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,2463.0,731.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PK404C9100,PK404C9100,20231009,PK404C9100,花生2404购9100,PK2404,PK2404,期货,美式,认购,5,9100.0,20230919,20240313,0,0,20240313,0.0,0.0,0.0,0.0,有,1567.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PK401P11400,PK401P11400,20231009,PK401P11400,花生2401沽11400,PK2401,PK2401,期货,美式,认沽,5,11400.0,20230509,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,2660.5,928.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
