StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
pp2403-C-8400,pp2403-C-8400,20231009,pp2403-C-8400,聚丙烯2403购8400,pp2403,pp2403,期货,美式,认购,5,8400.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,664.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
pp2403-C-8500,pp2403-C-8500,20231009,pp2403-C-8500,聚丙烯2403购8500,pp2403,pp2403,期货,美式,认购,5,8500.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,644.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
pp2403-C-8600,pp2403-C-8600,20231009,pp2403-C-8600,聚丙烯2403购8600,pp2403,pp2403,期货,美式,认购,5,8600.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,627.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
pp2403-C-8700,pp2403-C-8700,20231009,pp2403-C-8700,聚丙烯2403购8700,pp2403,pp2403,期货,美式,认购,5,8700.0,20230907,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,612.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
pp2403-P-8400,pp2403-P-8400,20231009,pp2403-P-8400,聚丙烯2403沽8400,pp2403,pp2403,期货,美式,认沽,5,8400.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,1366.5,290.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
pp2403-P-8500,pp2403-P-8500,20231009,pp2403-P-8500,聚丙烯2403沽8500,pp2403,pp2403,期货,美式,认沽,5,8500.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,1446.5,370.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
pp2403-P-8600,pp2403-P-8600,20231009,pp2403-P-8600,聚丙烯2403沽8600,pp2403,pp2403,期货,美式,认沽,5,8600.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,1529.0,453.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
pp2403-P-8700,pp2403-P-8700,20231009,pp2403-P-8700,聚丙烯2403沽8700,pp2403,pp2403,期货,美式,认沽,5,8700.0,20230907,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,1614.0,538.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
pp2312-P-7900,pp2312-P-7900,20231009,pp2312-P-7900,聚丙烯2312沽7900,pp2312,pp2312,期货,美式,认沽,5,7900.0,20221219,20231107,0,0,20231107,0.0,0.0,0.0,0.0,有,750.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
pp2312-P-8700,pp2312-P-8700,20231009,pp2312-P-8700,聚丙烯2312沽8700,pp2312,pp2312,期货,美式,认沽,5,8700.0,20221219,20231107,0,0,20231107,0.0,0.0,0.0,0.0,有,1458.5,368.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
