StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
PX405C10800,PX405C10800,20231009,PX405C10800,对二甲苯2405购10800,PX2405,PX2405,期货,美式,认购,5,10800.0,20230918,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,1056.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405P8800,PX405P8800,20231009,PX405P8800,对二甲苯2405沽8800,PX2405,PX2405,期货,美式,认沽,5,8800.0,20230918,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,1397.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405C10000,PX405C10000,20231009,PX405C10000,对二甲苯2405购10000,PX2405,PX2405,期货,美式,认购,5,10000.0,20230918,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,1209.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405C10200,PX405C10200,20231009,PX405C10200,对二甲苯2405购10200,PX2405,PX2405,期货,美式,认购,5,10200.0,20230918,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,1163.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405C10400,PX405C10400,20231009,PX405C10400,对二甲苯2405购10400,PX2405,PX2405,期货,美式,认购,5,10400.0,20230918,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,1121.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405C9400,PX405C9400,20231009,PX405C9400,对二甲苯2405购9400,PX2405,PX2405,期货,美式,认购,5,9400.0,20230918,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,1394.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405C10600,PX405C10600,20231009,PX405C10600,对二甲苯2405购10600,PX2405,PX2405,期货,美式,认购,5,10600.0,20230918,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,1087.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405P7600,PX405P7600,20231009,PX405P7600,对二甲苯2405沽7600,PX2405,PX2405,期货,美式,认沽,5,7600.0,20230927,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,1027.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405C11000,PX405C11000,20231009,PX405C11000,对二甲苯2405购11000,PX2405,PX2405,期货,美式,认购,5,11000.0,20230918,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,1032.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405P7800,PX405P7800,20231009,PX405P7800,对二甲苯2405沽7800,PX2405,PX2405,期货,美式,认沽,5,7800.0,20230922,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,1067.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405C11200,PX405C11200,20231009,PX405C11200,对二甲苯2405购11200,PX2405,PX2405,期货,美式,认购,5,11200.0,20230918,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,1010.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405C9300,PX405C9300,20231009,PX405C9300,对二甲苯2405购9300,PX2405,PX2405,期货,美式,认购,5,9300.0,20230918,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,1436.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405C9500,PX405C9500,20231009,PX405C9500,对二甲苯2405购9500,PX2405,PX2405,期货,美式,认购,5,9500.0,20230918,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,1360.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405C9600,PX405C9600,20231009,PX405C9600,对二甲苯2405购9600,PX2405,PX2405,期货,美式,认购,5,9600.0,20230918,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,1326.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405C9700,PX405C9700,20231009,PX405C9700,对二甲苯2405购9700,PX2405,PX2405,期货,美式,认购,5,9700.0,20230918,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,1293.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405C9800,PX405C9800,20231009,PX405C9800,对二甲苯2405购9800,PX2405,PX2405,期货,美式,认购,5,9800.0,20230918,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,1263.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405C7600,PX405C7600,20231009,PX405C7600,对二甲苯2405购7600,PX2405,PX2405,期货,美式,认购,5,7600.0,20230927,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,2486.5,670.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405P10000,PX405P10000,20231009,PX405P10000,对二甲苯2405沽10000,PX2405,PX2405,期货,美式,认沽,5,10000.0,20230918,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,2125.0,309.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405C9900,PX405C9900,20231009,PX405C9900,对二甲苯2405购9900,PX2405,PX2405,期货,美式,认购,5,9900.0,20230918,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,1236.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405C7700,PX405C7700,20231009,PX405C7700,对二甲苯2405购7700,PX2405,PX2405,期货,美式,认购,5,7700.0,20230926,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,2407.0,591.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405C7800,PX405C7800,20231009,PX405C7800,对二甲苯2405购7800,PX2405,PX2405,期货,美式,认购,5,7800.0,20230922,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,2328.0,512.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405P10200,PX405P10200,20231009,PX405P10200,对二甲苯2405沽10200,PX2405,PX2405,期货,美式,认沽,5,10200.0,20230918,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,2276.0,460.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405C7900,PX405C7900,20231009,PX405C7900,对二甲苯2405购7900,PX2405,PX2405,期货,美式,认购,5,7900.0,20230919,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,2250.0,434.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405C8000,PX405C8000,20231009,PX405C8000,对二甲苯2405购8000,PX2405,PX2405,期货,美式,认购,5,8000.0,20230919,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,2177.0,361.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
PX405C8100,PX405C8100,20231009,PX405C8100,对二甲苯2405购8100,PX2405,PX2405,期货,美式,认购,5,8100.0,20230918,20240327,0,0,20240327,0.0,0.0,0.0,0.0,有,2104.5,288.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
