StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
rb2401C4500,rb2401C4500,20231009,rb2401C4500,螺纹钢2401购4500,rb2401,rb2401,期货,美式,认购,10,4500.0,20230407,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,260.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
rb2401C4250,rb2401C4250,20231009,rb2401C4250,螺纹钢2401购4250,rb2401,rb2401,期货,美式,认购,10,4250.0,20230407,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,267.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
rb2403C3950,rb2403C3950,20231009,rb2403C3950,螺纹钢2403购3950,rb2403,rb2403,期货,美式,认购,10,3950.0,20230901,20240223,0,0,20240223,0.0,0.0,0.0,0.0,有,316.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
rb2401C4300,rb2401C4300,20231009,rb2401C4300,螺纹钢2401购4300,rb2401,rb2401,期货,美式,认购,10,4300.0,20230407,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,264.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
rb2401C4600,rb2401C4600,20231009,rb2401C4600,螺纹钢2401购4600,rb2401,rb2401,期货,美式,认购,10,4600.0,20230410,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,259.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
rb2401C4350,rb2401C4350,20231009,rb2401C4350,螺纹钢2401购4350,rb2401,rb2401,期货,美式,认购,10,4350.0,20230407,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,263.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
rb2401C4400,rb2401C4400,20231009,rb2401C4400,螺纹钢2401购4400,rb2401,rb2401,期货,美式,认购,10,4400.0,20230407,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,261.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
rb2401C4450,rb2401C4450,20231009,rb2401C4450,螺纹钢2401购4450,rb2401,rb2401,期货,美式,认购,10,4450.0,20230407,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,261.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
rb2401C4550,rb2401C4550,20231009,rb2401C4550,螺纹钢2401购4550,rb2401,rb2401,期货,美式,认购,10,4550.0,20230407,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,259.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
rb2311C2850,rb2311C2850,20231009,rb2311C2850,螺纹钢2311购2850,rb2311,rb2311,期货,美式,认购,10,2850.0,20230526,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,1076.5,563.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
rb2311C3450,rb2311C3450,20231009,rb2311C3450,螺纹钢2311购3450,rb2311,rb2311,期货,美式,认购,10,3450.0,20230504,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,482.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.5,,,,,,,上海期货交易所
