StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
RM409C2800,RM409C2800,20231009,RM409C2800,菜籽粕2409购2800,RM2409,RM2409,期货,美式,认购,10,2800.0,20231009,20240813,0,0,20240813,0.0,0.0,0.0,0.0,有,544.5,18.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
RM407C3200,RM407C3200,20231009,RM407C3200,菜籽粕2407购3200,RM2407,RM2407,期货,美式,认购,10,3200.0,20230810,20240612,0,0,20240612,0.0,0.0,0.0,0.0,有,359.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
RM311C3200,RM311C3200,20231009,RM311C3200,菜籽粕2311购3200,RM2311,RM2311,期货,美式,认购,10,3200.0,20230110,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,506.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
RM407C3500,RM407C3500,20231009,RM407C3500,菜籽粕2407购3500,RM2407,RM2407,期货,美式,认购,10,3500.0,20230822,20240612,0,0,20240612,0.0,0.0,0.0,0.0,有,309.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
RM311C3250,RM311C3250,20231009,RM311C3250,菜籽粕2311购3250,RM2311,RM2311,期货,美式,认购,10,3250.0,20230110,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,462.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
RM409C2900,RM409C2900,20231009,RM409C2900,菜籽粕2409购2900,RM2409,RM2409,期货,美式,认购,10,2900.0,20231009,20240813,0,0,20240813,0.0,0.0,0.0,0.0,有,495.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
RM311C3000,RM311C3000,20231009,RM311C3000,菜籽粕2311购3000,RM2311,RM2311,期货,美式,认购,10,3000.0,20230110,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,698.5,86.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
RM407C3300,RM407C3300,20231009,RM407C3300,菜籽粕2407购3300,RM2407,RM2407,期货,美式,认购,10,3300.0,20230810,20240612,0,0,20240612,0.0,0.0,0.0,0.0,有,338.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
RM311C3050,RM311C3050,20231009,RM311C3050,菜籽粕2311购3050,RM2311,RM2311,期货,美式,认购,10,3050.0,20230110,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,649.0,37.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
RM311C3300,RM311C3300,20231009,RM311C3300,菜籽粕2311购3300,RM2311,RM2311,期货,美式,认购,10,3300.0,20230110,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,422.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
