time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-10 19:12:58,RM401C3050,RM401C3050,58.0,0.0,0.0,0.0,0,0.0,0.0,0,58.0,59.5,0.0,0.0,0.0,0.0,245
2023-05-10 20:59:00,RM401C3050,RM401C3050,58.0,0.0,0.0,0.0,18,17.0,0.0,0,58.0,59.5,0.0,0.0,0.0,0.0,245
2023-05-10 22:16:41,RM401C3050,RM401C3050,58.0,0.0,0.0,0.0,3,59.5,66.5,3,58.0,59.5,0.0,0.0,0.0,0.0,245
2023-05-10 22:16:42,RM401C3050,RM401C3050,58.0,0.0,0.0,0.0,6,59.5,66.5,6,58.0,59.5,0.0,0.0,0.0,0.0,245
2023-05-10 22:16:43,RM401C3050,RM401C3050,58.0,0.0,0.0,0.0,6,59.5,61.0,3,58.0,59.5,0.0,0.0,0.0,0.0,245
2023-05-10 22:16:44,RM401C3050,RM401C3050,58.0,0.0,0.0,0.0,3,59.5,61.0,6,58.0,59.5,0.0,0.0,0.0,0.0,245
2023-05-10 22:16:48,RM401C3050,RM401C3050,58.0,0.0,0.0,0.0,3,59.5,60.0,3,58.0,59.5,0.0,0.0,0.0,0.0,245
2023-05-10 22:16:48,RM401C3050,RM401C3050,59.5,3.0,178.5,0.0,3,58.5,60.0,3,58.0,59.5,59.5,59.5,3.0,178.5,245
2023-05-10 22:16:49,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,6,58.5,60.0,9,58.0,59.5,59.5,59.5,3.0,178.5,245
2023-05-10 22:16:51,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,9,58.5,60.0,12,58.0,59.5,59.5,59.5,3.0,178.5,245
2023-05-10 22:16:53,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,12,58.5,60.0,15,58.0,59.5,59.5,59.5,3.0,178.5,245
2023-05-10 22:16:56,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,9,58.5,60.0,15,58.0,59.5,59.5,59.5,3.0,178.5,245
2023-05-10 22:16:59,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,9,58.5,60.0,12,58.0,59.5,59.5,59.5,3.0,178.5,245
2023-05-10 22:17:01,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,9,58.5,60.0,9,58.0,59.5,59.5,59.5,3.0,178.5,245
2023-05-10 22:17:01,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,6,58.5,60.0,6,58.0,59.5,59.5,59.5,3.0,178.5,245
2023-05-10 22:17:03,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,3,58.5,60.0,3,58.0,59.5,59.5,59.5,3.0,178.5,245
2023-05-10 22:17:04,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,18,17.0,0.0,0,58.0,59.5,59.5,59.5,3.0,178.5,245
2023-05-10 22:17:04,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,3,17.5,0.0,0,58.0,59.5,59.5,59.5,3.0,178.5,245
2023-05-10 22:22:26,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,3,60.0,67.0,3,58.0,59.5,59.5,59.5,3.0,178.5,245
2023-05-10 22:22:26,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,6,60.0,67.0,6,58.0,59.5,59.5,59.5,3.0,178.5,245
2023-05-10 22:22:28,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,9,60.0,62.0,3,58.0,59.5,59.5,59.5,3.0,178.5,245
2023-05-10 22:22:28,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,6,60.0,62.0,6,58.0,59.5,59.5,59.5,3.0,178.5,245
2023-05-10 22:22:32,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,6,60.0,60.5,3,58.0,59.5,59.5,59.5,3.0,178.5,245
2023-05-10 22:22:33,RM401C3050,RM401C3050,59.5,9.0,541.5,3.0,3,59.0,60.5,6,58.0,59.5,60.0,59.5,12.0,720.0,248
2023-05-10 22:22:33,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,3,59.5,60.5,6,58.0,59.5,60.0,59.5,12.0,720.0,248
2023-05-10 22:22:33,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,3,59.5,60.5,9,58.0,59.5,60.0,59.5,12.0,720.0,248
2023-05-10 22:22:35,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,6,59.5,60.5,12,58.0,59.5,60.0,59.5,12.0,720.0,248
2023-05-10 22:22:43,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,6,59.5,60.5,9,58.0,59.5,60.0,59.5,12.0,720.0,248
2023-05-10 22:22:44,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,6,59.5,60.5,6,58.0,59.5,60.0,59.5,12.0,720.0,248
2023-05-10 22:22:45,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,6,59.5,60.5,3,58.0,59.5,60.0,59.5,12.0,720.0,248
2023-05-10 22:22:46,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,3,59.5,60.5,3,58.0,59.5,60.0,59.5,12.0,720.0,248
2023-05-10 22:22:47,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,3,59.0,61.0,3,58.0,59.5,60.0,59.5,12.0,720.0,248
2023-05-10 22:22:48,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,1,17.5,0.0,0,58.0,59.5,60.0,59.5,12.0,720.0,248
2023-05-10 22:22:49,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,2,24.0,0.0,0,58.0,59.5,60.0,59.5,12.0,720.0,248
2023-05-10 22:22:49,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,1,24.5,0.0,0,58.0,59.5,60.0,59.5,12.0,720.0,248
2023-05-10 22:22:50,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,2,28.0,0.0,0,58.0,59.5,60.0,59.5,12.0,720.0,248
2023-05-10 22:22:50,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,1,28.5,0.0,0,58.0,59.5,60.0,59.5,12.0,720.0,248
2023-05-10 22:22:51,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,2,29.0,0.0,0,58.0,59.5,60.0,59.5,12.0,720.0,248
2023-05-10 22:22:51,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,1,29.5,0.0,0,58.0,59.5,60.0,59.5,12.0,720.0,248
2023-05-10 22:22:52,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,2,30.0,0.0,0,58.0,59.5,60.0,59.5,12.0,720.0,248
2023-05-10 22:22:52,RM401C3050,RM401C3050,59.5,0.0,0.0,0.0,1,30.5,0.0,0,58.0,59.5,60.0,59.5,12.0,720.0,248
