StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
sc2312P800,sc2312P800,20231009,sc2312P800,原油2312沽800,sc2312,sc2312,期货,美式,认沽,1000,800.0,20231009,20231114,0,0,20231114,0.0,0.0,0.0,0.0,有,171.75,31.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C540,sc2311C540,20231009,sc2311C540,原油2311购540,sc2311,sc2311,期货,美式,认购,1000,540.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,244.5,101.85,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C550,sc2311C550,20231009,sc2311C550,原油2311购550,sc2311,sc2311,期货,美式,认购,1000,550.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,234.5,91.85,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C560,sc2311C560,20231009,sc2311C560,原油2311购560,sc2311,sc2311,期货,美式,认购,1000,560.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,224.5,81.85,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C570,sc2311C570,20231009,sc2311C570,原油2311购570,sc2311,sc2311,期货,美式,认购,1000,570.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,214.5,71.85,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C580,sc2311C580,20231009,sc2311C580,原油2311购580,sc2311,sc2311,期货,美式,认购,1000,580.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,204.5,61.85,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C590,sc2311C590,20231009,sc2311C590,原油2311购590,sc2311,sc2311,期货,美式,认购,1000,590.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,194.5,51.85,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C600,sc2311C600,20231009,sc2311C600,原油2311购600,sc2311,sc2311,期货,美式,认购,1000,600.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,184.6,41.95,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C610,sc2311C610,20231009,sc2311C610,原油2311购610,sc2311,sc2311,期货,美式,认购,1000,610.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,174.7,32.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C620,sc2311C620,20231009,sc2311C620,原油2311购620,sc2311,sc2311,期货,美式,认购,1000,620.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,164.95,22.3,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C630,sc2311C630,20231009,sc2311C630,原油2311购630,sc2311,sc2311,期货,美式,认购,1000,630.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,155.3,12.65,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C640,sc2311C640,20231009,sc2311C640,原油2311购640,sc2311,sc2311,期货,美式,认购,1000,640.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,145.9,3.25,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C650,sc2311C650,20231009,sc2311C650,原油2311购650,sc2311,sc2311,期货,美式,认购,1000,650.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,136.8,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C660,sc2311C660,20231009,sc2311C660,原油2311购660,sc2311,sc2311,期货,美式,认购,1000,660.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,128.1,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C670,sc2311C670,20231009,sc2311C670,原油2311购670,sc2311,sc2311,期货,美式,认购,1000,670.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,119.9,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C680,sc2311C680,20231009,sc2311C680,原油2311购680,sc2311,sc2311,期货,美式,认购,1000,680.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,112.25,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C690,sc2311C690,20231009,sc2311C690,原油2311购690,sc2311,sc2311,期货,美式,认购,1000,690.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,105.3,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C700,sc2311C700,20231009,sc2311C700,原油2311购700,sc2311,sc2311,期货,美式,认购,1000,700.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,99.05,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C710,sc2311C710,20231009,sc2311C710,原油2311购710,sc2311,sc2311,期货,美式,认购,1000,710.0,20230815,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,93.6,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C720,sc2311C720,20231009,sc2311C720,原油2311购720,sc2311,sc2311,期货,美式,认购,1000,720.0,20230901,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,88.8,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C730,sc2311C730,20231009,sc2311C730,原油2311购730,sc2311,sc2311,期货,美式,认购,1000,730.0,20230905,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,84.9,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C740,sc2311C740,20231009,sc2311C740,原油2311购740,sc2311,sc2311,期货,美式,认购,1000,740.0,20230905,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,81.65,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C750,sc2311C750,20231009,sc2311C750,原油2311购750,sc2311,sc2311,期货,美式,认购,1000,750.0,20230907,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,78.95,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C760,sc2311C760,20231009,sc2311C760,原油2311购760,sc2311,sc2311,期货,美式,认购,1000,760.0,20230907,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,76.9,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C770,sc2311C770,20231009,sc2311C770,原油2311购770,sc2311,sc2311,期货,美式,认购,1000,770.0,20230908,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,75.35,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C780,sc2311C780,20231009,sc2311C780,原油2311购780,sc2311,sc2311,期货,美式,认购,1000,780.0,20230914,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,74.15,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C790,sc2311C790,20231009,sc2311C790,原油2311购790,sc2311,sc2311,期货,美式,认购,1000,790.0,20230915,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,73.25,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C800,sc2311C800,20231009,sc2311C800,原油2311购800,sc2311,sc2311,期货,美式,认购,1000,800.0,20230918,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,72.6,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C810,sc2311C810,20231009,sc2311C810,原油2311购810,sc2311,sc2311,期货,美式,认购,1000,810.0,20231009,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,71.35,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C820,sc2311C820,20231009,sc2311C820,原油2311购820,sc2311,sc2311,期货,美式,认购,1000,820.0,20231009,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,71.35,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311C830,sc2311C830,20231009,sc2311C830,原油2311购830,sc2311,sc2311,期货,美式,认购,1000,830.0,20231009,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,71.35,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311P540,sc2311P540,20231009,sc2311P540,原油2311沽540,sc2311,sc2311,期货,美式,认沽,1000,540.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,71.35,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311P550,sc2311P550,20231009,sc2311P550,原油2311沽550,sc2311,sc2311,期货,美式,认沽,1000,550.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,71.35,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311P560,sc2311P560,20231009,sc2311P560,原油2311沽560,sc2311,sc2311,期货,美式,认沽,1000,560.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,71.35,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311P570,sc2311P570,20231009,sc2311P570,原油2311沽570,sc2311,sc2311,期货,美式,认沽,1000,570.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,71.35,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311P580,sc2311P580,20231009,sc2311P580,原油2311沽580,sc2311,sc2311,期货,美式,认沽,1000,580.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,71.35,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311P590,sc2311P590,20231009,sc2311P590,原油2311沽590,sc2311,sc2311,期货,美式,认沽,1000,590.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,71.35,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311P600,sc2311P600,20231009,sc2311P600,原油2311沽600,sc2311,sc2311,期货,美式,认沽,1000,600.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,71.4,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311P610,sc2311P610,20231009,sc2311P610,原油2311沽610,sc2311,sc2311,期货,美式,认沽,1000,610.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,71.55,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311P620,sc2311P620,20231009,sc2311P620,原油2311沽620,sc2311,sc2311,期货,美式,认沽,1000,620.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,71.75,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311P630,sc2311P630,20231009,sc2311P630,原油2311沽630,sc2311,sc2311,期货,美式,认沽,1000,630.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,72.15,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311P640,sc2311P640,20231009,sc2311P640,原油2311沽640,sc2311,sc2311,期货,美式,认沽,1000,640.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,72.75,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311P650,sc2311P650,20231009,sc2311P650,原油2311沽650,sc2311,sc2311,期货,美式,认沽,1000,650.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,73.65,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311P660,sc2311P660,20231009,sc2311P660,原油2311沽660,sc2311,sc2311,期货,美式,认沽,1000,660.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,74.95,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311P670,sc2311P670,20231009,sc2311P670,原油2311沽670,sc2311,sc2311,期货,美式,认沽,1000,670.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,76.7,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311P680,sc2311P680,20231009,sc2311P680,原油2311沽680,sc2311,sc2311,期货,美式,认沽,1000,680.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,79.1,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311P690,sc2311P690,20231009,sc2311P690,原油2311沽690,sc2311,sc2311,期货,美式,认沽,1000,690.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,82.1,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
sc2311P700,sc2311P700,20231009,sc2311P700,原油2311沽700,sc2311,sc2311,期货,美式,认沽,1000,700.0,20230814,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,85.85,0.05,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,0.05,,,,,,,上海国际能源交易中心
