time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-10 09:29:00,HO2312-P-2300,HO2312-P-2300,13.4,0.0,0.0,0.0,1,11.4,18.4,1,13.4,15.8,0.0,0.0,0.0,0.0,175
2023-05-10 09:30:00,HO2312-P-2300,HO2312-P-2300,13.4,0.0,0.0,0.0,1,11.4,18.4,4,13.4,15.8,0.0,0.0,0.0,0.0,175
2023-05-10 09:30:00,HO2312-P-2300,HO2312-P-2300,13.4,0.0,0.0,0.0,1,11.4,18.2,2,13.4,15.8,0.0,0.0,0.0,0.0,175
2023-05-10 09:30:01,HO2312-P-2300,HO2312-P-2300,13.4,0.0,0.0,0.0,2,11.4,17.4,1,13.4,15.8,0.0,0.0,0.0,0.0,175
2023-05-10 09:30:18,HO2312-P-2300,HO2312-P-2300,13.4,0.0,0.0,0.0,2,11.6,17.2,2,13.4,15.8,0.0,0.0,0.0,0.0,175
2023-05-10 09:30:24,HO2312-P-2300,HO2312-P-2300,13.4,0.0,0.0,0.0,2,11.6,17.0,1,13.4,15.8,0.0,0.0,0.0,0.0,175
2023-05-10 09:30:24,HO2312-P-2300,HO2312-P-2300,13.4,0.0,0.0,0.0,6,13.4,15.4,6,13.4,15.8,0.0,0.0,0.0,0.0,175
2023-05-10 09:30:32,HO2312-P-2300,HO2312-P-2300,13.4,0.0,0.0,0.0,6,13.6,15.2,6,13.4,15.8,0.0,0.0,0.0,0.0,175
2023-05-10 09:31:01,HO2312-P-2300,HO2312-P-2300,13.4,0.0,0.0,0.0,6,14.0,15.2,6,13.4,15.8,0.0,0.0,0.0,0.0,175
2023-05-10 09:31:13,HO2312-P-2300,HO2312-P-2300,13.4,0.0,0.0,0.0,12,14.0,15.4,18,13.4,15.8,0.0,0.0,0.0,0.0,175
2023-05-10 09:31:14,HO2312-P-2300,HO2312-P-2300,13.4,0.0,0.0,0.0,12,14.0,15.4,12,13.4,15.8,0.0,0.0,0.0,0.0,175
