StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
IO2311-C-4000,IO2311-C-4000,20231009,IO2311-C-4000,沪深300指数2311购4000,SH000300,沪深300,指数,欧式,认购,100,4000.0,20230821,20231117,0,0,20231117,0.0,0.0,0.0,0.0,有,388.0,0.2,0.0,0.0,0.0,1.0,1.0,20.0,1.0,0.0,0.0,0.0,0.2,,,,,,,中国金融期货交易所
IO2311-C-4100,IO2311-C-4100,20231009,IO2311-C-4100,沪深300指数2311购4100,SH000300,沪深300,指数,欧式,认购,100,4100.0,20230821,20231117,0,0,20231117,0.0,0.0,0.0,0.0,有,380.0,0.2,0.0,0.0,0.0,1.0,1.0,20.0,1.0,0.0,0.0,0.0,0.2,,,,,,,中国金融期货交易所
IO2311-C-4200,IO2311-C-4200,20231009,IO2311-C-4200,沪深300指数2311购4200,SH000300,沪深300,指数,欧式,认购,100,4200.0,20230821,20231117,0,0,20231117,0.0,0.0,0.0,0.0,有,376.0,0.2,0.0,0.0,0.0,1.0,1.0,20.0,1.0,0.0,0.0,0.0,0.2,,,,,,,中国金融期货交易所
IO2310-P-3700,IO2310-P-3700,20231009,IO2310-P-3700,沪深300指数2310沽3700,SH000300,沪深300,指数,欧式,认沽,100,3700.0,20230724,20231020,0,0,20231020,0.0,0.0,0.0,0.0,有,424.6,0.2,0.0,0.0,0.0,1.0,1.0,20.0,1.0,0.0,0.0,0.0,0.2,,,,,,,中国金融期货交易所
IO2310-P-3800,IO2310-P-3800,20231009,IO2310-P-3800,沪深300指数2310沽3800,SH000300,沪深300,指数,欧式,认沽,100,3800.0,20230724,20231020,0,0,20231020,0.0,0.0,0.0,0.0,有,491.8,0.2,0.0,0.0,0.0,1.0,1.0,20.0,1.0,0.0,0.0,0.0,0.2,,,,,,,中国金融期货交易所
IO2311-P-4000,IO2311-P-4000,20231009,IO2311-P-4000,沪深300指数2311沽4000,SH000300,沪深300,指数,欧式,认沽,100,4000.0,20230821,20231117,0,0,20231117,0.0,0.0,0.0,0.0,有,672.4,0.2,0.0,0.0,0.0,1.0,1.0,20.0,1.0,0.0,0.0,0.0,0.2,,,,,,,中国金融期货交易所
IO2311-P-4100,IO2311-P-4100,20231009,IO2311-P-4100,沪深300指数2311沽4100,SH000300,沪深300,指数,欧式,认沽,100,4100.0,20230821,20231117,0,0,20231117,0.0,0.0,0.0,0.0,有,764.0,26.4,0.0,0.0,0.0,1.0,1.0,20.0,1.0,0.0,0.0,0.0,0.2,,,,,,,中国金融期货交易所
IO2311-P-4200,IO2311-P-4200,20231009,IO2311-P-4200,沪深300指数2311沽4200,SH000300,沪深300,指数,欧式,认沽,100,4200.0,20230821,20231117,0,0,20231117,0.0,0.0,0.0,0.0,有,859.6,122.0,0.0,0.0,0.0,1.0,1.0,20.0,1.0,0.0,0.0,0.0,0.2,,,,,,,中国金融期货交易所
IO2310-C-3600,IO2310-C-3600,20231009,IO2310-C-3600,沪深300指数2310购3600,SH000300,沪深300,指数,欧式,认购,100,3600.0,20230724,20231020,0,0,20231020,0.0,0.0,0.0,0.0,有,490.8,0.2,0.0,0.0,0.0,1.0,1.0,20.0,1.0,0.0,0.0,0.0,0.2,,,,,,,中国金融期货交易所
IO2310-C-3700,IO2310-C-3700,20231009,IO2310-C-3700,沪深300指数2310购3700,SH000300,沪深300,指数,欧式,认购,100,3700.0,20230724,20231020,0,0,20231020,0.0,0.0,0.0,0.0,有,426.8,0.2,0.0,0.0,0.0,1.0,1.0,20.0,1.0,0.0,0.0,0.0,0.2,,,,,,,中国金融期货交易所
