StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
si2404-P-15200,si2404-P-15200,20231009,si2404-P-15200,工业硅2404沽15200,si2404,si2404,期货,美式,认沽,5,15200.0,20230821,20240307,0,0,20240307,0.0,0.0,0.0,0.0,有,2564.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,1.0,,,,,,,广州期货交易所
si2311-P-14600,si2311-P-14600,20231009,si2311-P-14600,工业硅2311沽14600,si2311,si2311,期货,美式,认沽,5,14600.0,20230313,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,1903.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,1.0,,,,,,,广州期货交易所
si2401-C-13800,si2401-C-13800,20231009,si2401-C-13800,工业硅2401购13800,si2401,si2401,期货,美式,认购,5,13800.0,20230322,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,2381.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,1.0,,,,,,,广州期货交易所
si2311-P-18200,si2311-P-18200,20231009,si2311-P-18200,工业硅2311沽18200,si2311,si2311,期货,美式,认沽,5,18200.0,20221223,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,5430.0,2910.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,1.0,,,,,,,广州期货交易所
si2311-P-16000,si2311-P-16000,20231009,si2311-P-16000,工业硅2311沽16000,si2311,si2311,期货,美式,认沽,5,16000.0,20221223,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,3230.0,710.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,1.0,,,,,,,广州期货交易所
si2401-C-11600,si2401-C-11600,20231009,si2401-C-11600,工业硅2401购11600,si2401,si2401,期货,美式,认购,5,11600.0,20230613,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,4235.0,1625.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,1.0,,,,,,,广州期货交易所
si2311-P-18400,si2311-P-18400,20231009,si2311-P-18400,工业硅2311沽18400,si2311,si2311,期货,美式,认沽,5,18400.0,20221223,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,5630.0,3110.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,1.0,,,,,,,广州期货交易所
si2311-P-16200,si2311-P-16200,20231009,si2311-P-16200,工业硅2311沽16200,si2311,si2311,期货,美式,认沽,5,16200.0,20221223,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,3430.0,910.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,1.0,,,,,,,广州期货交易所
si2401-C-11800,si2401-C-11800,20231009,si2401-C-11800,工业硅2401购11800,si2401,si2401,期货,美式,认购,5,11800.0,20230526,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,4042.0,1432.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,1.0,,,,,,,广州期货交易所
si2311-P-14000,si2311-P-14000,20231009,si2311-P-14000,工业硅2311沽14000,si2311,si2311,期货,美式,认沽,5,14000.0,20230317,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,1507.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,1.0,,,,,,,广州期货交易所
