StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
SR401C7600,SR401C7600,20231009,SR401C7600,白糖2401购7600,SR2401,SR2401,期货,美式,认购,10,7600.0,20230504,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,649.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR401C7700,SR401C7700,20231009,SR401C7700,白糖2401购7700,SR2401,SR2401,期货,美式,认购,10,7700.0,20230904,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,644.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR401C7800,SR401C7800,20231009,SR401C7800,白糖2401购7800,SR2401,SR2401,期货,美式,认购,10,7800.0,20230907,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,640.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR401C7900,SR401C7900,20231009,SR401C7900,白糖2401购7900,SR2401,SR2401,期货,美式,认购,10,7900.0,20230928,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,636.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR405C6800,SR405C6800,20231009,SR405C6800,白糖2405购6800,SR2405,SR2405,期货,美式,认购,10,6800.0,20230602,20240411,0,0,20240411,0.0,0.0,0.0,0.0,有,898.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR405C6900,SR405C6900,20231009,SR405C6900,白糖2405购6900,SR2405,SR2405,期货,美式,认购,10,6900.0,20230602,20240411,0,0,20240411,0.0,0.0,0.0,0.0,有,852.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR407C6100,SR407C6100,20231009,SR407C6100,白糖2407购6100,SR2407,SR2407,期货,美式,认购,10,6100.0,20230927,20240612,0,0,20240612,0.0,0.0,0.0,0.0,有,1399.0,167.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR405P6800,SR405P6800,20231009,SR405P6800,白糖2405沽6800,SR2405,SR2405,期货,美式,认沽,10,6800.0,20230602,20240411,0,0,20240411,0.0,0.0,0.0,0.0,有,846.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR405P6900,SR405P6900,20231009,SR405P6900,白糖2405沽6900,SR2405,SR2405,期货,美式,认沽,10,6900.0,20230602,20240411,0,0,20240411,0.0,0.0,0.0,0.0,有,899.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR401C7500,SR401C7500,20231009,SR401C7500,白糖2401购7500,SR2401,SR2401,期货,美式,认购,10,7500.0,20230428,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,657.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR407C6800,SR407C6800,20231009,SR407C6800,白糖2407购6800,SR2407,SR2407,期货,美式,认购,10,6800.0,20230927,20240612,0,0,20240612,0.0,0.0,0.0,0.0,有,926.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR407C6900,SR407C6900,20231009,SR407C6900,白糖2407购6900,SR2407,SR2407,期货,美式,认购,10,6900.0,20230927,20240612,0,0,20240612,0.0,0.0,0.0,0.0,有,881.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR401P7500,SR401P7500,20231009,SR401P7500,白糖2401沽7500,SR2401,SR2401,期货,美式,认沽,10,7500.0,20230428,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,1237.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR401P7600,SR401P7600,20231009,SR401P7600,白糖2401沽7600,SR2401,SR2401,期货,美式,认沽,10,7600.0,20230504,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,1330.0,84.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR401P7700,SR401P7700,20231009,SR401P7700,白糖2401沽7700,SR2401,SR2401,期货,美式,认沽,10,7700.0,20230904,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,1424.0,178.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR401P7800,SR401P7800,20231009,SR401P7800,白糖2401沽7800,SR2401,SR2401,期货,美式,认沽,10,7800.0,20230907,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,1519.5,273.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR401P7900,SR401P7900,20231009,SR401P7900,白糖2401沽7900,SR2401,SR2401,期货,美式,认沽,10,7900.0,20230928,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,1616.0,370.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR407P6800,SR407P6800,20231009,SR407P6800,白糖2407沽6800,SR2407,SR2407,期货,美式,认沽,10,6800.0,20230927,20240612,0,0,20240612,0.0,0.0,0.0,0.0,有,893.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR407P6900,SR407P6900,20231009,SR407P6900,白糖2407沽6900,SR2407,SR2407,期货,美式,认沽,10,6900.0,20230927,20240612,0,0,20240612,0.0,0.0,0.0,0.0,有,946.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR311C5400,SR311C5400,20231009,SR311C5400,白糖2311购5400,SR2311,SR2311,期货,美式,认购,10,5400.0,20230203,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,2254.0,990.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR311C5500,SR311C5500,20231009,SR311C5500,白糖2311购5500,SR2311,SR2311,期货,美式,认购,10,5500.0,20230203,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,2154.0,890.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR311C5600,SR311C5600,20231009,SR311C5600,白糖2311购5600,SR2311,SR2311,期货,美式,认购,10,5600.0,20230203,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,2054.0,790.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR311C5700,SR311C5700,20231009,SR311C5700,白糖2311购5700,SR2311,SR2311,期货,美式,认购,10,5700.0,20230203,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,1954.0,690.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR311C5800,SR311C5800,20231009,SR311C5800,白糖2311购5800,SR2311,SR2311,期货,美式,认购,10,5800.0,20230203,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,1854.0,590.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR403C7500,SR403C7500,20231009,SR403C7500,白糖2403购7500,SR2403,SR2403,期货,美式,认购,10,7500.0,20230821,20240213,0,0,20240213,0.0,0.0,0.0,0.0,有,680.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR311C6000,SR311C6000,20231009,SR311C6000,白糖2311购6000,SR2311,SR2311,期货,美式,认购,10,6000.0,20230203,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,1654.0,390.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR403C7600,SR403C7600,20231009,SR403C7600,白糖2403购7600,SR2403,SR2403,期货,美式,认购,10,7600.0,20230904,20240213,0,0,20240213,0.0,0.0,0.0,0.0,有,668.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR311C6100,SR311C6100,20231009,SR311C6100,白糖2311购6100,SR2311,SR2311,期货,美式,认购,10,6100.0,20230203,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,1554.0,290.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR403C7700,SR403C7700,20231009,SR403C7700,白糖2403购7700,SR2403,SR2403,期货,美式,认购,10,7700.0,20230907,20240213,0,0,20240213,0.0,0.0,0.0,0.0,有,658.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR311C6200,SR311C6200,20231009,SR311C6200,白糖2311购6200,SR2311,SR2311,期货,美式,认购,10,6200.0,20230203,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,1454.0,190.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR403C7800,SR403C7800,20231009,SR403C7800,白糖2403购7800,SR2403,SR2403,期货,美式,认购,10,7800.0,20230928,20240213,0,0,20240213,0.0,0.0,0.0,0.0,有,651.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR311C6300,SR311C6300,20231009,SR311C6300,白糖2311购6300,SR2311,SR2311,期货,美式,认购,10,6300.0,20230203,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,1354.0,90.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR403C7900,SR403C7900,20231009,SR403C7900,白糖2403购7900,SR2403,SR2403,期货,美式,认购,10,7900.0,20230928,20240213,0,0,20240213,0.0,0.0,0.0,0.0,有,644.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR311C6400,SR311C6400,20231009,SR311C6400,白糖2311购6400,SR2311,SR2311,期货,美式,认购,10,6400.0,20230203,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,1254.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR311C6500,SR311C6500,20231009,SR311C6500,白糖2311购6500,SR2311,SR2311,期货,美式,认购,10,6500.0,20230223,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,1154.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR311C6600,SR311C6600,20231009,SR311C6600,白糖2311购6600,SR2311,SR2311,期货,美式,认购,10,6600.0,20230308,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,1056.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
SR311C6700,SR311C6700,20231009,SR311C6700,白糖2311购6700,SR2311,SR2311,期货,美式,认购,10,6700.0,20230330,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,959.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
