time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,open,high,low,close,yesterday_settlementprice,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-09 21:30:00,SR311P6100,SR311P6100,40.5,23.0,943.0,-14.0,41.5,41.5,40.5,41.5,45.0,41.5,41.5,41.5,40.5,23.0,943.0,973
2023-05-09 22:00:00,SR311P6100,SR311P6100,44.0,62.0,2627.0,20.0,40.5,44.0,40.5,40.5,45.0,41.5,41.5,44.0,40.5,85.0,3570.0,993
2023-05-09 22:30:00,SR311P6100,SR311P6100,46.0,132.0,5978.0,30.0,44.0,46.0,44.0,44.0,45.0,41.5,41.5,46.0,40.5,217.0,9548.0,1023
2023-05-09 23:00:00,SR311P6100,SR311P6100,43.5,210.0,9667.0,103.0,46.0,47.0,43.5,46.0,45.0,41.5,41.5,47.0,40.5,427.0,19215.0,1126
2023-05-10 09:30:00,SR311P6100,SR311P6100,41.5,2.0,90.0,2.0,43.5,43.5,41.5,43.5,45.0,41.5,41.5,47.0,40.5,429.0,19305.0,1128
2023-05-10 10:00:00,SR311P6100,SR311P6100,41.5,30.0,1120.5,-29.0,41.5,42.0,41.5,41.5,45.0,41.5,41.5,47.0,40.5,459.0,20425.5,1099
2023-05-10 10:45:00,SR311P6100,SR311P6100,40.5,10.0,445.0,5.0,41.5,41.5,40.5,41.5,45.0,41.5,41.5,47.0,40.5,469.0,20870.5,1104
2023-05-10 11:15:00,SR311P6100,SR311P6100,40.0,17.0,756.5,-4.0,40.5,41.0,40.0,40.5,45.0,41.5,41.5,47.0,40.0,486.0,21627.0,1100
2023-05-10 13:45:00,SR311P6100,SR311P6100,39.5,17.0,756.5,0.0,40.0,40.0,39.5,40.0,45.0,41.5,41.5,47.0,39.5,503.0,22383.5,1100
2023-05-10 14:15:00,SR311P6100,SR311P6100,40.0,1.0,44.5,0.0,39.5,40.0,39.5,39.5,45.0,41.5,41.5,47.0,39.5,504.0,22428.0,1100
2023-05-10 14:45:00,SR311P6100,SR311P6100,40.0,9.0,144.0,1.0,40.0,40.0,40.0,40.0,45.0,41.5,41.5,47.0,39.5,513.0,22572.0,1101
2023-05-10 15:00:00,SR311P6100,SR311P6100,40.0,0.0,0.0,0.0,40.0,40.0,40.0,40.0,45.0,41.5,41.5,47.0,39.5,513.0,22572.0,1101
