time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,open,high,low,close,yesterday_settlementprice,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-10 21:30:00,SR311C7300,白糖2311购7300,120.0,70.0,8295.0,-47.0,119.5,120.0,115.5,121.5,117.0,121.5,119.5,120.0,115.5,70.0,8295.0,841
2023-05-10 22:00:00,SR311C7300,白糖2311购7300,120.5,2.0,237.0,0.0,120.0,120.5,120.0,120.0,117.0,121.5,119.5,120.5,115.5,72.0,8532.0,841
2023-05-10 22:30:00,SR311C7300,白糖2311购7300,130.0,108.0,13608.0,72.0,120.5,130.0,120.5,120.5,117.0,121.5,119.5,130.0,115.5,180.0,22140.0,913
2023-05-10 23:00:00,SR311C7300,白糖2311购7300,125.5,20.0,2460.0,-20.0,130.0,130.0,125.0,130.0,117.0,121.5,119.5,130.0,115.5,200.0,24600.0,893
2023-05-11 09:30:00,SR311C7300,白糖2311购7300,129.5,27.0,3548.0,20.0,127.5,129.5,126.5,125.5,117.0,121.5,119.5,130.0,115.5,227.0,28148.0,913
2023-05-11 10:00:00,SR311C7300,白糖2311购7300,120.5,108.0,13224.5,-58.0,129.5,130.0,119.5,129.5,117.0,121.5,119.5,130.0,115.5,335.0,41372.5,855
2023-05-11 10:45:00,SR311C7300,白糖2311购7300,115.5,71.0,8362.5,-10.0,120.5,120.5,114.0,120.5,117.0,121.5,119.5,130.0,114.0,406.0,49735.0,845
2023-05-11 11:15:00,SR311C7300,白糖2311购7300,117.0,21.0,2359.0,-10.0,115.5,118.5,115.5,115.5,117.0,121.5,119.5,130.0,114.0,427.0,52094.0,835
2023-05-11 13:45:00,SR311C7300,白糖2311购7300,128.0,16.0,1952.0,-10.0,117.0,128.0,117.0,117.0,117.0,121.5,119.5,130.0,114.0,443.0,54046.0,825
2023-05-11 14:15:00,SR311C7300,白糖2311购7300,126.0,25.0,3284.0,-16.0,128.0,128.0,123.5,128.0,117.0,121.5,119.5,130.0,114.0,468.0,57330.0,809
2023-05-11 14:45:00,SR311C7300,白糖2311购7300,125.5,48.0,5880.0,-44.0,126.0,126.0,123.5,126.0,117.0,121.5,119.5,130.0,114.0,516.0,63210.0,765
2023-05-11 15:00:00,SR311C7300,白糖2311购7300,126.0,1.0,122.5,0.0,125.5,126.0,125.5,125.5,117.0,121.5,119.5,130.0,114.0,517.0,63332.5,765
