StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
OP90002320,中证500ETF沽12月5000,20231009,159922P2312M005000,中证500ETF沽12月5000,SZ159922,中证500ETF,ETF,欧式,认沽,10000,5.0,20230627,20231227,20231227,20231228,20231227,0.0,0.0,0.0072,0.0,有,0.4159,0.0001,3572.0,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002500,中证500ETF沽3月5000,20231009,159922P2403M005000,中证500ETF沽3月5000,SZ159922,中证500ETF,ETF,欧式,认沽,10000,5.0,20230816,20240327,20240327,20240328,20240327,0.0,0.0,0.0213,0.0,有,0.43,0.0001,3713.0,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002578,中证500ETF购10月6000,20231009,159922C2310M006000,中证500ETF购10月6000,SZ159922,中证500ETF,ETF,欧式,认购,10000,6.0,20230824,20231025,20231025,20231026,20231025,0.0,0.0,0.059,0.0,有,0.6416,0.0001,6815.6,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002580,中证500ETF购10月6500,20231009,159922C2310M006500,中证500ETF购10月6500,SZ159922,中证500ETF,ETF,欧式,认购,10000,6.5,20230824,20231025,20231025,20231026,20231025,0.0,0.0,0.0038,0.0,有,0.5364,0.0001,4177.1,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002581,中证500ETF购10月6750,20231009,159922C2310M006750,中证500ETF购10月6750,SZ159922,中证500ETF,ETF,欧式,认购,10000,6.75,20230824,20231025,20231025,20231026,20231025,0.0,0.0,0.0017,0.0,有,0.5093,0.0001,4156.1,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002460,中证500ETF购3月5500,20231009,159922C2403M005500,中证500ETF购3月5500,SZ159922,中证500ETF,ETF,欧式,认购,10000,5.5,20230727,20240327,20240327,20240328,20240327,0.0,0.0,0.5115,0.0,有,1.1028,0.0001,12210.6,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002582,中证500ETF沽10月4900,20231009,159922P2310M004900,中证500ETF沽10月4900,SZ159922,中证500ETF,ETF,欧式,认沽,10000,4.9,20230824,20231025,20231025,20231026,20231025,0.0,0.0,0.0012,0.0,有,0.3899,0.0001,3442.0,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002461,中证500ETF购3月5750,20231009,159922C2403M005750,中证500ETF购3月5750,SZ159922,中证500ETF,ETF,欧式,认购,10000,5.75,20230727,20240327,20240327,20240328,20240327,0.0,0.0,0.3329,0.0,有,0.9242,0.0001,10424.6,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002583,中证500ETF沽10月5000,20231009,159922P2310M005000,中证500ETF沽10月5000,SZ159922,中证500ETF,ETF,欧式,认沽,10000,5.0,20230824,20231025,20231025,20231026,20231025,0.0,0.0,0.0014,0.0,有,0.4101,0.0001,3514.0,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002462,中证500ETF购3月6000,20231009,159922C2403M006000,中证500ETF购3月6000,SZ159922,中证500ETF,ETF,欧式,认购,10000,6.0,20230727,20240327,20240327,20240328,20240327,0.0,0.0,0.2045,0.0,有,0.7871,0.0001,8270.6,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002584,中证500ETF沽10月5250,20231009,159922P2310M005250,中证500ETF沽10月5250,SZ159922,中证500ETF,ETF,欧式,认沽,10000,5.25,20230824,20231025,20231025,20231026,20231025,0.0,0.0,0.0022,0.0,有,0.4609,0.0001,3697.0,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002463,中证500ETF购3月6250,20231009,159922C2403M006250,中证500ETF购3月6250,SZ159922,中证500ETF,ETF,欧式,认购,10000,6.25,20230727,20240327,20240327,20240328,20240327,0.0,0.0,0.1157,0.0,有,0.6733,0.0001,5296.1,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002585,中证500ETF沽10月5500,20231009,159922P2310M005500,中证500ETF沽10月5500,SZ159922,中证500ETF,ETF,欧式,认沽,10000,5.5,20230824,20231025,20231025,20231026,20231025,0.0,0.0,0.0068,0.0,有,0.5155,0.0001,3918.0,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002464,中证500ETF购3月6500,20231009,159922C2403M006500,中证500ETF购3月6500,SZ159922,中证500ETF,ETF,欧式,认购,10000,6.5,20230727,20240327,20240327,20240328,20240327,0.0,0.0,0.0646,0.0,有,0.5972,0.0001,4785.1,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002586,中证500ETF沽10月5750,20231009,159922P2310M005750,中证500ETF沽10月5750,SZ159922,中证500ETF,ETF,欧式,认沽,10000,5.75,20230824,20231025,20231025,20231026,20231025,0.0,0.0,0.0304,0.0,有,0.5891,0.0001,5769.6,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002465,中证500ETF购3月6750,20231009,159922C2403M006750,中证500ETF购3月6750,SZ159922,中证500ETF,ETF,欧式,认购,10000,6.75,20230727,20240327,20240327,20240328,20240327,0.0,0.0,0.0371,0.0,有,0.5447,0.0001,4510.1,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002587,中证500ETF沽10月6000,20231009,159922P2310M006000,中证500ETF沽10月6000,SZ159922,中证500ETF,ETF,欧式,认沽,10000,6.0,20230824,20231025,20231025,20231026,20231025,0.0,0.0,0.135,0.0,有,0.7263,0.0001,8445.6,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002466,中证500ETF购3月7000,20231009,159922C2403M007000,中证500ETF购3月7000,SZ159922,中证500ETF,ETF,欧式,认购,10000,7.0,20230727,20240327,20240327,20240328,20240327,0.0,0.0,0.0226,0.0,有,0.5052,0.0001,4365.1,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002588,中证500ETF沽10月6250,20231009,159922P2310M006250,中证500ETF沽10月6250,SZ159922,中证500ETF,ETF,欧式,认沽,10000,6.25,20230824,20231025,20231025,20231026,20231025,0.0,0.0,0.3408,0.0,有,0.9321,0.0001,10503.6,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002467,中证500ETF购3月7250,20231009,159922C2403M007250,中证500ETF购3月7250,SZ159922,中证500ETF,ETF,欧式,认购,10000,7.25,20230727,20240327,20240327,20240328,20240327,0.0,0.0,0.0148,0.0,有,0.4724,0.0001,4287.1,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002710,中证500ETF购11月5750,20231009,159922C2311M005750,中证500ETF购11月5750,SZ159922,中证500ETF,ETF,欧式,认购,10000,5.75,20230928,20231122,20231122,20231123,20231122,0.0,0.0,0.2429,0.0,有,0.8342,0.0001,9524.6,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
OP90002711,中证500ETF购11月6000,20231009,159922C2311M006000,中证500ETF购11月6000,SZ159922,中证500ETF,ETF,欧式,认购,10000,6.0,20230928,20231122,20231122,20231123,20231122,0.0,0.0,0.1016,0.0,有,0.6842,0.0001,7241.6,12.0,7.0,1.0,1.0,50.0,1.0,10.0,1.0,50.0,0.0001,,,,,,,深圳证券交易所
