StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
TA401C6700,TA401C6700,20231009,TA401C6700,PTA2401购6700,TA2401,TA2401,期货,美式,认购,5,6700.0,20230831,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,656.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
TA311C4850,TA311C4850,20231009,TA311C4850,PTA2311购4850,TA2311,TA2311,期货,美式,认购,5,4850.0,20230505,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,1966.0,838.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
TA405C5200,TA405C5200,20231009,TA405C5200,PTA2405购5200,TA2405,TA2405,期货,美式,认购,5,5200.0,20230711,20240411,0,0,20240411,0.0,0.0,0.0,0.0,有,1593.5,477.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
TA405C5300,TA405C5300,20231009,TA405C5300,PTA2405购5300,TA2405,TA2405,期货,美式,认购,5,5300.0,20230711,20240411,0,0,20240411,0.0,0.0,0.0,0.0,有,1510.5,394.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
TA311C4750,TA311C4750,20231009,TA311C4750,PTA2311购4750,TA2311,TA2311,期货,美式,认购,5,4750.0,20230516,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,2066.0,938.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
TA405C5400,TA405C5400,20231009,TA405C5400,PTA2405购5400,TA2405,TA2405,期货,美式,认购,5,5400.0,20230711,20240411,0,0,20240411,0.0,0.0,0.0,0.0,有,1431.0,315.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
TA405C5500,TA405C5500,20231009,TA405C5500,PTA2405购5500,TA2405,TA2405,期货,美式,认购,5,5500.0,20230711,20240411,0,0,20240411,0.0,0.0,0.0,0.0,有,1355.5,239.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
TA405C5600,TA405C5600,20231009,TA405C5600,PTA2405购5600,TA2405,TA2405,期货,美式,认购,5,5600.0,20230711,20240411,0,0,20240411,0.0,0.0,0.0,0.0,有,1282.0,166.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
TA401C6900,TA401C6900,20231009,TA401C6900,PTA2401购6900,TA2401,TA2401,期货,美式,认购,5,6900.0,20230914,20231213,0,0,20231213,0.0,0.0,0.0,0.0,有,623.0,0.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
TA405C5700,TA405C5700,20231009,TA405C5700,PTA2405购5700,TA2405,TA2405,期货,美式,认购,5,5700.0,20230711,20240411,0,0,20240411,0.0,0.0,0.0,0.0,有,1214.0,98.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.5,,,,,,,郑州商品交易所
