StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
v2407-C-5400,v2407-C-5400,20231009,v2407-C-5400,聚氯乙烯2407购5400,v2407,v2407,期货,美式,认购,5,5400.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,1338.5,468.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
v2407-C-5500,v2407-C-5500,20231009,v2407-C-5500,聚氯乙烯2407购5500,v2407,v2407,期货,美式,认购,5,5500.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,1260.5,390.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
v2407-C-5600,v2407-C-5600,20231009,v2407-C-5600,聚氯乙烯2407购5600,v2407,v2407,期货,美式,认购,5,5600.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,1186.5,316.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
v2407-P-5400,v2407-P-5400,20231009,v2407-P-5400,聚氯乙烯2407沽5400,v2407,v2407,期货,美式,认沽,5,5400.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,520.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
v2407-P-5500,v2407-P-5500,20231009,v2407-P-5500,聚氯乙烯2407沽5500,v2407,v2407,期货,美式,认沽,5,5500.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,542.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
v2407-P-5600,v2407-P-5600,20231009,v2407-P-5600,聚氯乙烯2407沽5600,v2407,v2407,期货,美式,认沽,5,5600.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,567.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
v2401-C-5800,v2401-C-5800,20231009,v2401-C-5800,聚氯乙烯2401购5800,v2401,v2401,期货,美式,认购,5,5800.0,20230118,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,878.5,18.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
v2406-C-6100,v2406-C-6100,20231009,v2406-C-6100,聚氯乙烯2406购6100,v2406,v2406,期货,美式,认购,5,6100.0,20230616,20240510,0,0,20240510,0.0,0.0,0.0,0.0,有,852.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
v2403-C-5100,v2403-C-5100,20231009,v2403-C-5100,聚氯乙烯2403购5100,v2403,v2403,期货,美式,认购,5,5100.0,20230523,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,1511.0,649.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
v2403-C-6100,v2403-C-6100,20231009,v2403-C-6100,聚氯乙烯2403购6100,v2403,v2403,期货,美式,认购,5,6100.0,20230316,20240207,0,0,20240207,0.0,0.0,0.0,0.0,有,746.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
