StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
y2312-C-6500,y2312-C-6500,20231009,y2312-C-6500,豆油2312购6500,y2312,y2312,期货,美式,认购,10,6500.0,20230518,20231107,0,0,20231107,0.0,0.0,0.0,0.0,有,2424.0,952.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
y2312-C-6300,y2312-C-6300,20231009,y2312-C-6300,豆油2312购6300,y2312,y2312,期货,美式,认购,10,6300.0,20230526,20231107,0,0,20231107,0.0,0.0,0.0,0.0,有,2624.0,1152.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
y2408-C-8600,y2408-C-8600,20231009,y2408-C-8600,豆油2408购8600,y2408,y2408,期货,美式,认购,10,8600.0,20230829,20240705,0,0,20240705,0.0,0.0,0.0,0.0,有,863.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
y2405-C-7200,y2405-C-7200,20231009,y2405-C-7200,豆油2405购7200,y2405,y2405,期货,美式,认购,10,7200.0,20230519,20240408,0,0,20240408,0.0,0.0,0.0,0.0,有,1539.5,151.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
y2312-C-7100,y2312-C-7100,20231009,y2312-C-7100,豆油2312购7100,y2312,y2312,期货,美式,认购,10,7100.0,20230320,20231107,0,0,20231107,0.0,0.0,0.0,0.0,有,1829.0,357.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
y2312-C-7300,y2312-C-7300,20231009,y2312-C-7300,豆油2312购7300,y2312,y2312,期货,美式,认购,10,7300.0,20221219,20231107,0,0,20231107,0.0,0.0,0.0,0.0,有,1639.0,167.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
y2312-C-7500,y2312-C-7500,20231009,y2312-C-7500,豆油2312购7500,y2312,y2312,期货,美式,认购,10,7500.0,20221216,20231107,0,0,20231107,0.0,0.0,0.0,0.0,有,1458.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
y2405-C-8200,y2405-C-8200,20231009,y2405-C-8200,豆油2405购8200,y2405,y2405,期货,美式,认购,10,8200.0,20230620,20240408,0,0,20240408,0.0,0.0,0.0,0.0,有,1068.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
y2311-P-6700,豆油2311沽6700,20231009,y2311-P-6700,豆油2311沽6700,y2311,y2311,期货,美式,认沽,10,6700.0,20230327,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,742.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
y2408-C-6700,y2408-C-6700,20231009,y2408-C-6700,豆油2408购6700,y2408,y2408,期货,美式,认购,10,6700.0,20230816,20240705,0,0,20240705,0.0,0.0,0.0,0.0,有,1757.0,385.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
y2401-C-9300,y2401-C-9300,20231009,y2401-C-9300,豆油2401购9300,y2401,y2401,期货,美式,认购,10,9300.0,20230118,20231207,0,0,20231207,0.0,0.0,0.0,0.0,有,738.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
y2407-C-7700,y2407-C-7700,20231009,y2407-C-7700,豆油2407购7700,y2407,y2407,期货,美式,认购,10,7700.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,1118.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
y2311-C-6200,豆油2311购6200,20231009,y2311-C-6200,豆油2311购6200,y2311,y2311,期货,美式,认购,10,6200.0,20230601,20231013,0,0,20231013,0.0,0.0,0.0,0.0,有,2796.0,1312.0,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
y2407-P-6600,y2407-P-6600,20231009,y2407-P-6600,豆油2407沽6600,y2407,y2407,期货,美式,认沽,10,6600.0,20230810,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,786.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
y2407-P-7000,y2407-P-7000,20231009,y2407-P-7000,豆油2407沽7000,y2407,y2407,期货,美式,认沽,10,7000.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,886.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
y2407-P-7200,y2407-P-7200,20231009,y2407-P-7200,豆油2407沽7200,y2407,y2407,期货,美式,认沽,10,7200.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,955.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
y2407-P-7400,y2407-P-7400,20231009,y2407-P-7400,豆油2407沽7400,y2407,y2407,期货,美式,认沽,10,7400.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,1037.5,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
y2407-P-7600,y2407-P-7600,20231009,y2407-P-7600,豆油2407沽7600,y2407,y2407,期货,美式,认沽,10,7600.0,20230718,20240607,0,0,20240607,0.0,0.0,0.0,0.0,有,1134.0,0.5,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,1000.0,0.0,0.0,0.5,,,,,,,大连商品交易所
