StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
ZC311C740,动力煤2311购740,20231009,ZC311C740,动力煤2311购740,ZC2311,ZC2311,期货,美式,认购,100,740.0,20230804,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,231.4,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC311C750,动力煤2311购750,20231009,ZC311C750,动力煤2311购750,ZC2311,ZC2311,期货,美式,认购,100,750.0,20230804,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,224.0,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC311C760,动力煤2311购760,20231009,ZC311C760,动力煤2311购760,ZC2311,ZC2311,期货,美式,认购,100,760.0,20230804,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,217.0,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC311C770,动力煤2311购770,20231009,ZC311C770,动力煤2311购770,ZC2311,ZC2311,期货,美式,认购,100,770.0,20230804,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,210.3,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC311C780,动力煤2311购780,20231009,ZC311C780,动力煤2311购780,ZC2311,ZC2311,期货,美式,认购,100,780.0,20230804,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,204.3,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC311P740,动力煤2311沽740,20231009,ZC311P740,动力煤2311沽740,ZC2311,ZC2311,期货,美式,认沽,100,740.0,20230804,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,170.1,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC311P750,动力煤2311沽750,20231009,ZC311P750,动力煤2311沽750,ZC2311,ZC2311,期货,美式,认沽,100,750.0,20230804,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,172.6,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC311P760,动力煤2311沽760,20231009,ZC311P760,动力煤2311沽760,ZC2311,ZC2311,期货,美式,认沽,100,760.0,20230804,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,175.6,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC311P770,动力煤2311沽770,20231009,ZC311P770,动力煤2311沽770,ZC2311,ZC2311,期货,美式,认沽,100,770.0,20230804,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,178.9,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC311P780,动力煤2311沽780,20231009,ZC311P780,动力煤2311沽780,ZC2311,ZC2311,期货,美式,认沽,100,780.0,20230804,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,183.0,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC312C740,ZC312C740,20231009,ZC312C740,动力煤2312购740,ZC2312,ZC2312,期货,美式,认购,100,740.0,20230906,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,248.6,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC312C750,ZC312C750,20231009,ZC312C750,动力煤2312购750,ZC2312,ZC2312,期货,美式,认购,100,750.0,20230906,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,242.1,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC312C760,ZC312C760,20231009,ZC312C760,动力煤2312购760,ZC2312,ZC2312,期货,美式,认购,100,760.0,20230906,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,236.3,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC312C770,ZC312C770,20231009,ZC312C770,动力煤2312购770,ZC2312,ZC2312,期货,美式,认购,100,770.0,20230906,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,230.4,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC312C780,ZC312C780,20231009,ZC312C780,动力煤2312购780,ZC2312,ZC2312,期货,美式,认购,100,780.0,20230906,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,225.0,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC312P740,ZC312P740,20231009,ZC312P740,动力煤2312沽740,ZC2312,ZC2312,期货,美式,认沽,100,740.0,20230906,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,187.4,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC312P750,ZC312P750,20231009,ZC312P750,动力煤2312沽750,ZC2312,ZC2312,期货,美式,认沽,100,750.0,20230906,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,190.8,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC312P760,ZC312P760,20231009,ZC312P760,动力煤2312沽760,ZC2312,ZC2312,期货,美式,认沽,100,760.0,20230906,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,195.0,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC312P770,ZC312P770,20231009,ZC312P770,动力煤2312沽770,ZC2312,ZC2312,期货,美式,认沽,100,770.0,20230906,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,199.1,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC312P780,ZC312P780,20231009,ZC312P780,动力煤2312沽780,ZC2312,ZC2312,期货,美式,认沽,100,780.0,20230906,20231103,0,0,20231103,0.0,0.0,0.0,0.0,有,203.7,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC311P810,动力煤2311沽810,20231009,ZC311P810,动力煤2311沽810,ZC2311,ZC2311,期货,美式,认沽,100,810.0,20230804,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,197.6,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC311C800,动力煤2311购800,20231009,ZC311C800,动力煤2311购800,ZC2311,ZC2311,期货,美式,认购,100,800.0,20230804,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,193.5,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC311C810,动力煤2311购810,20231009,ZC311C810,动力煤2311购810,ZC2311,ZC2311,期货,美式,认购,100,810.0,20230804,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,189.0,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
ZC311C820,动力煤2311购820,20231009,ZC311C820,动力煤2311购820,ZC2311,ZC2311,期货,美式,认购,100,820.0,20230804,20231011,0,0,20231011,0.0,0.0,0.0,0.0,有,184.8,0.1,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.1,,,,,,,郑州商品交易所
