StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
zn2311P17800,zn2311P17800,20231009,zn2311P17800,锌2311沽17800,zn2311,zn2311,期货,美式,认沽,5,17800.0,20230720,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,1721.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2311P18800,zn2311P18800,20231009,zn2311P18800,锌2311沽18800,zn2311,zn2311,期货,美式,认沽,5,18800.0,20230718,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,1721.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2312C18400,zn2312C18400,20231009,zn2312C18400,锌2312购18400,zn2312,zn2312,期货,美式,认购,5,18400.0,20230817,20231124,0,0,20231124,0.0,0.0,0.0,0.0,有,4665.0,1249.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2312C18600,zn2312C18600,20231009,zn2312C18600,锌2312购18600,zn2312,zn2312,期货,美式,认购,5,18600.0,20230817,20231124,0,0,20231124,0.0,0.0,0.0,0.0,有,4471.0,1055.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2312C18800,zn2312C18800,20231009,zn2312C18800,锌2312购18800,zn2312,zn2312,期货,美式,认购,5,18800.0,20230817,20231124,0,0,20231124,0.0,0.0,0.0,0.0,有,4278.0,862.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2311P20800,zn2311P20800,20231009,zn2311P20800,锌2311沽20800,zn2311,zn2311,期货,美式,认沽,5,20800.0,20230718,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,1873.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2312C19800,zn2312C19800,20231009,zn2312C19800,锌2312购19800,zn2312,zn2312,期货,美式,认购,5,19800.0,20230817,20231124,0,0,20231124,0.0,0.0,0.0,0.0,有,3372.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2311P21800,zn2311P21800,20231009,zn2311P21800,锌2311沽21800,zn2311,zn2311,期货,美式,认沽,5,21800.0,20230718,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,2307.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2312P18400,zn2312P18400,20231009,zn2312P18400,锌2312沽18400,zn2312,zn2312,期货,美式,认沽,5,18400.0,20230817,20231124,0,0,20231124,0.0,0.0,0.0,0.0,有,1718.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2312P18600,zn2312P18600,20231009,zn2312P18600,锌2312沽18600,zn2312,zn2312,期货,美式,认沽,5,18600.0,20230817,20231124,0,0,20231124,0.0,0.0,0.0,0.0,有,1724.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2312P18800,zn2312P18800,20231009,zn2312P18800,锌2312沽18800,zn2312,zn2312,期货,美式,认沽,5,18800.0,20230817,20231124,0,0,20231124,0.0,0.0,0.0,0.0,有,1731.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2312P17800,zn2312P17800,20231009,zn2312P17800,锌2312沽17800,zn2312,zn2312,期货,美式,认沽,5,17800.0,20230818,20231124,0,0,20231124,0.0,0.0,0.0,0.0,有,1710.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2312P20800,zn2312P20800,20231009,zn2312P20800,锌2312沽20800,zn2312,zn2312,期货,美式,认沽,5,20800.0,20230817,20231124,0,0,20231124,0.0,0.0,0.0,0.0,有,2084.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2312P21800,zn2312P21800,20231009,zn2312P21800,锌2312沽21800,zn2312,zn2312,期货,美式,认沽,5,21800.0,20230817,20231124,0,0,20231124,0.0,0.0,0.0,0.0,有,2583.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2311C18000,zn2311C18000,20231009,zn2311C18000,锌2311购18000,zn2311,zn2311,期货,美式,认购,5,18000.0,20230718,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,5225.0,1784.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2401C18800,zn2401C18800,20231009,zn2401C18800,锌2401购18800,zn2401,zn2401,期货,美式,认购,5,18800.0,20230928,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,4229.0,828.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2401C19800,zn2401C19800,20231009,zn2401C19800,锌2401购19800,zn2401,zn2401,期货,美式,认购,5,19800.0,20230928,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,3389.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2311C20000,zn2311C20000,20231009,zn2311C20000,锌2311购20000,zn2311,zn2311,期货,美式,认购,5,20000.0,20230718,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,3255.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2311C20200,zn2311C20200,20231009,zn2311C20200,锌2311购20200,zn2311,zn2311,期货,美式,认购,5,20200.0,20230718,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,3072.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2311C20400,zn2311C20400,20231009,zn2311C20400,锌2311购20400,zn2311,zn2311,期货,美式,认购,5,20400.0,20230718,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,2898.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2401P18800,zn2401P18800,20231009,zn2401P18800,锌2401沽18800,zn2401,zn2401,期货,美式,认沽,5,18800.0,20230928,20231225,0,0,20231225,0.0,0.0,0.0,0.0,有,1774.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
zn2312C18000,zn2312C18000,20231009,zn2312C18000,锌2312购18000,zn2312,zn2312,期货,美式,认购,5,18000.0,20230817,20231124,0,0,20231124,0.0,0.0,0.0,0.0,有,5059.0,1643.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
