time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,open,high,low,close,yesterday_settlementprice,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-09 21:30:00,au2402,au2402,455.92,23.0,10481200.0,0.0,455.84,456.0,455.5,455.62,455.52,455.62,455.84,456.0,455.5,23.0,10481200.0,2533
2023-05-09 22:00:00,au2402,au2402,456.68,48.0,21890660.0,-9.0,455.92,456.8,455.86,455.92,455.52,455.62,455.84,456.8,455.5,71.0,32371860.0,2524
2023-05-09 22:30:00,au2402,au2402,455.88,8.0,3650100.0,4.0,456.68,456.68,455.88,456.68,455.52,455.62,455.84,456.8,455.5,79.0,36021960.0,2528
2023-05-09 23:00:00,au2402,au2402,455.76,4.0,1823240.0,3.0,455.88,455.92,455.76,455.88,455.52,455.62,455.84,456.8,455.5,83.0,37845200.0,2531
2023-05-09 23:30:00,au2402,au2402,455.76,0.0,0.0,0.0,455.76,455.76,455.76,455.76,455.52,455.62,455.84,456.8,455.5,83.0,37845200.0,2531
2023-05-10,au2402,au2402,455.76,0.0,0.0,0.0,455.76,455.76,455.76,455.76,455.52,455.62,455.84,456.8,455.5,83.0,37845200.0,2531
2023-05-10 00:30:00,au2402,au2402,456.86,5.0,2282760.0,1.0,455.76,456.88,455.76,455.76,455.52,455.62,455.84,456.88,455.5,88.0,40127960.0,2532
2023-05-10 01:00:00,au2402,au2402,456.86,0.0,0.0,0.0,456.86,456.86,456.86,456.86,455.52,455.62,455.84,456.88,455.5,88.0,40127960.0,2532
2023-05-10 01:30:00,au2402,au2402,457.74,5.0,2288820.0,0.0,456.86,457.98,456.86,456.86,455.52,455.62,455.84,457.98,455.5,93.0,42416780.0,2532
2023-05-10 02:00:00,au2402,au2402,457.74,0.0,0.0,0.0,457.74,457.74,457.74,457.74,455.52,455.62,455.84,457.98,455.5,93.0,42416780.0,2532
2023-05-10 02:30:00,au2402,au2402,457.68,1.0,457680.0,0.0,457.74,457.74,457.68,457.74,455.52,455.62,455.84,457.98,455.5,94.0,42874460.0,2532
2023-05-10 09:30:00,au2402,au2402,457.4,13.0,5947700.0,11.0,457.68,457.8,457.4,457.68,455.52,455.62,455.84,457.98,455.5,107.0,48822160.0,2543
2023-05-10 10:00:00,au2402,au2402,457.8,52.0,23802600.0,3.0,457.4,457.98,457.4,457.4,455.52,455.62,455.84,457.98,455.5,159.0,72624760.0,2546
2023-05-10 10:45:00,au2402,au2402,457.36,23.0,10519960.0,-5.0,457.8,457.8,457.34,457.8,455.52,455.62,455.84,457.98,455.5,182.0,83144720.0,2541
2023-05-10 11:15:00,au2402,au2402,457.48,84.0,38420980.0,2.0,457.36,457.48,457.18,457.36,455.52,455.62,455.84,457.98,455.5,266.0,121565700.0,2543
2023-05-10 13:45:00,au2402,au2402,456.76,40.0,18277000.0,-1.0,457.48,457.48,456.76,457.48,455.52,455.62,455.84,457.98,455.5,306.0,139842700.0,2542
2023-05-10 14:15:00,au2402,au2402,456.68,9.0,4110480.0,-4.0,456.76,456.76,456.68,456.76,455.52,455.62,455.84,457.98,455.5,315.0,143953180.0,2538
2023-05-10 14:45:00,au2402,au2402,456.72,84.0,38371880.0,-7.0,456.68,457.04,456.6,456.68,455.52,455.62,455.84,457.98,455.5,399.0,182325060.0,2531
2023-05-10 15:00:00,au2402,au2402,457.36,14.0,6404780.0,-8.0,456.72,457.64,456.72,456.72,455.52,455.62,455.84,457.98,455.5,413.0,188729840.0,2523
