time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-09 20:59:00,c2403,c2403,2509.0,2.0,50180.0,0.0,7,2506.0,2511.0,15,2510.0,2509.0,2509.0,2509.0,2.0,50180.0,55596
2023-05-09 21:00:00,c2403,c2403,2506.0,2.0,50120.0,0.0,2,2508.0,2511.0,15,2510.0,2509.0,2509.0,2506.0,4.0,100300.0,55596
2023-05-09 21:00:00,c2403,c2403,2507.0,6.0,150460.0,3.0,31,2506.0,2507.0,12,2510.0,2509.0,2510.0,2506.0,10.0,250760.0,55599
2023-05-09 21:00:01,c2403,c2403,2506.0,1.0,25060.0,1.0,30,2506.0,2507.0,12,2510.0,2509.0,2510.0,2506.0,11.0,275820.0,55600
2023-05-09 21:00:02,c2403,c2403,2506.0,1.0,25060.0,1.0,29,2506.0,2507.0,12,2510.0,2509.0,2510.0,2506.0,12.0,300880.0,55601
2023-05-09 21:00:02,c2403,c2403,2506.0,2.0,50120.0,2.0,27,2506.0,2507.0,12,2510.0,2509.0,2510.0,2506.0,14.0,351000.0,55603
2023-05-09 21:00:05,c2403,c2403,2507.0,12.0,300840.0,0.0,27,2506.0,2508.0,46,2510.0,2509.0,2510.0,2506.0,26.0,651840.0,55603
2023-05-09 21:00:06,c2403,c2403,2507.0,0.0,0.0,0.0,87,2506.0,2508.0,46,2510.0,2509.0,2510.0,2506.0,26.0,651840.0,55603
2023-05-09 21:00:06,c2403,c2403,2507.0,0.0,0.0,0.0,102,2506.0,2508.0,31,2510.0,2509.0,2510.0,2506.0,26.0,651840.0,55603
2023-05-09 21:00:08,c2403,c2403,2507.0,0.0,0.0,0.0,102,2506.0,2508.0,32,2510.0,2509.0,2510.0,2506.0,26.0,651840.0,55603
2023-05-09 21:00:09,c2403,c2403,2507.0,0.0,0.0,0.0,111,2506.0,2508.0,33,2510.0,2509.0,2510.0,2506.0,26.0,651840.0,55603
2023-05-09 21:00:09,c2403,c2403,2507.0,0.0,0.0,0.0,96,2506.0,2508.0,17,2510.0,2509.0,2510.0,2506.0,26.0,651840.0,55603
2023-05-09 21:00:10,c2403,c2403,2507.0,0.0,0.0,0.0,96,2506.0,2508.0,16,2510.0,2509.0,2510.0,2506.0,26.0,651840.0,55603
2023-05-09 21:00:10,c2403,c2403,2508.0,1.0,25080.0,1.0,97,2506.0,2508.0,16,2510.0,2509.0,2510.0,2506.0,27.0,676920.0,55604
2023-05-09 21:00:11,c2403,c2403,2508.0,0.0,0.0,0.0,88,2506.0,2508.0,16,2510.0,2509.0,2510.0,2506.0,27.0,676920.0,55604
2023-05-09 21:00:11,c2403,c2403,2508.0,0.0,0.0,0.0,88,2506.0,2508.0,22,2510.0,2509.0,2510.0,2506.0,27.0,676920.0,55604
2023-05-09 21:00:12,c2403,c2403,2508.0,0.0,0.0,0.0,88,2506.0,2508.0,24,2510.0,2509.0,2510.0,2506.0,27.0,676920.0,55604
2023-05-09 21:00:15,c2403,c2403,2507.0,1.0,25070.0,1.0,88,2506.0,2508.0,24,2510.0,2509.0,2510.0,2506.0,28.0,701990.0,55605
2023-05-09 21:00:16,c2403,c2403,2507.0,0.0,0.0,0.0,88,2506.0,2508.0,18,2510.0,2509.0,2510.0,2506.0,28.0,701990.0,55605
2023-05-09 21:00:17,c2403,c2403,2507.0,0.0,0.0,0.0,88,2506.0,2508.0,26,2510.0,2509.0,2510.0,2506.0,28.0,701990.0,55605
2023-05-09 21:00:17,c2403,c2403,2506.0,3.0,75180.0,3.0,85,2506.0,2508.0,24,2510.0,2509.0,2510.0,2506.0,31.0,777170.0,55608
2023-05-09 21:00:18,c2403,c2403,2506.0,9.0,225540.0,9.0,121,2506.0,2508.0,37,2510.0,2509.0,2510.0,2506.0,40.0,1002710.0,55617
2023-05-09 21:00:18,c2403,c2403,2506.0,3.0,75180.0,3.0,118,2506.0,2508.0,39,2510.0,2509.0,2510.0,2506.0,43.0,1077890.0,55620
2023-05-09 21:00:19,c2403,c2403,2506.0,7.0,175420.0,7.0,111,2506.0,2508.0,39,2510.0,2509.0,2510.0,2506.0,50.0,1253310.0,55627
2023-05-09 21:00:22,c2403,c2403,2506.0,5.0,125300.0,5.0,106,2506.0,2508.0,39,2510.0,2509.0,2510.0,2506.0,55.0,1378610.0,55632
2023-05-09 21:00:22,c2403,c2403,2506.0,0.0,0.0,0.0,76,2506.0,2507.0,9,2510.0,2509.0,2510.0,2506.0,55.0,1378610.0,55632
2023-05-09 21:00:23,c2403,c2403,2506.0,0.0,0.0,0.0,31,2506.0,2507.0,11,2510.0,2509.0,2510.0,2506.0,55.0,1378610.0,55632
2023-05-09 21:00:24,c2403,c2403,2506.0,3.0,75180.0,0.0,31,2505.0,2506.0,3,2510.0,2509.0,2510.0,2506.0,58.0,1453790.0,55632
2023-05-09 21:00:24,c2403,c2403,2505.0,4.0,100230.0,-1.0,16,2505.0,2507.0,55,2510.0,2509.0,2510.0,2505.0,62.0,1554020.0,55631
2023-05-09 21:00:25,c2403,c2403,2506.0,2.0,50110.0,-1.0,31,2505.0,2506.0,14,2510.0,2509.0,2510.0,2505.0,64.0,1604130.0,55630
2023-05-09 21:00:25,c2403,c2403,2506.0,0.0,0.0,0.0,16,2505.0,2506.0,1,2510.0,2509.0,2510.0,2505.0,64.0,1604130.0,55630
2023-05-09 21:00:26,c2403,c2403,2505.0,4.0,100200.0,0.0,34,2504.0,2505.0,2,2510.0,2509.0,2510.0,2505.0,68.0,1704330.0,55630
2023-05-09 21:00:26,c2403,c2403,2503.0,4.0,100140.0,1.0,62,2503.0,2505.0,61,2510.0,2509.0,2510.0,2503.0,72.0,1804470.0,55631
2023-05-09 21:00:27,c2403,c2403,2504.0,20.0,500800.0,20.0,105,2503.0,2505.0,99,2510.0,2509.0,2510.0,2503.0,92.0,2305270.0,55651
2023-05-09 21:00:27,c2403,c2403,2504.0,0.0,0.0,0.0,60,2503.0,2505.0,144,2510.0,2509.0,2510.0,2503.0,92.0,2305270.0,55651
2023-05-09 21:00:28,c2403,c2403,2504.0,0.0,0.0,0.0,45,2503.0,2505.0,204,2510.0,2509.0,2510.0,2503.0,92.0,2305270.0,55651
2023-05-09 21:00:29,c2403,c2403,2503.0,3.0,75090.0,-2.0,100,2502.0,2503.0,1,2510.0,2509.0,2510.0,2503.0,95.0,2380360.0,55649
2023-05-09 21:00:30,c2403,c2403,2503.0,9.0,225210.0,4.0,6,2502.0,2503.0,16,2510.0,2509.0,2510.0,2502.0,104.0,2605570.0,55653
2023-05-09 21:00:30,c2403,c2403,2503.0,0.0,0.0,0.0,7,2502.0,2503.0,16,2510.0,2509.0,2510.0,2502.0,104.0,2605570.0,55653
2023-05-09 21:00:31,c2403,c2403,2503.0,0.0,0.0,0.0,3,2502.0,2503.0,32,2510.0,2509.0,2510.0,2502.0,104.0,2605570.0,55653
2023-05-09 21:00:32,c2403,c2403,2503.0,0.0,0.0,0.0,16,2502.0,2503.0,32,2510.0,2509.0,2510.0,2502.0,104.0,2605570.0,55653
2023-05-09 21:00:32,c2403,c2403,2503.0,0.0,0.0,0.0,31,2502.0,2503.0,47,2510.0,2509.0,2510.0,2502.0,104.0,2605570.0,55653
2023-05-09 21:00:34,c2403,c2403,2502.0,4.0,100080.0,0.0,5,2502.0,2503.0,16,2510.0,2509.0,2510.0,2502.0,108.0,2705650.0,55653
2023-05-09 21:00:35,c2403,c2403,2502.0,5.0,125100.0,5.0,52,2501.0,2502.0,2,2510.0,2509.0,2510.0,2502.0,113.0,2830750.0,55658
2023-05-09 21:00:35,c2403,c2403,2503.0,8.0,200200.0,1.0,1,2502.0,2504.0,15,2510.0,2509.0,2510.0,2501.0,121.0,3030950.0,55659
2023-05-09 21:00:36,c2403,c2403,2502.0,9.0,225180.0,2.0,11,2502.0,2504.0,17,2510.0,2509.0,2510.0,2501.0,130.0,3256130.0,55661
2023-05-09 21:00:36,c2403,c2403,2502.0,1.0,25020.0,1.0,32,2502.0,2503.0,5,2510.0,2509.0,2510.0,2501.0,131.0,3281150.0,55662
2023-05-09 21:00:36,c2403,c2403,2502.0,0.0,0.0,0.0,32,2502.0,2503.0,20,2510.0,2509.0,2510.0,2501.0,131.0,3281150.0,55662
2023-05-09 21:00:37,c2403,c2403,2502.0,39.0,975780.0,-22.0,38,2501.0,2502.0,11,2510.0,2509.0,2510.0,2501.0,170.0,4256930.0,55640
2023-05-09 21:00:38,c2403,c2403,2502.0,0.0,0.0,0.0,8,2501.0,2502.0,11,2510.0,2509.0,2510.0,2501.0,170.0,4256930.0,55640
2023-05-09 21:00:38,c2403,c2403,2502.0,1.0,25020.0,1.0,8,2501.0,2502.0,25,2510.0,2509.0,2510.0,2501.0,171.0,4281950.0,55641
2023-05-09 21:00:39,c2403,c2403,2501.0,1.0,25010.0,1.0,22,2501.0,2502.0,44,2510.0,2509.0,2510.0,2501.0,172.0,4306960.0,55642
2023-05-09 21:00:40,c2403,c2403,2501.0,2.0,50020.0,2.0,35,2501.0,2502.0,59,2510.0,2509.0,2510.0,2501.0,174.0,4356980.0,55644
2023-05-09 21:00:40,c2403,c2403,2502.0,1.0,25020.0,1.0,35,2501.0,2502.0,69,2510.0,2509.0,2510.0,2501.0,175.0,4382000.0,55645
2023-05-09 21:00:41,c2403,c2403,2502.0,0.0,0.0,0.0,36,2501.0,2502.0,69,2510.0,2509.0,2510.0,2501.0,175.0,4382000.0,55645
2023-05-09 21:00:42,c2403,c2403,2502.0,0.0,0.0,0.0,37,2501.0,2502.0,73,2510.0,2509.0,2510.0,2501.0,175.0,4382000.0,55645
2023-05-09 21:00:42,c2403,c2403,2502.0,1.0,25020.0,1.0,22,2501.0,2502.0,57,2510.0,2509.0,2510.0,2501.0,176.0,4407020.0,55646
2023-05-09 21:00:43,c2403,c2403,2502.0,0.0,0.0,0.0,22,2501.0,2502.0,53,2510.0,2509.0,2510.0,2501.0,176.0,4407020.0,55646
2023-05-09 21:00:44,c2403,c2403,2502.0,0.0,0.0,0.0,23,2501.0,2502.0,53,2510.0,2509.0,2510.0,2501.0,176.0,4407020.0,55646
2023-05-09 21:00:45,c2403,c2403,2502.0,0.0,0.0,0.0,23,2501.0,2502.0,38,2510.0,2509.0,2510.0,2501.0,176.0,4407020.0,55646
2023-05-09 21:00:45,c2403,c2403,2502.0,1.0,25020.0,1.0,25,2501.0,2502.0,37,2510.0,2509.0,2510.0,2501.0,177.0,4432040.0,55647
2023-05-09 21:00:45,c2403,c2403,2502.0,0.0,0.0,0.0,24,2501.0,2502.0,37,2510.0,2509.0,2510.0,2501.0,177.0,4432040.0,55647
2023-05-09 21:00:46,c2403,c2403,2502.0,4.0,100060.0,4.0,20,2501.0,2502.0,35,2510.0,2509.0,2510.0,2501.0,181.0,4532100.0,55651
2023-05-09 21:00:47,c2403,c2403,2501.0,2.0,50030.0,2.0,17,2501.0,2502.0,36,2510.0,2509.0,2510.0,2501.0,183.0,4582130.0,55653
2023-05-09 21:00:47,c2403,c2403,2500.0,36.0,900170.0,2.0,112,2499.0,2501.0,22,2510.0,2509.0,2510.0,2500.0,219.0,5482300.0,55655
2023-05-09 21:00:48,c2403,c2403,2499.0,9.0,224960.0,0.0,108,2499.0,2500.0,1,2510.0,2509.0,2510.0,2499.0,228.0,5707260.0,55655
2023-05-09 21:00:48,c2403,c2403,2500.0,1.0,25000.0,0.0,77,2499.0,2501.0,126,2510.0,2509.0,2510.0,2499.0,229.0,5732260.0,55655
2023-05-09 21:00:49,c2403,c2403,2500.0,0.0,0.0,0.0,107,2499.0,2501.0,141,2510.0,2509.0,2510.0,2499.0,229.0,5732260.0,55655
2023-05-09 21:00:49,c2403,c2403,2500.0,0.0,0.0,0.0,45,2499.0,2501.0,173,2510.0,2509.0,2510.0,2499.0,229.0,5732260.0,55655
2023-05-09 21:00:50,c2403,c2403,2499.0,5.0,124950.0,0.0,129,2498.0,2499.0,1,2510.0,2509.0,2510.0,2499.0,234.0,5857210.0,55655
2023-05-09 21:00:50,c2403,c2403,2499.0,0.0,0.0,0.0,67,2498.0,2499.0,1,2510.0,2509.0,2510.0,2499.0,234.0,5857210.0,55655
2023-05-09 21:00:51,c2403,c2403,2499.0,1.0,24990.0,0.0,108,2498.0,2500.0,92,2510.0,2509.0,2510.0,2499.0,235.0,5882200.0,55655
2023-05-09 21:00:51,c2403,c2403,2499.0,0.0,0.0,0.0,202,2498.0,2500.0,47,2510.0,2509.0,2510.0,2499.0,235.0,5882200.0,55655
2023-05-09 21:00:52,c2403,c2403,2499.0,0.0,0.0,0.0,217,2498.0,2500.0,62,2510.0,2509.0,2510.0,2499.0,235.0,5882200.0,55655
2023-05-09 21:00:53,c2403,c2403,2499.0,0.0,0.0,0.0,216,2498.0,2500.0,62,2510.0,2509.0,2510.0,2499.0,235.0,5882200.0,55655
