time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,open,high,low,close,yesterday_settlementprice,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-09 21:30:00,CF2403,CF403,15905.0,66.0,1046430.0,26.0,15875.0,15930.0,15820.0,15860.0,16000.0,15860.0,15875.0,15930.0,15820.0,66.0,1046430.0,1309
2023-05-09 22:00:00,CF2403,CF403,15910.0,16.0,254090.0,0.0,15905.0,15910.0,15870.0,15905.0,16000.0,15860.0,15875.0,15930.0,15820.0,82.0,1300520.0,1309
2023-05-09 22:30:00,CF2403,CF403,15985.0,26.0,414520.0,2.0,15910.0,15985.0,15910.0,15910.0,16000.0,15860.0,15875.0,15985.0,15820.0,108.0,1715040.0,1311
2023-05-09 23:00:00,CF2403,CF403,15975.0,26.0,414890.0,-13.0,15985.0,15985.0,15925.0,15985.0,16000.0,15860.0,15875.0,15985.0,15820.0,134.0,2129930.0,1298
2023-05-10 09:30:00,CF2403,CF403,16025.0,47.0,752495.0,7.0,15975.0,16035.0,15975.0,15975.0,16000.0,15860.0,15875.0,16035.0,15820.0,181.0,2882425.0,1305
2023-05-10 10:00:00,CF2403,CF403,16015.0,24.0,384250.0,1.0,16025.0,16050.0,15990.0,16025.0,16000.0,15860.0,15875.0,16050.0,15820.0,205.0,3266675.0,1306
2023-05-10 10:45:00,CF2403,CF403,16000.0,24.0,384730.0,12.0,16015.0,16065.0,16000.0,16015.0,16000.0,15860.0,15875.0,16065.0,15820.0,229.0,3651405.0,1318
2023-05-10 11:15:00,CF2403,CF403,15925.0,29.0,462405.0,11.0,16000.0,16000.0,15925.0,16000.0,16000.0,15860.0,15875.0,16065.0,15820.0,258.0,4113810.0,1329
2023-05-10 13:45:00,CF2403,CF403,15915.0,24.0,382680.0,9.0,15925.0,15950.0,15905.0,15925.0,16000.0,15860.0,15875.0,16065.0,15820.0,282.0,4496490.0,1338
2023-05-10 14:15:00,CF2403,CF403,15930.0,13.0,207285.0,2.0,15915.0,15940.0,15915.0,15915.0,16000.0,15860.0,15875.0,16065.0,15820.0,295.0,4703775.0,1340
2023-05-10 14:45:00,CF2403,CF403,15920.0,66.0,1048760.0,5.0,15940.0,15940.0,15860.0,15930.0,16000.0,15860.0,15875.0,16065.0,15820.0,361.0,5752535.0,1345
2023-05-10 15:00:00,CF2403,CF403,15920.0,21.0,334635.0,-3.0,15920.0,15930.0,15915.0,15920.0,16000.0,15860.0,15875.0,16065.0,15820.0,382.0,6087170.0,1342
