time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-10 09:29:00,IF2306,IF2306,4009.8,29.0,34885260.0,-14.0,1,4009.8,4010.0,11,4012.0,4009.8,4009.8,4009.8,29.0,34885260.0,88511
2023-05-10 09:30:00,IF2306,IF2306,4011.0,29.0,34893720.0,-3.0,3,4011.0,4012.0,13,4012.0,4009.8,4012.0,4009.8,58.0,69778980.0,88508
2023-05-10 09:30:00,IF2306,IF2306,4011.6,21.0,25271580.0,-14.0,1,4011.4,4011.6,1,4012.0,4009.8,4012.0,4009.8,79.0,95050560.0,88494
2023-05-10 09:30:01,IF2306,IF2306,4010.6,22.0,26473260.0,-16.0,1,4010.4,4011.0,1,4012.0,4009.8,4012.0,4009.8,101.0,121523820.0,88478
2023-05-10 09:30:01,IF2306,IF2306,4010.8,14.0,16846020.0,-12.0,2,4010.8,4011.8,2,4012.0,4009.8,4012.0,4009.8,115.0,138369840.0,88466
2023-05-10 09:30:02,IF2306,IF2306,4011.6,4.0,4813260.0,-4.0,6,4011.0,4011.6,8,4012.0,4009.8,4012.0,4009.8,119.0,143183100.0,88462
2023-05-10 09:30:02,IF2306,IF2306,4011.4,3.0,3610020.0,-2.0,5,4011.0,4011.2,1,4012.0,4009.8,4012.0,4009.8,122.0,146793120.0,88460
2023-05-10 09:30:03,IF2306,IF2306,4011.0,12.0,14439600.0,-9.0,5,4010.2,4011.0,4,4012.0,4009.8,4012.0,4009.8,134.0,161232720.0,88451
2023-05-10 09:30:03,IF2306,IF2306,4010.4,8.0,9626220.0,-4.0,4,4010.4,4010.6,1,4012.0,4009.8,4012.0,4009.8,142.0,170858940.0,88447
2023-05-10 09:30:04,IF2306,IF2306,4011.4,8.0,9626220.0,-4.0,5,4011.0,4011.6,1,4012.0,4009.8,4012.0,4009.8,150.0,180485160.0,88443
2023-05-10 09:30:04,IF2306,IF2306,4011.4,1.0,1203420.0,0.0,2,4011.4,4012.0,12,4012.0,4009.8,4012.0,4009.8,151.0,181688580.0,88443
2023-05-10 09:30:05,IF2306,IF2306,4010.4,34.0,40917000.0,-27.0,5,4010.2,4010.4,2,4012.0,4009.8,4012.0,4009.8,185.0,222605580.0,88416
2023-05-10 09:30:05,IF2306,IF2306,4010.4,2.0,2406240.0,-2.0,1,4011.6,4012.8,4,4012.0,4009.8,4012.0,4009.8,187.0,225011820.0,88414
2023-05-10 09:30:06,IF2306,IF2306,4010.4,1.0,1203120.0,-1.0,1,4011.8,4012.0,1,4012.0,4009.8,4012.0,4009.8,188.0,226214940.0,88413
2023-05-10 09:30:06,IF2306,IF2306,4012.0,4.0,4814340.0,-2.0,2,4011.6,4011.8,5,4012.0,4009.8,4012.0,4009.8,192.0,231029280.0,88411
2023-05-10 09:30:07,IF2306,IF2306,4011.2,7.0,8424420.0,-3.0,1,4010.8,4011.8,2,4012.0,4009.8,4012.0,4009.8,199.0,239453700.0,88408
2023-05-10 09:30:07,IF2306,IF2306,4011.2,0.0,0.0,0.0,3,4011.0,4011.8,2,4012.0,4009.8,4012.0,4009.8,199.0,239453700.0,88408
2023-05-10 09:30:08,IF2306,IF2306,4011.8,4.0,4813740.0,-1.0,1,4011.0,4011.8,1,4012.0,4009.8,4012.0,4009.8,203.0,244267440.0,88407
2023-05-10 09:30:08,IF2306,IF2306,4011.8,0.0,0.0,0.0,1,4011.2,4011.6,1,4012.0,4009.8,4012.0,4009.8,203.0,244267440.0,88407
2023-05-10 09:30:09,IF2306,IF2306,4011.4,3.0,3610080.0,-1.0,2,4010.8,4011.6,1,4012.0,4009.8,4012.0,4009.8,206.0,247877520.0,88406
2023-05-10 09:30:09,IF2306,IF2306,4011.6,3.0,3610320.0,-3.0,1,4010.6,4011.2,1,4012.0,4009.8,4012.0,4009.8,209.0,251487840.0,88403
2023-05-10 09:30:10,IF2306,IF2306,4011.8,4.0,4813740.0,-3.0,2,4010.8,4012.0,4,4012.0,4009.8,4012.0,4009.8,213.0,256301580.0,88400
2023-05-10 09:30:10,IF2306,IF2306,4011.6,6.0,7221240.0,-4.0,1,4011.6,4012.0,2,4012.0,4009.8,4012.0,4009.8,219.0,263522820.0,88396
2023-05-10 09:30:11,IF2306,IF2306,4011.2,6.0,7220460.0,-4.0,1,4010.8,4012.0,2,4012.0,4009.8,4012.0,4009.8,225.0,270743280.0,88392
