time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-10 08:59:00,lh2307,lh2307,15960.0,94.0,24003840.0,-42.0,8,15960.0,15975.0,2,16000.0,15960.0,15960.0,15960.0,94.0,24003840.0,42363
2023-05-10 09:00:00,lh2307,lh2307,15945.0,53.0,13527520.0,23.0,1,15940.0,15945.0,22,16000.0,15960.0,15960.0,15935.0,147.0,37531360.0,42386
2023-05-10 09:00:00,lh2307,lh2307,15940.0,57.0,14529200.0,-6.0,15,15915.0,15940.0,41,16000.0,15960.0,15960.0,15915.0,204.0,52060560.0,42380
2023-05-10 09:00:01,lh2307,lh2307,15925.0,39.0,9931680.0,-1.0,6,15905.0,15915.0,3,16000.0,15960.0,15960.0,15905.0,243.0,61992240.0,42379
2023-05-10 09:00:01,lh2307,lh2307,15915.0,40.0,10182560.0,-1.0,18,15900.0,15920.0,4,16000.0,15960.0,15960.0,15905.0,283.0,72174800.0,42378
2023-05-10 09:00:02,lh2307,lh2307,15920.0,43.0,10947520.0,0.0,4,15910.0,15925.0,2,16000.0,15960.0,15960.0,15900.0,326.0,83122320.0,42378
2023-05-10 09:00:02,lh2307,lh2307,15915.0,25.0,6370880.0,-9.0,1,15930.0,15935.0,6,16000.0,15960.0,15960.0,15900.0,351.0,89493200.0,42369
2023-05-10 09:00:03,lh2307,lh2307,15940.0,28.0,7138640.0,-13.0,18,15915.0,15930.0,9,16000.0,15960.0,15960.0,15900.0,379.0,96631840.0,42356
2023-05-10 09:00:03,lh2307,lh2307,15930.0,29.0,7387280.0,-10.0,5,15920.0,15930.0,3,16000.0,15960.0,15960.0,15900.0,408.0,104019120.0,42346
2023-05-10 09:00:04,lh2307,lh2307,15940.0,5.0,1274480.0,-1.0,2,15930.0,15940.0,57,16000.0,15960.0,15960.0,15900.0,413.0,105293600.0,42345
2023-05-10 09:00:04,lh2307,lh2307,15925.0,26.0,6626960.0,0.0,5,15925.0,15930.0,1,16000.0,15960.0,15960.0,15900.0,439.0,111920560.0,42345
2023-05-10 09:00:05,lh2307,lh2307,15930.0,19.0,4842880.0,-5.0,7,15930.0,15940.0,40,16000.0,15960.0,15960.0,15900.0,458.0,116763440.0,42340
2023-05-10 09:00:05,lh2307,lh2307,15930.0,7.0,1784880.0,-3.0,7,15930.0,15940.0,36,16000.0,15960.0,15960.0,15900.0,465.0,118548320.0,42337
2023-05-10 09:00:06,lh2307,lh2307,15935.0,9.0,2294000.0,1.0,1,15930.0,15940.0,44,16000.0,15960.0,15960.0,15900.0,474.0,120842320.0,42338
2023-05-10 09:00:06,lh2307,lh2307,15940.0,19.0,4845760.0,1.0,4,15930.0,15940.0,25,16000.0,15960.0,15960.0,15900.0,493.0,125688080.0,42339
2023-05-10 09:00:07,lh2307,lh2307,15930.0,16.0,4078800.0,3.0,4,15925.0,15935.0,1,16000.0,15960.0,15960.0,15900.0,509.0,129766880.0,42342
