time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-11 08:59:00,SM2310,SM310,6776.0,0.0,0.0,0.0,1,6744.0,6816.0,20,6776.0,6744.0,0.0,0.0,0.0,0.0,25132
2023-05-11 09:00:00,SM2310,SM310,6738.0,3.0,20226.0,3.0,10,6684.0,6740.0,18,6776.0,6744.0,6744.0,6738.0,3.0,20226.0,25135
2023-05-11 09:00:00,SM2310,SM310,6738.0,0.0,0.0,0.0,2,6726.0,6734.0,11,6776.0,6744.0,6744.0,6738.0,3.0,20226.0,25135
2023-05-11 09:00:01,SM2310,SM310,6738.0,0.0,0.0,0.0,2,6726.0,6730.0,18,6776.0,6744.0,6744.0,6738.0,3.0,20226.0,25135
2023-05-11 09:00:01,SM2310,SM310,6738.0,0.0,0.0,0.0,1,6722.0,6732.0,50,6776.0,6744.0,6744.0,6738.0,3.0,20226.0,25135
2023-05-11 09:00:02,SM2310,SM310,6738.0,0.0,0.0,0.0,2,6716.0,6728.0,6,6776.0,6744.0,6744.0,6738.0,3.0,20226.0,25135
2023-05-11 09:00:02,SM2310,SM310,6722.0,2.0,13434.0,0.0,1,6722.0,6730.0,1,6776.0,6744.0,6744.0,6712.0,5.0,33660.0,25135
2023-05-11 09:00:03,SM2310,SM310,6732.0,2.0,13464.0,0.0,3,6720.0,6736.0,36,6776.0,6744.0,6744.0,6712.0,7.0,47124.0,25135
2023-05-11 09:00:03,SM2310,SM310,6732.0,2.0,13464.0,0.0,2,6724.0,6736.0,37,6776.0,6744.0,6744.0,6712.0,9.0,60588.0,25135
2023-05-11 09:00:04,SM2310,SM310,6726.0,1.0,6732.0,0.0,1,6734.0,6736.0,4,6776.0,6744.0,6744.0,6712.0,10.0,67320.0,25135
2023-05-11 09:00:04,SM2310,SM310,6738.0,2.0,13464.0,-1.0,2,6730.0,6742.0,2,6776.0,6744.0,6744.0,6712.0,12.0,80784.0,25134
2023-05-11 09:00:05,SM2310,SM310,6732.0,1.0,6732.0,0.0,1,6740.0,6746.0,2,6776.0,6744.0,6744.0,6712.0,13.0,87516.0,25134
2023-05-11 09:00:05,SM2310,SM310,6732.0,0.0,0.0,0.0,3,6734.0,6742.0,2,6776.0,6744.0,6744.0,6712.0,13.0,87516.0,25134
2023-05-11 09:00:06,SM2310,SM310,6732.0,0.0,0.0,0.0,1,6736.0,6742.0,1,6776.0,6744.0,6744.0,6712.0,13.0,87516.0,25134
2023-05-11 09:00:06,SM2310,SM310,6732.0,0.0,0.0,0.0,3,6736.0,6740.0,2,6776.0,6744.0,6744.0,6712.0,13.0,87516.0,25134
2023-05-11 09:00:07,SM2310,SM310,6736.0,1.0,6760.0,0.0,1,6734.0,6740.0,11,6776.0,6744.0,6744.0,6712.0,14.0,94276.0,25134
2023-05-11 09:00:07,SM2310,SM310,6736.0,0.0,0.0,0.0,1,6734.0,6738.0,9,6776.0,6744.0,6744.0,6712.0,14.0,94276.0,25134
2023-05-11 09:00:08,SM2310,SM310,6736.0,0.0,0.0,0.0,4,6728.0,6736.0,5,6776.0,6744.0,6744.0,6712.0,14.0,94276.0,25134
2023-05-11 09:00:08,SM2310,SM310,6736.0,0.0,0.0,0.0,4,6728.0,6732.0,1,6776.0,6744.0,6744.0,6712.0,14.0,94276.0,25134
2023-05-11 09:00:09,SM2310,SM310,6728.0,1.0,6704.0,0.0,3,6728.0,6732.0,5,6776.0,6744.0,6744.0,6712.0,15.0,100980.0,25134
2023-05-11 09:00:09,SM2310,SM310,6728.0,1.0,6732.0,0.0,1,6726.0,6730.0,3,6776.0,6744.0,6744.0,6712.0,16.0,107712.0,25134
2023-05-11 09:00:10,SM2310,SM310,6724.0,2.0,13464.0,-1.0,3,6724.0,6726.0,4,6776.0,6744.0,6744.0,6712.0,18.0,121176.0,25133
2023-05-11 09:00:10,SM2310,SM310,6720.0,4.0,26884.0,1.0,1,6718.0,6720.0,2,6776.0,6744.0,6744.0,6712.0,22.0,148060.0,25134
2023-05-11 09:00:11,SM2310,SM310,6720.0,1.0,6730.0,0.0,2,6718.0,6722.0,1,6776.0,6744.0,6744.0,6712.0,23.0,154790.0,25134
2023-05-11 09:00:11,SM2310,SM310,6720.0,0.0,0.0,0.0,2,6722.0,6726.0,1,6776.0,6744.0,6744.0,6712.0,23.0,154790.0,25134
2023-05-11 09:00:12,SM2310,SM310,6724.0,1.0,6730.0,0.0,2,6720.0,6726.0,9,6776.0,6744.0,6744.0,6712.0,24.0,161520.0,25134
2023-05-11 09:00:12,SM2310,SM310,6724.0,0.0,0.0,0.0,3,6716.0,6724.0,4,6776.0,6744.0,6744.0,6712.0,24.0,161520.0,25134
2023-05-11 09:00:13,SM2310,SM310,6724.0,3.0,20190.0,3.0,1,6722.0,6726.0,7,6776.0,6744.0,6744.0,6712.0,27.0,181710.0,25137
