time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-11 09:29:00,T2312,T2312,100.995,12.0,12119400.0,5.0,1,100.995,101.08,3,100.865,100.995,100.995,100.995,12.0,12119400.0,4501
2023-05-11 09:30:00,T2312,T2312,100.995,0.0,0.0,0.0,10,101.0,101.075,1,100.865,100.995,100.995,100.995,12.0,12119400.0,4501
2023-05-11 09:30:00,T2312,T2312,101.08,4.0,4043150.0,-4.0,3,101.075,101.11,1,100.865,100.995,101.08,100.995,16.0,16162550.0,4497
2023-05-11 09:30:01,T2312,T2312,101.11,1.0,1011100.0,0.0,1,101.08,101.105,4,100.865,100.995,101.11,100.995,17.0,17173650.0,4497
2023-05-11 09:30:01,T2312,T2312,101.08,1.0,1010800.0,0.0,1,101.025,101.1,2,100.865,100.995,101.11,100.995,18.0,18184450.0,4497
2023-05-11 09:30:02,T2312,T2312,101.08,0.0,0.0,0.0,6,101.03,101.095,3,100.865,100.995,101.11,100.995,18.0,18184450.0,4497
2023-05-11 09:30:02,T2312,T2312,101.08,0.0,0.0,0.0,12,101.03,101.095,3,100.865,100.995,101.11,100.995,18.0,18184450.0,4497
2023-05-11 09:30:03,T2312,T2312,101.08,0.0,0.0,0.0,1,101.04,101.095,1,100.865,100.995,101.11,100.995,18.0,18184450.0,4497
2023-05-11 09:30:03,T2312,T2312,101.08,0.0,0.0,0.0,2,101.045,101.09,3,100.865,100.995,101.11,100.995,18.0,18184450.0,4497
2023-05-11 09:30:04,T2312,T2312,101.08,0.0,0.0,0.0,5,101.045,101.09,5,100.865,100.995,101.11,100.995,18.0,18184450.0,4497
2023-05-11 09:30:04,T2312,T2312,101.08,0.0,0.0,0.0,3,101.045,101.085,2,100.865,100.995,101.11,100.995,18.0,18184450.0,4497
2023-05-11 09:30:05,T2312,T2312,101.08,0.0,0.0,0.0,3,101.045,101.08,3,100.865,100.995,101.11,100.995,18.0,18184450.0,4497
2023-05-11 09:30:06,T2312,T2312,101.08,0.0,0.0,0.0,3,101.045,101.08,1,100.865,100.995,101.11,100.995,18.0,18184450.0,4497
2023-05-11 09:30:06,T2312,T2312,101.08,0.0,0.0,0.0,2,101.05,101.075,1,100.865,100.995,101.11,100.995,18.0,18184450.0,4497
2023-05-11 09:30:07,T2312,T2312,101.08,0.0,0.0,0.0,2,101.055,101.07,1,100.865,100.995,101.11,100.995,18.0,18184450.0,4497
2023-05-11 09:30:07,T2312,T2312,101.08,0.0,0.0,0.0,3,101.055,101.065,1,100.865,100.995,101.11,100.995,18.0,18184450.0,4497
2023-05-11 09:30:08,T2312,T2312,101.05,4.0,4042150.0,-3.0,26,101.045,101.055,1,100.865,100.995,101.11,100.995,22.0,22226600.0,4494
2023-05-11 09:30:08,T2312,T2312,101.045,2.0,2021000.0,-1.0,2,101.055,101.08,5,100.865,100.995,101.11,100.995,24.0,24247600.0,4493
2023-05-11 09:30:09,T2312,T2312,101.045,0.0,0.0,0.0,1,101.055,101.075,1,100.865,100.995,101.11,100.995,24.0,24247600.0,4493
2023-05-11 09:30:09,T2312,T2312,101.045,0.0,0.0,0.0,5,101.05,101.06,1,100.865,100.995,101.11,100.995,24.0,24247600.0,4493
2023-05-11 09:30:10,T2312,T2312,101.045,1.0,1010450.0,0.0,5,101.045,101.05,1,100.865,100.995,101.11,100.995,25.0,25258050.0,4493
2023-05-11 09:30:10,T2312,T2312,101.05,3.0,3031450.0,-2.0,1,101.05,101.06,6,100.865,100.995,101.11,100.995,28.0,28289500.0,4491
2023-05-11 09:30:11,T2312,T2312,101.06,1.0,1010600.0,-1.0,2,101.06,101.07,5,100.865,100.995,101.11,100.995,29.0,29300100.0,4490
2023-05-11 09:30:11,T2312,T2312,101.06,1.0,1010600.0,-1.0,5,101.05,101.065,1,100.865,100.995,101.11,100.995,30.0,30310700.0,4489
2023-05-11 09:30:12,T2312,T2312,101.06,0.0,0.0,0.0,1,101.055,101.06,1,100.865,100.995,101.11,100.995,30.0,30310700.0,4489
2023-05-11 09:30:12,T2312,T2312,101.06,0.0,0.0,0.0,5,101.045,101.06,1,100.865,100.995,101.11,100.995,30.0,30310700.0,4489
2023-05-11 09:30:13,T2312,T2312,101.06,0.0,0.0,0.0,5,101.035,101.06,1,100.865,100.995,101.11,100.995,30.0,30310700.0,4489
2023-05-11 09:30:13,T2312,T2312,101.06,0.0,0.0,0.0,1,101.04,101.06,1,100.865,100.995,101.11,100.995,30.0,30310700.0,4489
2023-05-11 09:30:14,T2312,T2312,101.045,1.0,1010450.0,0.0,5,101.03,101.045,20,100.865,100.995,101.11,100.995,31.0,31321150.0,4489
2023-05-11 09:30:14,T2312,T2312,101.045,2.0,2020900.0,-2.0,5,101.025,101.04,1,100.865,100.995,101.11,100.995,33.0,33342050.0,4487
2023-05-11 09:30:15,T2312,T2312,101.045,0.0,0.0,0.0,2,101.025,101.04,1,100.865,100.995,101.11,100.995,33.0,33342050.0,4487
2023-05-11 09:30:15,T2312,T2312,101.045,0.0,0.0,0.0,5,101.02,101.04,1,100.865,100.995,101.11,100.995,33.0,33342050.0,4487
2023-05-11 09:30:16,T2312,T2312,101.045,0.0,0.0,0.0,1,101.025,101.04,1,100.865,100.995,101.11,100.995,33.0,33342050.0,4487
2023-05-11 09:30:17,T2312,T2312,101.045,0.0,0.0,0.0,3,101.025,101.04,1,100.865,100.995,101.11,100.995,33.0,33342050.0,4487
2023-05-11 09:30:18,T2312,T2312,101.025,1.0,1010250.0,0.0,5,101.02,101.025,3,100.865,100.995,101.11,100.995,34.0,34352300.0,4487
2023-05-11 09:30:19,T2312,T2312,101.025,3.0,3030750.0,-3.0,2,101.025,101.04,5,100.865,100.995,101.11,100.995,37.0,37383050.0,4484
2023-05-11 09:30:19,T2312,T2312,101.025,0.0,0.0,0.0,1,101.025,101.035,1,100.865,100.995,101.11,100.995,37.0,37383050.0,4484
2023-05-11 09:30:20,T2312,T2312,101.025,0.0,0.0,0.0,1,101.025,101.03,1,100.865,100.995,101.11,100.995,37.0,37383050.0,4484
2023-05-11 09:30:20,T2312,T2312,101.025,0.0,0.0,0.0,5,101.02,101.045,24,100.865,100.995,101.11,100.995,37.0,37383050.0,4484
2023-05-11 09:30:21,T2312,T2312,101.025,0.0,0.0,0.0,5,101.015,101.04,1,100.865,100.995,101.11,100.995,37.0,37383050.0,4484
2023-05-11 09:30:21,T2312,T2312,101.025,0.0,0.0,0.0,2,101.015,101.04,1,100.865,100.995,101.11,100.995,37.0,37383050.0,4484
2023-05-11 09:30:22,T2312,T2312,101.025,0.0,0.0,0.0,2,101.02,101.04,1,100.865,100.995,101.11,100.995,37.0,37383050.0,4484
2023-05-11 09:30:22,T2312,T2312,101.025,0.0,0.0,0.0,5,101.015,101.04,1,100.865,100.995,101.11,100.995,37.0,37383050.0,4484
2023-05-11 09:30:23,T2312,T2312,101.025,0.0,0.0,0.0,2,101.015,101.04,1,100.865,100.995,101.11,100.995,37.0,37383050.0,4484
2023-05-11 09:30:23,T2312,T2312,101.025,0.0,0.0,0.0,5,101.01,101.04,1,100.865,100.995,101.11,100.995,37.0,37383050.0,4484
2023-05-11 09:30:24,T2312,T2312,101.01,5.0,5050600.0,-2.0,20,101.01,101.04,1,100.865,100.995,101.11,100.995,42.0,42433650.0,4482
2023-05-11 09:30:24,T2312,T2312,101.01,0.0,0.0,0.0,5,101.005,101.04,1,100.865,100.995,101.11,100.995,42.0,42433650.0,4482
2023-05-11 09:30:25,T2312,T2312,101.01,0.0,0.0,0.0,3,101.015,101.04,2,100.865,100.995,101.11,100.995,42.0,42433650.0,4482
2023-05-11 09:30:25,T2312,T2312,101.015,5.0,5050750.0,-5.0,2,101.015,101.04,2,100.865,100.995,101.11,100.995,47.0,47484400.0,4477
2023-05-11 09:30:26,T2312,T2312,101.015,0.0,0.0,0.0,26,101.01,101.04,2,100.865,100.995,101.11,100.995,47.0,47484400.0,4477
2023-05-11 09:30:26,T2312,T2312,101.015,0.0,0.0,0.0,3,101.015,101.04,2,100.865,100.995,101.11,100.995,47.0,47484400.0,4477
2023-05-11 09:30:27,T2312,T2312,101.015,0.0,0.0,0.0,5,101.015,101.04,2,100.865,100.995,101.11,100.995,47.0,47484400.0,4477
2023-05-11 09:30:28,T2312,T2312,101.015,5.0,5050750.0,-2.0,26,101.01,101.04,2,100.865,100.995,101.11,100.995,52.0,52535150.0,4475
2023-05-11 09:30:28,T2312,T2312,101.015,0.0,0.0,0.0,23,101.01,101.04,2,100.865,100.995,101.11,100.995,52.0,52535150.0,4475
2023-05-11 09:30:32,T2312,T2312,101.015,0.0,0.0,0.0,21,101.01,101.04,2,100.865,100.995,101.11,100.995,52.0,52535150.0,4475
2023-05-11 09:30:33,T2312,T2312,101.015,0.0,0.0,0.0,23,101.01,101.04,2,100.865,100.995,101.11,100.995,52.0,52535150.0,4475
2023-05-11 09:30:34,T2312,T2312,101.01,19.0,19191900.0,0.0,4,101.01,101.04,2,100.865,100.995,101.11,100.995,71.0,71727050.0,4475
2023-05-11 09:30:34,T2312,T2312,101.01,0.0,0.0,0.0,5,101.01,101.04,2,100.865,100.995,101.11,100.995,71.0,71727050.0,4475
2023-05-11 09:30:35,T2312,T2312,101.04,2.0,2020800.0,-2.0,3,101.015,101.035,1,100.865,100.995,101.11,100.995,73.0,73747850.0,4473
2023-05-11 09:30:35,T2312,T2312,101.035,1.0,1010350.0,0.0,3,101.015,101.045,6,100.865,100.995,101.11,100.995,74.0,74758200.0,4473
