time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,open,high,low,close,yesterday_settlementprice,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-09 21:30:00,TA2310,TA310,5312.0,552.0,2945472.0,6.0,5352.0,5358.0,5306.0,5364.0,5374.0,5364.0,5352.0,5358.0,5306.0,552.0,2945472.0,36004
2023-05-09 22:00:00,TA2310,TA310,5330.0,235.0,1247664.0,40.0,5306.0,5330.0,5294.0,5312.0,5374.0,5364.0,5352.0,5358.0,5294.0,787.0,4193136.0,36044
2023-05-09 22:30:00,TA2310,TA310,5310.0,128.0,681984.0,35.0,5330.0,5346.0,5310.0,5330.0,5374.0,5364.0,5352.0,5358.0,5294.0,915.0,4875120.0,36079
2023-05-09 23:00:00,TA2310,TA310,5304.0,109.0,578704.0,-28.0,5310.0,5312.0,5294.0,5310.0,5374.0,5364.0,5352.0,5358.0,5294.0,1024.0,5453824.0,36051
2023-05-10 09:30:00,TA2310,TA310,5332.0,176.0,939776.0,-39.0,5310.0,5360.0,5310.0,5304.0,5374.0,5364.0,5352.0,5360.0,5294.0,1200.0,6393600.0,36012
2023-05-10 10:00:00,TA2310,TA310,5334.0,224.0,1196320.0,-36.0,5332.0,5346.0,5328.0,5332.0,5374.0,5364.0,5352.0,5360.0,5294.0,1424.0,7589920.0,35976
2023-05-10 10:45:00,TA2310,TA310,5326.0,33.0,175890.0,-9.0,5334.0,5346.0,5318.0,5334.0,5374.0,5364.0,5352.0,5360.0,5294.0,1457.0,7765810.0,35967
2023-05-10 11:15:00,TA2310,TA310,5332.0,28.0,149240.0,-1.0,5326.0,5338.0,5322.0,5326.0,5374.0,5364.0,5352.0,5360.0,5294.0,1485.0,7915050.0,35966
2023-05-10 13:45:00,TA2310,TA310,5326.0,106.0,564980.0,3.0,5332.0,5338.0,5316.0,5332.0,5374.0,5364.0,5352.0,5360.0,5294.0,1591.0,8480030.0,35969
2023-05-10 14:15:00,TA2310,TA310,5314.0,105.0,556258.0,-12.0,5326.0,5332.0,5312.0,5326.0,5374.0,5364.0,5352.0,5360.0,5294.0,1696.0,9036288.0,35957
2023-05-10 14:45:00,TA2310,TA310,5304.0,408.0,2161200.0,47.0,5314.0,5318.0,5284.0,5314.0,5374.0,5364.0,5352.0,5360.0,5284.0,2104.0,11197488.0,36004
2023-05-10 15:00:00,TA2310,TA310,5316.0,105.0,558810.0,-29.0,5304.0,5316.0,5304.0,5304.0,5374.0,5364.0,5352.0,5360.0,5284.0,2209.0,11756298.0,35975
