time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-10 19:12:58,TA2308,TA2308,5446.0,0.0,0.0,0.0,0,0.0,0.0,0,5446.0,5454.0,0.0,0.0,0.0,0.0,202262
2023-05-10 20:59:00,TA2308,TA2308,5446.0,0.0,0.0,0.0,7,5432.0,5454.0,2,5446.0,5454.0,0.0,0.0,0.0,0.0,202262
2023-05-10 21:00:00,TA2308,TA2308,5464.0,13.0,71032.0,10.0,33,5464.0,5470.0,3,5446.0,5454.0,5466.0,5454.0,13.0,71032.0,202272
2023-05-10 21:00:00,TA2308,TA2308,5464.0,0.0,0.0,0.0,33,5464.0,5468.0,1,5446.0,5454.0,5466.0,5454.0,13.0,71032.0,202272
2023-05-10 21:00:01,TA2308,TA2308,5466.0,41.0,224240.0,18.0,20,5466.0,5468.0,2,5446.0,5454.0,5478.0,5454.0,54.0,295272.0,202290
2023-05-10 21:00:01,TA2308,TA2308,5468.0,1.0,5468.0,1.0,17,5466.0,5468.0,2,5446.0,5454.0,5478.0,5454.0,55.0,300740.0,202291
2023-05-10 21:00:02,TA2308,TA2308,5468.0,19.0,103892.0,12.0,12,5468.0,5470.0,13,5446.0,5454.0,5478.0,5454.0,74.0,404632.0,202303
2023-05-10 21:00:03,TA2308,TA2308,5468.0,10.0,54680.0,10.0,2,5468.0,5470.0,12,5446.0,5454.0,5478.0,5454.0,84.0,459312.0,202313
2023-05-10 21:00:03,TA2308,TA2308,5470.0,3.0,16404.0,3.0,2,5468.0,5470.0,6,5446.0,5454.0,5478.0,5454.0,87.0,475716.0,202316
2023-05-10 21:00:03,TA2308,TA2308,5468.0,5.0,27340.0,3.0,5,5468.0,5470.0,2,5446.0,5454.0,5478.0,5454.0,92.0,503056.0,202319
2023-05-10 21:00:04,TA2308,TA2308,5466.0,11.0,60148.0,6.0,4,5466.0,5470.0,1,5446.0,5454.0,5478.0,5454.0,103.0,563204.0,202325
2023-05-10 21:00:05,TA2308,TA2308,5470.0,2.0,10936.0,0.0,1,5468.0,5470.0,9,5446.0,5454.0,5478.0,5454.0,105.0,574140.0,202325
2023-05-10 21:00:05,TA2308,TA2308,5470.0,3.0,16404.0,3.0,2,5468.0,5472.0,8,5446.0,5454.0,5478.0,5454.0,108.0,590544.0,202328
2023-05-10 21:00:06,TA2308,TA2308,5472.0,6.0,32808.0,5.0,3,5470.0,5472.0,5,5446.0,5454.0,5478.0,5454.0,114.0,623352.0,202333
2023-05-10 21:00:06,TA2308,TA2308,5470.0,5.0,27340.0,5.0,8,5470.0,5472.0,2,5446.0,5454.0,5478.0,5454.0,119.0,650692.0,202338
2023-05-10 21:00:07,TA2308,TA2308,5472.0,2.0,10936.0,2.0,6,5470.0,5474.0,7,5446.0,5454.0,5478.0,5454.0,121.0,661628.0,202340
