time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-11 09:29:00,TF2306,TF2306,101.935,27.0,27522450.0,5.0,1,101.935,101.965,2,101.815,101.935,101.935,101.935,27.0,27522450.0,75819
2023-05-11 09:30:00,TF2306,TF2306,101.97,22.0,22432650.0,2.0,56,101.965,101.995,5,101.815,101.935,101.97,101.935,49.0,49955100.0,75821
2023-05-11 09:30:00,TF2306,TF2306,101.975,84.0,85657500.0,9.0,43,101.965,101.975,8,101.815,101.935,101.995,101.935,133.0,135612600.0,75830
2023-05-11 09:30:01,TF2306,TF2306,101.975,66.0,67300200.0,12.0,1,101.97,101.975,32,101.815,101.935,101.995,101.935,199.0,202912800.0,75842
2023-05-11 09:30:01,TF2306,TF2306,101.97,39.0,39768100.0,-4.0,1,101.965,101.975,45,101.815,101.935,101.995,101.935,238.0,242680900.0,75838
2023-05-11 09:30:02,TF2306,TF2306,101.965,19.0,19374100.0,0.0,7,101.965,101.97,2,101.815,101.935,101.995,101.935,257.0,262055000.0,75838
2023-05-11 09:30:02,TF2306,TF2306,101.97,80.0,81576850.0,1.0,3,101.97,101.975,7,101.815,101.935,101.995,101.935,337.0,343631850.0,75839
2023-05-11 09:30:03,TF2306,TF2306,101.97,20.0,20394500.0,2.0,6,101.97,101.975,4,101.815,101.935,101.995,101.935,357.0,364026350.0,75841
2023-05-11 09:30:03,TF2306,TF2306,101.97,15.0,15296500.0,-8.0,1,101.975,101.985,1,101.815,101.935,101.995,101.935,372.0,379322850.0,75833
2023-05-11 09:30:04,TF2306,TF2306,101.96,30.0,30591250.0,8.0,19,101.96,101.97,1,101.815,101.935,101.995,101.935,402.0,409914100.0,75841
2023-05-11 09:30:04,TF2306,TF2306,101.96,26.0,26511900.0,8.0,8,101.96,101.97,20,101.815,101.935,101.995,101.935,428.0,436426000.0,75849
2023-05-11 09:30:05,TF2306,TF2306,101.97,9.0,9177200.0,-2.0,2,101.965,101.97,24,101.815,101.935,101.995,101.935,437.0,445603200.0,75847
2023-05-11 09:30:05,TF2306,TF2306,101.965,36.0,36709300.0,10.0,3,101.97,101.975,5,101.815,101.935,101.995,101.935,473.0,482312500.0,75857
2023-05-11 09:30:06,TF2306,TF2306,101.96,18.0,18353700.0,5.0,23,101.96,101.965,5,101.815,101.935,101.995,101.935,491.0,500666200.0,75862
2023-05-11 09:30:06,TF2306,TF2306,101.96,24.0,24471000.0,8.0,21,101.955,101.96,3,101.815,101.935,101.995,101.935,515.0,525137200.0,75870
2023-05-11 09:30:07,TF2306,TF2306,101.965,54.0,55062100.0,12.0,8,101.965,101.97,2,101.815,101.935,101.995,101.935,569.0,580199300.0,75882
2023-05-11 09:30:07,TF2306,TF2306,101.97,14.0,14275900.0,0.0,18,101.965,101.97,2,101.815,101.935,101.995,101.935,583.0,594475200.0,75882
2023-05-11 09:30:08,TF2306,TF2306,101.97,19.0,19373900.0,1.0,11,101.965,101.97,3,101.815,101.935,101.995,101.935,602.0,613849100.0,75883
2023-05-11 09:30:08,TF2306,TF2306,101.97,12.0,12236000.0,1.0,7,101.965,101.97,7,101.815,101.935,101.995,101.935,614.0,626085100.0,75884
2023-05-11 09:30:09,TF2306,TF2306,101.965,5.0,5098350.0,2.0,7,101.965,101.97,12,101.815,101.935,101.995,101.935,619.0,631183450.0,75886
2023-05-11 09:30:09,TF2306,TF2306,101.965,3.0,3058950.0,-3.0,7,101.965,101.97,14,101.815,101.935,101.995,101.935,622.0,634242400.0,75883
2023-05-11 09:30:10,TF2306,TF2306,101.965,0.0,0.0,0.0,8,101.965,101.97,16,101.815,101.935,101.995,101.935,622.0,634242400.0,75883
2023-05-11 09:30:10,TF2306,TF2306,101.965,2.0,2039300.0,2.0,7,101.965,101.97,17,101.815,101.935,101.995,101.935,624.0,636281700.0,75885
2023-05-11 09:30:11,TF2306,TF2306,101.965,7.0,7137550.0,-3.0,59,101.96,101.965,3,101.815,101.935,101.995,101.935,631.0,643419250.0,75882
