品种代码,变动日,品种名称,主力代码,指数线代码,连续代码,连一代码,连二代码,连三代码,连四代码
IC,20150416,中证500指数,IC00,ICInd,IC01,IC01,IC02,IC03,IC04
IF,20100416,沪深300指数,IF00,IFInd,IF01,IF01,IF02,IF03,IF04
IH,20150416,上证50指数,IH00,IHInd,IH01,IH01,IH02,IH03,IH04
IM,20220722,中证1000指数,IM00,IMInd,IM01,IM01,IM02,IM03,IM04
A,20020315,黄大豆1号,ZL000014,QI000014,LXA00,LXA01,LXA02,LXA03,LXA04
AG,20120510,白银,ZL000028,QI000028,LXAG00,LXAG01,LXAG02,LXAG03,LXAG04
AL,19920528,铝,ZL000001,QI000001,LXAL00,LXAL01,LXAL02,LXAL03,LXAL04
AO,20230619,氧化铝,ZL000067,QI000067,LXAO00,LXAO01,LXAO02,LXAO03,LXAO04
AP,20171222,苹果,ZL000049,QI000049,LXAP00,LXAP01,LXAP02,LXAP03,LXAP04
AU,20080109,黄金,ZL000002,QI000002,LXAU00,LXAU01,LXAU02,LXAU03,LXAU04
B,20041222,黄大豆2号,ZL000015,QI000015,LXB00,LXB01,LXB02,LXB03,LXB04
BB,20131206,胶合板,ZL000037,QI000037,LXBB00,LXBB01,LXBB02,LXBB03,LXBB04
BC,20201119,国际铜,ZL000063,QI000063,LXBC00,LXBC01,LXBC02,LXBC03,LXBC04
BR,20230728,丁二烯橡胶,ZL000069,QI000069,LXBR00,LXBR01,LXBR02,LXBR03,LXBR04
BU,20131009,沥青,ZL000033,QI000033,LXBU00,LXBU01,LXBU02,LXBU03,LXBU04
C,20040922,玉米,ZL000016,QI000016,LXC00,LXC01,LXC02,LXC03,LXC04
CF,20040601,棉花,ZL000007,QI000007,LXCF00,LXCF01,LXCF02,LXCF03,LXCF04
CJ,20190430,红枣,ZL000053,QI000053,LXCJ00,LXCJ01,LXCJ02,LXCJ03,LXCJ04
CS,20141219,玉米淀粉,ZL000045,QI000045,LXCS00,LXCS01,LXCS02,LXCS03,LXCS04
CU,19930301,铜,ZL000003,QI000003,LXCU00,LXCU01,LXCU02,LXCU03,LXCU04
CY,20170818,棉纱,ZL000048,QI000048,LXCY00,LXCY01,LXCY02,LXCY03,LXCY04
EB,20190926,苯乙烯,ZL000058,QI000058,LXEB00,LXEB01,LXEB02,LXEB03,LXEB04
