合约代码,变动日,交易代码,交割年份,交割月份,交易品种,合约乘数,合约乘数单位,报价单位,最小变动价位,每日价格最大波动下限(%),每日价格最大波动上限(%),最后交易日参照标准,最后交易日相对参照标准偏移月份,最后交易日类别,最后交易日相对最后交易日所在月份偏移天数,最后交易日是否假日顺延,最后交易日,最后交割日参照标准,最后交割日相对参照标准偏移月份,最后交割日类别,最后交割日相对最后交割日所在月份偏移天数,最后交割日是否假日顺延,最后交割日,最低交易保证金(%),交割方式,上市地,期货类别,商品期货类别,基准代码
AP1805,20171222,AP,2018,5,苹果,10,吨/手,元/吨,1,-5,5,合约交割月份,0,第N个交易日,10,否,20180515,合约交割月份,0,第N个交易日,12,否,20180517,7,实物交割,郑州商品交易所,商品期货,农产品期货,
AP1807,20171222,AP,2018,7,苹果,10,吨/手,元/吨,1,-5,5,合约交割月份,0,第N个交易日,10,否,20180713,合约交割月份,0,第N个交易日,12,否,20180717,7,实物交割,郑州商品交易所,商品期货,农产品期货,
AP1810,20171222,AP,2018,10,苹果,10,吨/手,元/吨,1,-5,5,合约交割月份,0,第N个交易日,10,否,20181019,合约交割月份,0,第N个交易日,12,否,20181023,7,实物交割,郑州商品交易所,商品期货,农产品期货,
AP1811,20171222,AP,2018,11,苹果,10,吨/手,元/吨,1,-5,5,合约交割月份,0,第N个交易日,10,否,20181114,合约交割月份,0,第N个交易日,12,否,20181116,7,实物交割,郑州商品交易所,商品期货,农产品期货,
AP1812,20171222,AP,2018,12,苹果,10,吨/手,元/吨,1,-5,5,合约交割月份,0,第N个交易日,10,否,20181214,合约交割月份,0,第N个交易日,12,否,20181218,7,实物交割,郑州商品交易所,商品期货,农产品期货,
AP1901,20180116,AP,2019,1,苹果,10,吨/手,元/吨,1,-5,5,合约交割月份,0,第N个交易日,10,否,20190115,合约交割月份,0,第N个交易日,12,否,20190117,7,实物交割,郑州商品交易所,商品期货,农产品期货,
AP1903,20180315,AP,2019,3,苹果,10,吨/手,元/吨,1,-5,5,合约交割月份,0,第N个交易日,10,否,20190314,合约交割月份,0,第N个交易日,12,否,20190318,7,实物交割,郑州商品交易所,商品期货,农产品期货,
AP1905,20180516,AP,2019,5,苹果,10,吨/手,元/吨,1,-5,5,合约交割月份,0,第N个交易日,10,否,20190517,合约交割月份,0,第N个交易日,12,否,20190521,7,实物交割,郑州商品交易所,商品期货,农产品期货,
AP1907,20180716,AP,2019,7,苹果,10,吨/手,元/吨,1,-5,5,合约交割月份,0,第N个交易日,10,否,20190712,合约交割月份,0,第N个交易日,12,否,20190716,7,实物交割,郑州商品交易所,商品期货,农产品期货,
AP1910,20181022,AP,2019,10,苹果,10,吨/手,元/吨,1,-5,5,合约交割月份,0,第N个交易日,10,否,20191021,合约交割月份,0,第N个交易日,12,否,20191023,7,实物交割,郑州商品交易所,商品期货,农产品期货,
