合约代码,变动日,交易代码,交割年份,交割月份,交易品种,合约乘数,合约乘数单位,报价单位,最小变动价位,每日价格最大波动下限(%),每日价格最大波动上限(%),最后交易日参照标准,最后交易日相对参照标准偏移月份,最后交易日类别,最后交易日相对最后交易日所在月份偏移天数,最后交易日是否假日顺延,最后交易日,最后交割日参照标准,最后交割日相对参照标准偏移月份,最后交割日类别,最后交割日相对最后交割日所在月份偏移天数,最后交割日是否假日顺延,最后交割日,最低交易保证金(%),交割方式,上市地,期货类别,商品期货类别,基准代码
AP2310,20221024,AP,2023,10,苹果,10,吨/手,元/吨,1,-5,5,合约交割月份,0,第N个交易日,10,否,20231020,合约交割月份,0,第N个交易日,13,否,20231025,7,实物交割,郑州商品交易所,商品期货,农产品期货,
AP2311,20221115,AP,2023,11,苹果,10,吨/手,元/吨,1,-5,5,合约交割月份,0,第N个交易日,10,否,20231114,合约交割月份,0,第N个交易日,13,否,20231117,7,实物交割,郑州商品交易所,商品期货,农产品期货,
AP2312,20221215,AP,2023,12,苹果,10,吨/手,元/吨,1,-5,5,合约交割月份,0,第N个交易日,10,否,20231214,合约交割月份,0,第N个交易日,13,否,20231219,7,实物交割,郑州商品交易所,商品期货,农产品期货,
AP2401,20230117,AP,2024,1,苹果,10,吨/手,元/吨,1,-5,5,合约交割月份,0,第N个交易日,10,否,20240112,合约交割月份,0,第N个交易日,13,否,20240117,7,实物交割,郑州商品交易所,商品期货,农产品期货,
AP2403,20230315,AP,2024,3,苹果,10,吨/手,元/吨,1,-5,5,合约交割月份,0,第N个交易日,10,否,20240314,合约交割月份,0,第N个交易日,13,否,20240319,7,实物交割,郑州商品交易所,商品期货,农产品期货,
AP2404,20230418,AP,2024,4,苹果,10,吨/手,元/吨,1,-5,5,合约交割月份,0,第N个交易日,10,否,20240412,合约交割月份,0,第N个交易日,13,否,20240417,7,实物交割,郑州商品交易所,商品期货,农产品期货,
AP2405,20230518,AP,2024,5,苹果,10,吨/手,元/吨,1,-5,5,合约交割月份,0,第N个交易日,10,否,20240514,合约交割月份,0,第N个交易日,13,否,20240517,7,实物交割,郑州商品交易所,商品期货,农产品期货,
CF2311,20221115,CF,2023,11,棉花,5,吨/手,元/吨,5,-4,4,合约交割月份,0,第N个交易日,10,否,20231114,合约交割月份,0,第N个交易日,13,否,20231117,5,实物交割,郑州商品交易所,商品期货,农产品期货,
CF2401,20230117,CF,2024,1,棉花,5,吨/手,元/吨,5,-4,4,合约交割月份,0,第N个交易日,10,否,20240112,合约交割月份,0,第N个交易日,13,否,20240117,5,实物交割,郑州商品交易所,商品期货,农产品期货,
CF2403,20230315,CF,2024,3,棉花,5,吨/手,元/吨,5,-4,4,合约交割月份,0,第N个交易日,10,否,20240314,合约交割月份,0,第N个交易日,13,否,20240319,5,实物交割,郑州商品交易所,商品期货,农产品期货,
CF2405,20230518,CF,2024,5,棉花,5,吨/手,元/吨,5,-4,4,合约交割月份,0,第N个交易日,10,否,20240514,合约交割月份,0,第N个交易日,13,否,20240517,5,实物交割,郑州商品交易所,商品期货,农产品期货,
CF2407,20230717,CF,2024,7,棉花,5,吨/手,元/吨,5,-4,4,合约交割月份,0,第N个交易日,10,否,20240712,合约交割月份,0,第N个交易日,13,否,20240717,5,实物交割,郑州商品交易所,商品期货,农产品期货,
CF2409,20230915,CF,2024,9,棉花,5,吨/手,元/吨,5,-4,4,合约交割月份,0,第N个交易日,10,否,20240913,合约交割月份,0,第N个交易日,13,否,20240918,5,实物交割,郑州商品交易所,商品期货,农产品期货,
CJ2312,20221215,CJ,2023,12,红枣,5,吨/手,元/吨,5,-5,5,合约交割月份,0,第N个交易日,10,否,20231214,合约交割月份,0,第N个交易日,13,否,20231219,7,实物交割,郑州商品交易所,商品期货,农产品期货,
CJ2401,20230117,CJ,2024,1,红枣,5,吨/手,元/吨,5,-5,5,合约交割月份,0,第N个交易日,10,否,20240112,合约交割月份,0,第N个交易日,13,否,20240117,7,实物交割,郑州商品交易所,商品期货,农产品期货,
CJ2403,20230315,CJ,2024,3,红枣,5,吨/手,元/吨,5,-5,5,合约交割月份,0,第N个交易日,10,否,20240314,合约交割月份,0,第N个交易日,13,否,20240319,7,实物交割,郑州商品交易所,商品期货,农产品期货,
CJ2405,20230518,CJ,2024,5,红枣,5,吨/手,元/吨,5,-5,5,合约交割月份,0,第N个交易日,10,否,20240514,合约交割月份,0,第N个交易日,13,否,20240517,7,实物交割,郑州商品交易所,商品期货,农产品期货,
CJ2407,20230717,CJ,2024,7,红枣,5,吨/手,元/吨,5,-5,5,合约交割月份,0,第N个交易日,10,否,20240712,合约交割月份,0,第N个交易日,13,否,20240717,7,实物交割,郑州商品交易所,商品期货,农产品期货,
CJ2409,20230915,CJ,2024,9,红枣,5,吨/手,元/吨,5,-5,5,合约交割月份,0,第N个交易日,10,否,20240913,合约交割月份,0,第N个交易日,13,否,20240918,7,实物交割,郑州商品交易所,商品期货,农产品期货,
CY2310,20221024,CY,2023,10,棉纱,5,吨/手,元/吨,5,-4,4,合约交割月份,0,第N个交易日,10,否,20231020,合约交割月份,0,第N个交易日,13,否,20231025,5,实物交割,郑州商品交易所,商品期货,农产品期货,
CY2311,20221115,CY,2023,11,棉纱,5,吨/手,元/吨,5,-4,4,合约交割月份,0,第N个交易日,10,否,20231114,合约交割月份,0,第N个交易日,13,否,20231117,5,实物交割,郑州商品交易所,商品期货,农产品期货,
CY2312,20221215,CY,2023,12,棉纱,5,吨/手,元/吨,5,-4,4,合约交割月份,0,第N个交易日,10,否,20231214,合约交割月份,0,第N个交易日,13,否,20231219,5,实物交割,郑州商品交易所,商品期货,农产品期货,
CY2401,20230117,CY,2024,1,棉纱,5,吨/手,元/吨,5,-4,4,合约交割月份,0,第N个交易日,10,否,20240112,合约交割月份,0,第N个交易日,13,否,20240117,5,实物交割,郑州商品交易所,商品期货,农产品期货,
CY2402,20230215,CY,2024,2,棉纱,5,吨/手,元/吨,5,-4,4,合约交割月份,0,第N个交易日,10,否,20240214,合约交割月份,0,第N个交易日,13,否,20240219,5,实物交割,郑州商品交易所,商品期货,农产品期货,
CY2403,20230315,CY,2024,3,棉纱,5,吨/手,元/吨,5,-4,4,合约交割月份,0,第N个交易日,10,否,20240314,合约交割月份,0,第N个交易日,13,否,20240319,5,实物交割,郑州商品交易所,商品期货,农产品期货,
CY2404,20230418,CY,2024,4,棉纱,5,吨/手,元/吨,5,-4,4,合约交割月份,0,第N个交易日,10,否,20240412,合约交割月份,0,第N个交易日,13,否,20240417,5,实物交割,郑州商品交易所,商品期货,农产品期货,
CY2405,20230518,CY,2024,5,棉纱,5,吨/手,元/吨,5,-4,4,合约交割月份,0,第N个交易日,10,否,20240514,合约交割月份,0,第N个交易日,13,否,20240517,5,实物交割,郑州商品交易所,商品期货,农产品期货,
CY2406,20230615,CY,2024,6,棉纱,5,吨/手,元/吨,5,-4,4,合约交割月份,0,第N个交易日,10,否,20240614,合约交割月份,0,第N个交易日,13,否,20240619,5,实物交割,郑州商品交易所,商品期货,农产品期货,
CY2407,20230717,CY,2024,7,棉纱,5,吨/手,元/吨,5,-4,4,合约交割月份,0,第N个交易日,10,否,20240712,合约交割月份,0,第N个交易日,13,否,20240717,5,实物交割,郑州商品交易所,商品期货,农产品期货,
CY2408,20230815,CY,2024,8,棉纱,5,吨/手,元/吨,5,-4,4,合约交割月份,0,第N个交易日,10,否,20240814,合约交割月份,0,第N个交易日,13,否,20240819,5,实物交割,郑州商品交易所,商品期货,农产品期货,
CY2409,20230915,CY,2024,9,棉纱,5,吨/手,元/吨,5,-4,4,合约交割月份,0,第N个交易日,10,否,20240913,合约交割月份,0,第N个交易日,13,否,20240918,5,实物交割,郑州商品交易所,商品期货,农产品期货,
FG2310,20221024,FG,2023,10,玻璃,20,吨/手,元/吨,1,-4,4,合约交割月份,0,第N个交易日,10,否,20231020,合约交割月份,0,第N个交易日,13,否,20231025,5,实物交割,郑州商品交易所,商品期货,能源化工期货,
FG2311,20221115,FG,2023,11,玻璃,20,吨/手,元/吨,1,-4,4,合约交割月份,0,第N个交易日,10,否,20231114,合约交割月份,0,第N个交易日,13,否,20231117,5,实物交割,郑州商品交易所,商品期货,能源化工期货,
FG2312,20221215,FG,2023,12,玻璃,20,吨/手,元/吨,1,-4,4,合约交割月份,0,第N个交易日,10,否,20231214,合约交割月份,0,第N个交易日,13,否,20231219,5,实物交割,郑州商品交易所,商品期货,能源化工期货,
FG2401,20230117,FG,2024,1,玻璃,20,吨/手,元/吨,1,-4,4,合约交割月份,0,第N个交易日,10,否,20240112,合约交割月份,0,第N个交易日,13,否,20240117,5,实物交割,郑州商品交易所,商品期货,能源化工期货,
FG2402,20230215,FG,2024,2,玻璃,20,吨/手,元/吨,1,-4,4,合约交割月份,0,第N个交易日,10,否,20240214,合约交割月份,0,第N个交易日,13,否,20240219,5,实物交割,郑州商品交易所,商品期货,能源化工期货,
FG2403,20230315,FG,2024,3,玻璃,20,吨/手,元/吨,1,-4,4,合约交割月份,0,第N个交易日,10,否,20240314,合约交割月份,0,第N个交易日,13,否,20240319,5,实物交割,郑州商品交易所,商品期货,能源化工期货,
FG2404,20230418,FG,2024,4,玻璃,20,吨/手,元/吨,1,-4,4,合约交割月份,0,第N个交易日,10,否,20240412,合约交割月份,0,第N个交易日,13,否,20240417,5,实物交割,郑州商品交易所,商品期货,能源化工期货,
FG2405,20230518,FG,2024,5,玻璃,20,吨/手,元/吨,1,-4,4,合约交割月份,0,第N个交易日,10,否,20240514,合约交割月份,0,第N个交易日,13,否,20240517,5,实物交割,郑州商品交易所,商品期货,能源化工期货,
FG2406,20230615,FG,2024,6,玻璃,20,吨/手,元/吨,1,-4,4,合约交割月份,0,第N个交易日,10,否,20240614,合约交割月份,0,第N个交易日,13,否,20240619,5,实物交割,郑州商品交易所,商品期货,能源化工期货,
FG2407,20230717,FG,2024,7,玻璃,20,吨/手,元/吨,1,-4,4,合约交割月份,0,第N个交易日,10,否,20240712,合约交割月份,0,第N个交易日,13,否,20240717,5,实物交割,郑州商品交易所,商品期货,能源化工期货,
FG2408,20230815,FG,2024,8,玻璃,20,吨/手,元/吨,1,-4,4,合约交割月份,0,第N个交易日,10,否,20240814,合约交割月份,0,第N个交易日,13,否,20240819,5,实物交割,郑州商品交易所,商品期货,能源化工期货,
FG2409,20230915,FG,2024,9,玻璃,20,吨/手,元/吨,1,-4,4,合约交割月份,0,第N个交易日,10,否,20240913,合约交割月份,0,第N个交易日,13,否,20240918,5,实物交割,郑州商品交易所,商品期货,能源化工期货,
IC2310,20230821,IC,2023,10,中证500指数,200,元/点,指数点,0.2,-10,10,合约交割月份,0,第3周,5,是,20231020,合约交割月份,0,第3周,5,是,20231020,8,现金交割,中国金融期货交易所,股指期货,股指期货,SH000905
IC2311,20230918,IC,2023,11,中证500指数,200,元/点,指数点,0.2,-10,10,合约交割月份,0,第3周,5,是,20231117,合约交割月份,0,第3周,5,是,20231117,8,现金交割,中国金融期货交易所,股指期货,股指期货,SH000905
IC2312,20230424,IC,2023,12,中证500指数,200,元/点,指数点,0.2,-10,10,合约交割月份,0,第3周,5,是,20231215,合约交割月份,0,第3周,5,是,20231215,8,现金交割,中国金融期货交易所,股指期货,股指期货,SH000905
IC2403,20230724,IC,2024,3,中证500指数,200,元/点,指数点,0.2,-10,10,合约交割月份,0,第3周,5,是,20240315,合约交割月份,0,第3周,5,是,20240315,8,现金交割,中国金融期货交易所,股指期货,股指期货,SH000905
IF2310,20230821,IF,2023,10,沪深300指数,300,元/点,指数点,0.2,-10,10,合约交割月份,0,第3周,5,是,20231020,合约交割月份,0,第3周,5,是,20231020,8,现金交割,中国金融期货交易所,股指期货,股指期货,SH000300
IF2311,20230918,IF,2023,11,沪深300指数,300,元/点,指数点,0.2,-10,10,合约交割月份,0,第3周,5,是,20231117,合约交割月份,0,第3周,5,是,20231117,8,现金交割,中国金融期货交易所,股指期货,股指期货,SH000300
IF2312,20230424,IF,2023,12,沪深300指数,300,元/点,指数点,0.2,-10,10,合约交割月份,0,第3周,5,是,20231215,合约交割月份,0,第3周,5,是,20231215,8,现金交割,中国金融期货交易所,股指期货,股指期货,SH000300
IF2403,20230724,IF,2024,3,沪深300指数,300,元/点,指数点,0.2,-10,10,合约交割月份,0,第3周,5,是,20240315,合约交割月份,0,第3周,5,是,20240315,8,现金交割,中国金融期货交易所,股指期货,股指期货,SH000300
IH2310,20230821,IH,2023,10,上证50指数,300,元/点,指数点,0.2,-10,10,合约交割月份,0,第3周,5,是,20231020,合约交割月份,0,第3周,5,是,20231020,8,现金交割,中国金融期货交易所,股指期货,股指期货,SH000016
